<1>	Kamatayan ni Noel Delgado, hudyat ng paglalansag sa bandidong grupo	death of Noel Delgado, a sign of breaking up the bandit group
<2>	ANG pagbaril kay Noel Delgado nitong Disyembre 1 ay parusa sa malulubha niyang krimen laban sa rebolusyonaryong kilusan at mga magsasaka sa ilang barangay sa Bacon District ng Sorsogon City.	the shooting of Noel Delgado this December 1 is a punishment for his serious crimes against the revolutionary movement and the farmers in some barangays in Bacon District of Sorsogon City.
<3>	Ang pamamarusa sa kanya ay isinagawa ng mga operatiba ng New People’s Army sa Barangay San Juan kung saan siya naninirahan.	the punishment on him was carried out by the operatives of the New People's Army in Barangay San Juan where he lived.
<4>	Katatanggap lang namin ng ulat na namatay siya kahapon, Disyembre 5, sa isang ospital sa Sorsogon City.	we have just received the report that he died yesterday, December 5, in a hospital in Sorsogon City.
<5>	Si Delgado ay dating kasapi ng NPA.	Delgado was a former member of the NPA.
<6>	Mula nang tumiwalag siya sa kilusan, napabilang siya sa isang grupong bandido na sangkot sa pagnanakaw ng kalabaw at iba pang hayop ng mga magsasaka at pagpapalayas ng mga tenante sa ilang sakahan sa Bacon District.	since he quit from the movement, he became part of a bandit group involved in stealing water buffalos and other animals from farmers and driving out tenants of some farms in Bacon District.
<7>	Kasama niya sa grupo ang ilan pang dating gerilya at mga elemento ng militar, pulisya at CAFGU.	together with him in the group are some more former guerillas and elements of the military, police and CAGFU.
<8>	Nagpapanggap silang NPA sa pagsasagawa ng kanilang mga krimen.	the pretend to be NPA when committing their crimes.
<9>	Ginagamit din nila ang pangalan ng NPA para makapangikil sa mga kontratista ng iba’t ibang proyektong imprastruktura sa lugar.	they also use the name of the NPA to extort from contractors of different infrastructural projects in the area.
<10>	Tinutugis pa ng NPA ang mga kasamahan ni Delgado sa panunulisan.	the NPA is still pursuing Delgado's companions in brigandry.
<11>	Sisikapin ng rebolusyonaryong Hukbo na durugin ang naturang grupo bilang tugon sa daing ng mga magsasakang kanilang pinahihirapan.	the revolutionary Army will strive to crush the said group as answer to the cries of the farmers they oppress.
