<1>	Pastor Ariel Hernandez…Nagpapatunay na Posibleng Mabago ang Nasirang Buhay	Pastor Ariel Hernandez proves that it is possible to change a ruined life.
<2>	Posted by penpowersong	posted by penpowersong
<3>	PASTOR ARIEL HERNANDEZ…NAGPAPATUNAY	Pastor Ariel Hernandez... proof
<4>	NA POSIBLENG MABAGO ANG NASIRANG BUHAY	that it is possible to change a ruined life.
<5>	Ni Apolinario Villalobos	by Apolinario Villalobos
<6>	Nang magbukas ang Perpetual Village 5 sa Bacoor City (Cavite) ay isa ako sa mga naunang tumira, at naging unang Presidente rin ng Homeowners Association.	when Perpetual Village 5 in Bacoor City (Cavite) opened, I was one of the first occupants, and also became the first president of the Homeowners Association.
<7>	Hirap kami noon dahil sa pagmamadali naming lumipat agad ay hindi na namin hinintay na magkaroon muna ng street lights at maayos ang mga kalsada.	we had a hard time then. because of our haste to move immediately, we did not wait for it to have street lights and proper roads anymore.
<8>	Todo tiis ang ginawa namin sa pagsuong sa trapik ng Zapote, Las Piἧas sa pagpasok sa trabaho dahil wala pang Coastal Road noon.	what we did was to be extremely patient in dealing with the traffic in Zapote, Las Piñas when going to work because there was no Coastal Road back then.
<9>	Makalipas ang isang taon ay may lumipat sa subdivision na mag-asawang galing sa Makati, sina Ariel at Precy Hernandez at anak nilang musmos pang si Jaymie.	after one year, a couple from Makati, Ariel and Precy Hernandez and their little child, Jaymie, transferred to the subdivision.
<10>	Nang pasyalan ko sila upang i-welcome sa lugar namin ay nalaman kong basketbolista pala si Ariel kaya agad-agad ay pinakiusapan kong mgaging Sports and Youth Officer ng homeowners association.	when I visited to welcome them to our place, I found out that Ariel was a basketball player so I immediately asked him to be the sports and youth officer of the homeowners association.
<11>	Hindi naman ako napahiya dahil malugod siyang pumayag kahit may trabaho siya sa bangko mula Lunes hanggang Biyernes at kung minsan ay hanggang Sabado.	I was not shamed because he graciously permitted even if he has a job in the bank from Monday to Friday and sometimes until Saturday.
<12>	Hindi ako nabigo sa pagtalaga sa kanya dahil makaraan lang ang ilang linggo ay naging aktibo na agad ang mga kabataan sa lugar namin.	I was not disappointed in appointing him because just after a few weeks, the youth in our place immediately became active.
<13>	Ang pagkilala sa kanya bilang coach ng basketball ay nakarating hanggang sa “bukid” at mga kalapit-subdivision na sakop din ng Barangay namin.	his recognition as a basketball coach reached the "farm" and nearby subdivisions that are also covered by our barangay.
<14>	Mula noon, basta mabanggit ang basketball, si Ariel agad ang sasagi sa isip ng mga nakarinig.	since then, when basketball is mentioned, it is Ariel who immediately crosses the minds of those who hear it.
<15>	Noon pa lang ay nakitaan ko na siya ng compassionate attitude – madaling dumukot ng pera para sa mga nangangailangan kahit walang matira sa bulsa.	even then I already saw a compassionate attitude in him - easily handing out money for those in need even if nothing remains in his pocket.
<16>	Nai-intimidate lang ang ibang hindi siya gaanong kilala dahil noong kabataan niya at nasa amin ay para siyang “pader”, malaki kasi ang katawan,may katangkaran, at dumadagundong pa ang boses.	others who do not know him that well are just intimidated, because in his youth and while he was with us, he seemed like a "wall", because he had a large body, was somewhat tall, and had a thundering voice.
<17>	Si Ariel din ang humimok sa mga homeowners na mag-jogging mula sa amin hanggang Imus Cathedral/Plaza tuwing Linggo ng madaling araw.	it was also Ariel who encouraged the homeowners to go jogging from our place to Imus Cathedral/Plaza every Sunday at dawn.
