<1>	EDITORIAL: Mas lamang ang ‘joke’ kesa totoo!	editorial: 'joke' takes precedence than truth!
<2>	Isa daw sa nagustuhan ng nakakaraming Pinoy kaya nanalong president si Pangulon­g Digong Duterte ay ang kawalan nito ng kiyeme.	one of the things liked by many Filipinos from the elected president, president Digong Duterte was his lack of pretense.
<3>	Sasabihin ang gustong sabihin kahit na masamain ng iba o kahit na magbu-boomerang sa kanya pagkatapos.	saying what he wants to say even if others disapprove or if it would boomerang to him afterwards.
<4>	Wala siyang pakialam!	he does not care!
<5>	Ito ‘yung Pangulong Duterte ang nagsasalita kamakalawa na umaamin na sa limang sinabi niya ay dalawa lang ang tama at dapat seryosohin o paniwalaan ng tao.	this was the president Duterte who spoke the day before yesterday who admitted that in the five things he states only two are true and should be taken seriously or believed by people.
<6>	Dahil ‘yung tatlo, panay kalokohan ‘yun o biro lang.	because the other three are purely nonsense or only jokes.
<7>	Gusto lang daw niya magpatawa.	he just wanted to be funny.
<8>	Kaya naman hindi nakakapagtaka na sa kada bitaw ng salita ng Pangulo ay palagi­ na lang natataranta ang kanyang mga galamay, lalo na ang communications group ng Malacañang, kung paano ito ipapaliwanag sa tao.	which is why it is no wonder why every time a word is said by the president, his staff gets flustered, especially the communications group of Malacañang, on how they would explain it to the people.
<9>	Alin ba ang totoo at alin ang joke sa sinabi ng Pangulo?	which ones are the truth and which ones are the joke in the statements of the president?
<10>	Napakahirap nito para sa bansa.	this is hard for the country.
<11>	Dapat maintindihan ng Pangulo na hindi comedy bar ang pinagsasalitaan niya tuwing haharap siya sa publiko.	the president should understand that his speaking engagements are not a comedy bar every time he faces the public.
<12>	Inaabangan ang bawat salita niya hindi para tumawa kundi­ para pakinggan kung ano ang ipag-uutos niya, kung paano niya reresolbahin ang isang problema, kung ano ang posisyon ng Pilipinas sa ganitong isyu.	his every word is looked forward to not to find laughs but to listen to what his commands are, how he would resolve a problem, what position will the Philippines take on an issue.
<13>	Ang bawat buga o binibitawang salita ng isang Presidente ay dapat lamang na seryosohin dahil siya ang polisiya ng isang bansa.	every blow or released word of a president should be taken seriously because these are the policies of a country.
<14>	Ang bawat salita niya, parang batas na sinusunod, lalo na ng kanyang mga tapat na tagasunod.	his every word, like a law being followed, specially by his loyal supporters.
<15>	Pwede namang maging komikero at magpatawa pero hindi sa mga seryosong usapin.	it is allowed to be comedic and funny but not on serious topics.
<16>	Lalo na kung may kinalaman sa relasyon sa ibang bansa o kaya ay tungkol sa extrajudicial killings, peace process at peace and order situation, drug personalities, bad cops, inflation, tax at kung anu-ano pa.	especially if it involves the relationship to other country or about the extrajudicial killings, peace process and peace and order situation, drug personalities, bad cops, inflation, tax and many more.
<17>	Kahit ang mga campaign promises mukhang mas marami ang ‘joke’ lang.	even campaign promises have what look like 'joke' only.
<18>	Tulad na lang nitong ‘endo’ na hanggang ngayon ay salita lang at ang naibigay sa mga contractual na government employees ay P2,000 bonus imbes na regularization.	take for example the 'endo' which until now is just spoken word and what was given to contractual government employees is a P2,000 bonus instead of regularization.
<19>	Wala pa ring balita sa coco levy na agad daw niyang ipapamigay sa mga magniniyog pagkaupo.	there is no news on coco levy which he said he would immediately give away to coconut farmers upon getting seated.
<20>	Mukhang joke pa rin ang dagdag na P1,000 sa senior citizens dahil may ilang matatanda ang nagrereklamo na wala pa rin daw adjustment ang kanilang February pension taliwas sa ipinangako.	it seems like another joke is the additional P1,000 for senior citizens because there are a couple of elders complaining that there is still no adjustment in their February pension despite the promise.
<21>	‘Yung 3-6 months na burado ang droga, inamin na niya na hindi nga niya magagawa.	'the 3-6 months elimination of drug, he admitted he cannot do.
<22>	Alin lang ba ang dapat seryosohin sa Pangulo kung ganitong 2-sa-5 sinasabi niya ay kalokohan at pagpapatawa lang?	which ones should be taken seriously from the president when 2 out of 5 of his statements are silliness and funny acts only?
