<1>	ANONG BAWAL-BAWAL SA SIMBAHANG KATOLIKO?	what is prohibited in the Catholic Church?
<2>	MARAMI nang pinaggagagawa si Pope Francis na labag sa mga ipinagbabawal ng mga pari, madre at obispo sa Pilipinas.	Pope Francis has done a lot which are against to what is prohibited for the priests, nuns and bishops of the Philippines.
<3>	Isa rito ang pagbibinyag sa mga bata na anak ng mga single mother o anak sa pagkadalaga o bastardo kung tawagin at anak din ng mga hindi kasal sa simbahan.	one of these is the baptism of children who are children of single mothers or child from a maiden birth or the so-called bastards and child of those who are not married in church.
<4>	Ikinasal din niya ang may anak sa pagkadalaga at partner nitong pinawalambisa ng simbahan ang kasal.	he also married those who have children from a maiden birth and the partner whose marriage is nullified by the church.
<5>	Ikinasal din niya ang matagal nang mag-live-in.	he also married those who have long been in a live-in.
<6>	Dito sa huling punto, bawal ang bumigay kay manoy o manay sa kama hangga’t walang kasal.	because of the last point, it is prohibited to surrender for a man or woman in bed until there is no marriage.
<7>	Susme!	Oh, God!
<8>	Pero kung may nangyari na at kinabukasan, halimbawa, eh, manganganak na si babae o kaya’y nanganak na, kumpisal ang remedyo para makasal ang magka-live-in.	but if something already happened and tomorrow, for example, the woman gives birth or has given birth, a confession is a remedy to have the live-in partners get married.
<9>	Kung ayaw mong mangumpisal at ang live-in mo, kuwidaw kayo, parekoy, dahil puro pagse-sex, este, pagkakasala ang inyong ginagawa at kalagayan at sa impiyerno kayo pupulutin.	if you and your live-in partner do not want to go to confession, nothing, men, because it is all sex, or committing sins is what you are doing and your situation and you will be picked in hell.
<10>	Ngek!	geez!
<11>	Bawal din ang pag-aasawa ng dalaga at ng isang hiwalay sa asawa dahil sa paniniwalang “hindi dapat paghiwalayin ng tao ang pinagsama ng Diyos.” Whoever the Lord put together, let no man put asunder.	it is also prohibited for a maiden to marry someone who is separated from a marriage because of the belief that "whoever God has unified should not be separated by man." whoever the Lord put together, let no man put asunder.
<12>	Hindi rin pinapayagang mabinyagan ang bastardo at anak ng hindi kasal.	it is not permitted to give baptism to bastard children and children of those who are not married.
<13>	Pero ngayon nga ay niluwagan ni Pope Francis ang mga patakarang ito at siya na mismo ang nagsagawa ng mga pagbibinyag at pagkakasal.	but now, Pope Francis has loosened the regulations and he himself has conducted the baptism and marriage.
<14>	Pero meron pang ibang usapin na gustong linawin ng mga Katoliko.	but, are there other issues that the Catholics want to clarify?
<15>	Kung diborsyado ka, papayagan ka bang magkomunyon?	if you are divorced, are you allowed to take communion?
<16>	At kung hindi ka Katoliko o hindi kasal ang mga magulang mo sa simbahan o sibil, papayagan ka bang mag-enroll sa Catholic school?	and if you are not Catholic or your parents are not married in the church or civil, are they allowed to enroll in a Catholic school?
<17>	Sana naman malinawan umano ang mga ito para makatulog nang mahimbing ang mga apektado.	hopefully these will be clarified to help those who are closely affected.
<18>	Kung hindi, magsisilipatan lang sa ibang relihiyon ang mga apektadong Katoliko hanggang sa mawalan na ng koleksyon at abuloy, este, mimisahan at ililibing sa Katolikong sementeryo na pawang may bayad ang mga pari at obispo.	if not, the affected Catholics go to other religions until there will be a lost of collection, alms, someone to have a mass on or burial in Catholic cemetery which have all payment for the priests and bishops.
<19>	Sa totoo lang, marami rin ang nagsisilipatan sa ibang relihiyon dahil sa tsetseburetse sa pagpasok sa mga eskwelahang Katoliko at ang mga ito mismo ay “nagtataka” kung bakit paunti nang paunti ang nag-eenroll na sa kanila.	in truth, many are going to other religions because of the many requisites in entering a Catholic school and they themselves are also wondering why those who are enrolling to them become lesser and lesser.
<20>	BURDADO/JUN BRIONES	crocheted/ Jun Briones
