<1>	Tatlong national events pinaghahandaan ng Koronadal City	Koronadal City preparing for three national events
<2>	January 14, 2016 LUNGSOD NG KORONADAL, South Cotabato, Ene. 14 (PIA) — Bagama’t katatapos pa lang ng selebrasyon sa Koronadal City ng 76th Foundation Anniversary at 16th Hinugyaw Festival, umaarangkada na naman ang paghahanda ng pamahalaang panlungsod para sa ilang mahahalagang aktibidad na gagawin dito ngayong taon.	January 14, 2016 City of Koronadal, South Cotabato, January 14 (PIA) - even though the celebration of the 76th foundation anniversary and the 16th Hinugyaw Festival of Koronadal City had just finished, the city government's preparations are again on the way for a few important activities to be held here this year.
<3>	Ngayong 2016, ayon kay Koronadal City Administrator Cyrus Urbano tatlong national events ang nakatakdang magaganap dito sa lungsod.	this 2016, according to Koronadal city administrator Cyrus Urbano three national events are set to be held here in the city.
<4>	Pinakauna rito ang National Schools Press Conference sa ika-22 hanggang 26 ng Pebrero.	first of these is the National Schools Press Conference on the 22nd up to 26 of February.
<5>	Tinatayang 5,00 delegado mula sa lahat na rehiyon sa bansa ang inaasahang darating dito para lumahok sa taunang schools press conference na pinamumunuan ng Department of Education.	an estimated 5,000 delegates from all the regions of the country are expected to arrive here to participate in the annual schools press conference headed by the Department of Education.
<6>	Dito rin gagawin ang Private Schools Athletic Association (PRISAA) National Collegiate Games na nakatakda sa ika-2 hanggang ika-9 ng Abril.	the Private Schools Athletic Association (PRISAA) National Collegiate Games scheduled on the 2nd up to 9th of April will happen here too.
<7>	Sa paglalarawan ni Urbano ang PRISAA Meet ay ang Palarong Pambansa ng mga pribadong paaralan sa Pilipinas.	in the description of Urbano the PRISAA meet is the National Games of the private schools of the Philippines.
<8>	Maliban sa dalawang nabanggit, kinumpirma rin ng city administrator na sa Koronadal City rin gagawin ang National Bible Conference.	aside from the two mentioned, the city administrator also confirmed that the National Bible Conference will also be held in Koronadal City.
<9>	Binigyang-diin ni Urbano na isang pagkakataon sa paglago ng ekonomiya ng lungsod ang pagdaraos dito ng mga national events.	Urbano emphasized that holding national events here is an opportunity for the city's economy to grow.
<10>	Sa naunang mga panayam, ipinaliwanag ni City Treasurer Marloun Gumbao, na bagama’t gumagastos ang pamahalaang panlungsod sa pagpapatupad ng ganitong mga gawain, bumabalik din naman ang ginagastos sa kabang-bayan dahil gagasta rin naman ang mga bisitang lumalahok sa mga aktibidad.	in earlier interviews, City Treasurer Marloun Gumbao explained, that even if the city government spends for the execution of these kinds of events, the expenditures return to the city treasury because the guests participating in the said activities will also spend.
<11>	Magandang pagkakataon rin ito na makapanghikayat ng mga mamumuhunan dahil makikita mismo ng mga bisita ang mga oportunidad sa pagnenegosyo rito.	it is also a good opportunity to attract investors because the guests themselves will see the opportunities to do business here.
<12>	Ang Koronadal City ang administrative seat ng SOCCSKSARGEN Region.	Koronadal City is the administrative seat of the SOCCSKSARGEN Region.
<13>	(DEDoguiles- PIA 12)	(DEDoguiles- PIA 12)
