<1>	PNoy nakapili na ng bagong commanding officer ng Philippine Air Force	PNoy has chosen a new commanding officer of the Philippine Air Force
<2>	April 24, 2014	April 24, 2014
<3>	Nakapili na si Pangulong Benigno Aquino III na bagong commanding officer ng Philippine Air Force.	President Benigno Aquino III has chosen a new commanding officer of the Philippine Air Force.
<4>	Si Major General Jeffrey Delgado ng Philippine Military Academy (PMA) Class of 1982 (Sandigan) ang napili ni PNoy bilang bagong pinuno ng PAF.	Major General Jeffrey Delgado of the Philippine Military Academy (PMA) Class of 1982 (Sandigan) was chosen by PNoy as new head of PAF.
<5>	Papalitan ni Delgado ang magreretirong si PAF commanding officer Lieutenant General Lauro Catalino dela Cruz.	Delgado will replace retiring PAF commanding officer Lieutenant General Lauro Catalino dela Cruz.
<6>	Bukas araw ng Biyernes nakatakdang italaga ni PNoy si Delgado bilang ika-33 commanding officer ng Hukbong Himpapawid ng Pilipinas.	tomorrow Friday PNoy is set to position Delgado as the 33rd commanding officer of the Air Force of the Philippines.
<7>	Nakatakdang daluhan ni PNoy ang turn over ceremony na gagawin sa Fernando Air Base sa Lipa City, Batangas.	PNoy is set to attend the turnover ceremony to be held at Fernando Air Base in Lipa City, Batangas.
<8>	Ayon sa tagapagsalita ng PAF na si Col. Miguel Okol, si dela Cruz ang nagnais na gawin ang kanyang pagreretiro sa Fernando Air Base.	according to the spokesperson of PAF Colonel Miguel Okol, Dela Cruz was the one who wanted to conduct his retirement at Fernando Air Base.
<9>	Sa naturang airbase karaniwang nagsisimula ang career ng mga kasapi ng PAF.	it is in the aforementioned airbase the career of the members of PAF usually start.
<10>	Sa nasabing airbase din makikita ang PAF Flying School.	it is also in the said airbase the PAF Flying School can be seen.
<11>	Sa panahon ng panunungkulan ni dating pangulong Corazon Aquino, si Delgado ay naitalaga sa Presidential Security Group.	at the time of the administration of former president Corazon Aquino, Delgado was assigned to the Presidential Security Group.
<12>	Bago ang pagkakapili kay Delgado naging matunog din sa listahan ng mga pamimilian ni PNoy sina 3rd Air Division Commander Major General Nicanor Vivar ng PMA Class of 1982, Deputy Chief of Staff Lieutenant General Virgilio Domingo ng PMA Class of1981, at Chief of Air Staff Major General Edgar Fallorina ng PMA class of 1983. -DCR	before the selection of Delgado also notable in the list of choices of PNoy are 3rd Air Division commander Major General Nicanor Vivar of PMA Class of 1982, Deputy Chief of Staff Lieutenant General Virgilio Domingo of PMA Class of 1981, and Chief of Air Staff Major General Edgar Fallorina of PMA class of 1983. -DCR
