<1>	Multo ng nakaraan	ghost of the past
<2>	by Yanni Fernan	by Yanni Fernan
<3>	September 16, 2014	September 16, 2014
<4>	Nora Aunor bilang babaing may dementia.	Nora Aunor as woman with dementia.
<5>	Rebyu ng Dementia, pelikulang dinirehe ni Perci Intalan, mula sa iskrip nina Perci Intalan at Jun Lana, tampok sina Nora Aunor, Jasmine Curtis Smith, Yul Servo, Bing Loyzaga, Chynna Ortaleza, at Althea Vega.	review of Dementia, movie directed by Perci Intalan, from the script of Perci Intalan and Jun Lana, starring Nora Aunor, Jasmine Curtis Smith, Yul Servo, Bing Loyzaga, Chynna Ortaleza, and Althea Vega.
<6>	Na-test screen noong Setyembre 10, 2014 sa Greenhills Theater Mall, San Juan City	screen-tested last September 10, 2014 in Greenhills Theater Mall, San Juan City
<7>	Hindi ko inaasahang isang horror-suspense drama ang Dementia.	I wasn't expecting that Dementia was a horror-suspense drama.
<8>	Wala man lang kasi akong nabasang anuman o napanood na trailer tungkol dito.	I wasn't able to read or watch the trailer.
<9>	Kaya ang akala ko ang istorya ay iikot sa kung paano pakikitunguhan ang pagiging ulyanin.	hence, I thought the story revolves around how to treat dementia.
<10>	Hindi pala.	so, it isn't.
<11>	Pero sa salitang “dementia” mataas na kaagad ang ekspektasyon ko sa pelikula lalo’t si Nora Aunor ang bida.	but with the word "dementia", I already had high expectations for the movie, especially Nora Aunor was the star.
<12>	Kaya maaga pa’y sumugod na ako sa Greenhills Theater Mall, kung saan ginawa ang test screening, noong Setyembre 10.	that's why I rushed early to Greenhills Theater Mall, where the test screening was held last September 10.
<13>	At hindi ako nabigo.	and I wasn't disappointed.
<14>	Dinala ni La Aunor ang pelikula.	La Aunor carried the movie.
<15>	Kay Nora, di na masyadong kailangan ang diyalogo, dahil sa mata pa lang ay may drama na.	with Nora, dialogue isn't necessary, because her eyes enough had drama.
<16>	Lahat ng emosyon ay ipinakita at ipinadama niya – lungkot, galit, takot, gimbal.	she showed all emotions - sorrow, anger, fear, shock.
<17>	Kulang na lang na tawagin ko ang pelikulang ito ng “The Eyes.”	I almost called the movie "The Eyes."
<18>	Liban dito, bawat kilos at galaw ni Nora ay kapani-paniwala.	aside from this, every movement of Nora is convincing.
<19>	Hahatakin at hahatakin niya ang manonood sa mga eksena, na para bang kasama ka na niya sa telon.	she'll attract viewers in every scene, as if they were part of the segment.
<20>	Hindi pilit.	not forced.
<21>	Hindi garapal.	not brazen.
<22>	Subtle, ika nga sa Ingles.	subtle in English.
<23>	Kung masaya siya napapangiti ka, kung malungkot nag-aalala ka, kung nagigimbal natatakot ka.	if she's happy, it makes you smile; if sad, you worry; if shocked, you're scared.
