<1>	Mga bangkero, resort employee sumali sa pagsasanay ng DOH Mimaropa	boatmen, resort employees join the training of DOH Mimaropa
<2>	May 30, 2016	May 30, 2016
<3>	Lyndon Plantilla	Lyndon Plantilla
<4>	LUNGSOD QUEZON, ika-30 ng Mayo (PIA) --- Tuloy-tuloy ang kolaborasyon ng Philippine Coast Guard at ng Department of Health Mimaropa para maparami ang nakakalam ng Water Search and Rescue o WASAR.	City of Quezon, 30th of May (PIA) - the collaboration of the Philippine Coast Guard and the Department of Health Mimaropa to increase those knowledgeable of water search and rescue or WASAR continues.
<5>	Ayon kay DOH-Mimaropa Regional Director (RD) Eduardo Janairo, ito ay para matiyak ang kaligtasan ng mga kababayang dumadayo sa mga resorts.	according to DOH-Mimaropa regional director (RD) Eduardo Janairo, this is to ensure the safety of our fellowmen visiting resorts.
<6>	Sa kasalukuyan, umabot na sa 336 katao sa Palawan ang nakapasa sa limang araw na DOH WASAR Training.	at present, up to 336 people in Palawan have passed the five-day DOH WASAR Training.
<7>	Ang bilang ay mahigit sa kalahati ng 500 katao na tinatarget ng DOH-Mimaropa para sa rehiyon.	the number is more than half of 500 people targeted by DOH-Mimaropa for the region.
<8>	Pinakahuling pagsasanay ay ginanap sa bayan ng Coron kung saan 17 ang nakapasa noong Mayo 23-27.	the latest training was held in the town of Coron where 17 people passed on May 23-27.
<9>	Sa pamamagitan ng kasanayan sa WASAR, naniniwala si RD Janairo na makakatulong agad sa mga nalulunod ang mga sinanay.	through knowledge of WASAR, RD Janairo believes that the trainees can immediately help those drowning.
<10>	Bukod dito, mababawasan pa ang panganib na kakaharapin ng mga mag- liligtas o rescuers anu pa man ang kalagayan ng tubig: tahimik, maalon, baha o ilog.	aside from this, the dangers faced by rescuers or rescuers will decrease whatever the condition of the water may be: calm, full of waves, flood or river.
<11>	Ang DOH WASAR Training o pagsasanay sa lifeguards at emergency responders ay bahagi ng mas malaking programa---ang Health in Tourism---na inilunsad ng DOH-Mimaropa noong Marso 24 sa Puerto Princesa.	the DOH WASAR Training or training of lifeguards and emergency responders is part of a bigger program - the Health in Tourism - launched by DOH-Mimaropa on March 24 in Puerto Princesa.
<12>	Kabilang sa Health in Tourism ay ang pagkontrol sa daga at disinpeksyon, kalinisan sa pantalan at mga barko, paglalagay ng mga signage sa mga istratehikong lugar, paglikha ng mga samahan ng mga klinika, pagtatayo ng mga boya (buoys), tore ng lifeguard, pagsusuri ng tubig at wastong pagtatapon ng basura.	included in Health in Tourism are the control of rats and disinfection, cleanliness in ports and ships, placing signage in strategic locations, creation of associations of clinics, setting up buoys (buoys), lifeguard tower, inspection of water and proper waste disposal.
<13>	(DOH- Mimaropa/LP)	(DOH- Mimaropa/LP)
