<1>	Lunes, Marso 11, 2013	Monday, March 11, 2013
<2>	Walang Pahinga	no rest.
<3>	Walang Pahinga	no rest.
<4>	(Jn. 5:1-16)	(Jn. 5:1-16)
<5>	Mahalaga ang magpahinga.	it's important to rest
<6>	Kapag tayo ay maraming trabaho at maraming ginagawa, tayo ay napapagod.	if we have a lot of work and many things to do, we will get tired.
<7>	Kailangan nating magpahinga.	we need to rest.
<8>	Kapag marami tayong iniisip, tayo ay napapagod.	if we think too much, we will get tired.
<9>	Kailangan nating magpahinga.	we need to rest.
<10>	Kapag marami tayong problema at dinadala sa buhay, tayo ay napapagod.	when we have too many problems and get burdened in life, we get tired.
<11>	Kailangan nating magpahinga.	we need to rest.
<12>	Napapagod ang katawan, napapagod ang isip, napapagod ang puso.	the body gets tired, the mind gets tired, the heart gets tired.
<13>	Sa ating kapaguran, kailangan natin ng kapahingahan.	in our tiredness, we must rest.
<14>	Alam ito nang Diyos kaya naman nag-utos siya na magkaroon nang Araw nang Pamamahinga.	the Lord knows this that is why he commanded to have a day of rest.
<15>	Ito ay alam na alam nang mga Israelita.	this is very known to the Israelite.
<16>	Dahil dito naging strikto sila at ito ay kailangang sundin.	because of this they became strict and should be followed.
<17>	Nagbigay pa sila nang mga batas para ito ay masunod.	they even gave laws for this to be followed.
<18>	Pero meron pa palang mas mataas at mas mahalaga kesa pamamahinga.	but there is still much more higher and important than resting.
<19>	Ito ay ang pagtulong sa mga nangangailangan.	this is to help those who are in need.
<20>	Para kay Hesus, ang pagtulong sa kapwa at sa nangangailangan lalo na yung mga mahihirap at walang boses sa lipunan ay mas mataas na pagpapahalaga kesa pamamahinga.	for Jesus, to help others and those who are in need especially the poor and voiceless in the community is much more important than rest.
<21>	Ang pagiging Kristiyano ay 24/7.	being a Christian is 24/7.
<22>	Di dahilan na maghapon tayong nagtrabaho para di tayo magdasal.	working the whole day is not an excuse so we could skip praying.
<23>	Di dahilan na busy tayo sa buong lingo para di tayo magsimba sa araw nang lingo.	being busy the whole week is not an excuse for us not to go to church every Sunday.
<24>	Di dahilan na may mga problema tayo para talikuran ang kapwa tao.	we having problems is not an excuse for us to turn our backs on other people.
<25>	Kapag tayo ay napagod, tayo ay magpahinga.	when we get tired, we should rest.
<26>	Pero di dahilan ang kapaguran para gumawa nang kabutihan.	but tiredness should not stop us from doing good.
