<1>	Kagyat niyang tungkulin by Pinoy Weekly	his immediate responsibility by Pinoy Weekly
<2>	Mga isyung pambayan na dapat kaharapin ng rehimeng Duterte.	national issues needed to be faced by the Duterte regime.
<3>	Ano ba talagang dapat na lamanin ng State of the Nation Address (SONA) ni Pangulong Duterte?	what should be the content of the State of the Nation Address (SONA) of President Duterte?
<4>	Nauna nang pinrisinta ng iba’t ibang progresibong organisasyon ang 15-puntong People’s Agenda kay Duterte.	different progressive organizations have initially presented the 15-point People's Agenda to Duterte.
<5>	Para sa mga progresibo, ito sana ang dapat na pokus ng SONA.	for the progressives, this should hopefully be the focus of SONA.
<6>	Pero marami sa mga nasa adyenda’y para sa pangmalawakang pagbabago sa lipunan.	but most of those in the agenda are for the larger change in the society.
<7>	Ano ang kagyat na mga usapin o isyu kaugnay ng mga adyendang ito na mainam na unang tugunan ng bagong presidente?	what are the immediate cases or issues in relation to these agenda which should better be addressed first by the new president?
<8>	Pinalamanan ng Pinoy Weekly ang mga adyendang ito—ng mga kongkretong isyu na dapat kaharapin ni Duterte sa bawat adyenda ng mga mamamayan.	the Pinoy Weekly put a content to these agenda - concrete issues that should be faced by Duterte in each people's agenda.
<9>	Itaguyod ang pambansang soberanya at integridad ng teritoryo ng Pilipinas	support national sovereignty and integrity in the territory of the Philippines
<10>	Inihayag ng administrasyong Duterte na ipagpapatuloy nito ang paggiit sa soberanya ng bansa sa West Philippine Sea.	the Duterte administration expressed that it will continue the assertion of the sovereignty of the country of the West Philippine Sea.
<11>	Ang kaiba kay Duterte, nais niya maglunsad ng mga usapang bilateral sa China.	the difference in Duterte, he wants to launch a bilateral talk with China.
<12>	Pero nauna nang sinabi na wala siyang nakikitang mali sa Enhanced Defense Cooperation Agreement o EDCA.	but he has initially said that he has not seen any mistake in the Enhanced Defense Cooperation Agreement or EDCA.
<13>	Tungkol naman sa Visiting Forces Agreement o VFA, sinabi noon ni Duterte na dapat ibasura ito dahil di ito nakakatutulong sa mga Pilipino.	about the Visiting Forces Agreement or VFA, Duterte said previously that this should be dismissed because this is not helping the Filipinos.
<14>	Ang mabuti, binanatan naman niya ang US na nagdadala umano ng terorismo sa mga bansa sa Middle East dahil sa panghihimasok nito sa mga bansa.	what is good, he attacks US again whom he said to have been bringing terrorism in the countries in the Middle East because of its interference to these countries.
<15>	Igalang ang karapatang pantao at buong isabuhay ang demokrasya	respect human rights and embody democracy.
<16>	Naging bukas si Duterte sa pagpapalaya sa mga bilanggong pulitikal.	Duterte has been open to the release of political prisoners.
<17>	Pero naging kontrobersiyal ngayon ang mga insidente ng pagpatay sa mga pinaghihinalaang drug users at pushers.	but the incidents of killings of those suspected drug users and pushers are now controversial.
<18>	Kinondena ito ng iba’t ibang grupo.	this is condemned by various groups.
<19>	Ayon sa Karapatan, grupong pangkarapatang pantao, nananatili ang kanilang tindig laban sa extrajudicial killings sa sinumang indibidwal.	according to Karapatan, a human rights group, their stand against extrajudicial killings in any individual remains.
