<1>	DIYOS NA BUHAY...	God who is alive...
<2>	DIYOS NG BUHAY; Reflection for 32nd Sunday in Ordinary Time Year C - November 10, 2013 - YEAR OF FAITH	God of life; reflection for 32nd Sunday in ordinary time year c - November 10, 2013 - year of faith
<3>	Pagkatapos ng lindol sa Bohol at super typhoon Yolanda ano na naman kaya ang susunod na delubyo na darating sa atin?	after the earthquake in Bohol and super typhoon Yolanda, what will be the next calamity that will come to us?
<4>	Nagkakatotoo na ata ang project Genesis!	project Genesis seems to be coming true!
<5>	Bakit nga ba paborito tayong bisitahin ng mga kalamidad?	why are we a favorite of calamities to visit?
<6>	May kinalaman ba rito ang ating pagiging "hospitable"?	does our "hospitableness" have something to do here?
<7>	May maganda akong narinig na kumento sa CNN tungkol sa ating mga Pilipino sa paghagupit sa atin ng bagyong Yolanda.	there is a nice comment I heard in CNN about us Filipinos in our devastation by typhoon Yolanda.
<8>	Sabi ng isang commentator: "Time to get to know the Filipino people... unbelievably resilient, long suffering, good natured, uber friendly, loyal, ingenius, and a bunch of survivors.	one commentator said: "time to get to know the Filipino people ... unbelievably resilient, long suffering, good natured, uber friendly, loyal, ingenious, and a bunch of survivors.
<9>	At the end of the day, the Filipinos will just shake off the dirt from their clothes and go about their business... and SMILE.	at the end of the day, the Filipinos will just shake off the dirt from their clothes and go about their business ... and smile.
<10>	They do not complain much, they will bear as long as they can..."	they do not complain much, they will bear as long as they can..."
<11>	Saan ba natin hinuhugot ang ganitong lakas ng loob na pagharap sa mga pagsubok na dumarating sa ating buhay?	where do we draw this courage to face the challenges that come to our life?
<12>	Marahil ay hindi natin maipagkakaila na ito ay dahil sa ating PANANAMPALATAYA SA DIYOS NA BUHAY!	perhaps we cannot deny that it is because of our faith in a living God!
<13>	Naniniwala tayong may Diyos na buhay na tutulong sa atin upang muling bumangon mula sa ating pagkadapa sa anumang kahirapan sa buhay.	we believe that there is a God who is alive who will help us get up again from our fall in any hardship in life.
<14>	Naniniwala tayo na ang ating Diyos ay hindi Diyos ng mga patay kundi DIYOS NG MGA BUHAY!	we believe that our god is not a God of the dead but a God of the living!
<15>	Ito rin ang sinasabi ng ating mga pagbasa ngayon.	this is also what our reading today is saying.
<16>	Sa Aklat ng Maccabeo ay narinig natin ang katatagan ng pananampalataya ng mga magkakapatid na Hudyo na ayaw sumunod sa utos ng hari na kumain ng pagkaing ipinagbabawal sa kanilang kautusan.	in the book of Maccabeo we have heard about the solidity of the faith of the Jewish brothers who did not want to obey the order of the king to eat food taboo in their commandment.
<17>	Maging kamatayan ay hindi naging hadlang sa kanila: “Ako’y maligayang mamamatay sa kamay ninyo sapagkat alam kong ako’y muling bubuhayin ng Diyos."	even death was not an obstacle for them: "I will die happily in your hands because I know that I will be resurrected by God."
<18>	Sa Ebanghelyo ay muling pinaalala sa atin ni Jesus ang katotohanan ng muling pagkabuhay sa pagsasabing "...	in the gospel Jesus once again reminds us of the truth of resurrection in saying "...
<19>	ang Diyos ay hindi Diyos ng mga patay kundi ng mga buhay – sa kanya’y buhay ang lahat.”	God is not a god of the dead but of the living - in him all are alive."
<20>	Marahil ay wala ng mas higit pang makapagbibigay sa atin ng pag-asa na may Diyos tayong buhay at dahil sa Kanya ay nabubuhay tayong lahat.	perhaps there is no one else to give us more hope that we have a god who is alive and it is because of him that we are all alive.
<21>	Kaya kahit sa kamatayan ay buhay ang ating pag-asa.	so even in death our hope is alive.
<22>	Pansinin ninyo na marami sa atin ay nagdiriwang ng Undas sa unang araw ng Nobyembre na kung saan ay ginugunita natin ang Araw ng mga Banal.	notice that many of us celebrate All Souls' Day on the first day of November when we celebrate All Saints' Day.
<23>	Hindi ba't ang araw ng mga kaluluwa ay November 2?	isn't All Souls' Day on November 2?
<24>	Ang aking paliwanag dito ay sapagkat marahil ay napaka-positibo ang ating pagtingin sa kamatayan at dahil dito ay buhay ang ating pag-asang sila ay nasa piling na ng ating Diyos na Buhay kaya't isinasama na natin sila sa hanay ng mga banal.	my explanation here is that perhaps our view of death is very positive and because of this, our hope is alive that they are with our living God so we include them in the ranks of the holy.
<25>	Sa pagtatapos ng Taon ng Pananampalataya, ay panatilihin nating buhay ang ating pag-asa.	in the end of the year of faith, let us keep our hope alive.
<26>	Walang sinumang makapaghihiwalay sa atin sa pag-ibig ng Diyos.	no one can separate us from our love of God.
<27>	Ito man ay kalamidad, kaguluhan, o kahirapan...	whether it may be calamity, conflict, or poverty...
<28>	ang lahat nang ito ay hindi mapapantayan ng Kanyang pagmamahal.	all of these cannot match his love.
<29>	Ang Diyos na buhay ay Diyos ng buhay!	the living God is the God of life!
