<1>	MAR, FRANCIS PALPAK NA MGA TRAFFIC CZAR IMPIYERNO na talaga ang trapik sa Mega Manila.	Mar, Francis are failed traffic czars. the traffic of mega Manila is hell.
<2>	At kung may saglit na buhos ng ulan, mas grabe pa.	if there is a momentary rain shower, worse.
<3>	Sa gitna ng kalagayang ito, ano-ano ba ang mga dapat na gawin ng mga kinauukulan?	in the midst of this situation, what should be done by the authorities?
<4>	At ano-ano rin ang mga pupwedeng gawin ng mga mamamayan?	and what can be done by the citizens?
<5>	FRANCIS, MAR PALPAK Palpak na palpak ang pagiging traffic czar ng dalawang pinuno ng pamahalaan na sina Sec. Mar Roxas, ng Department of Interior and Local Government at Chairman Francis Tolentino, ng Metro Manila Development Authority.	Francis, Mar, failures. the two leaders of the government Secretary Mar Roxas of the Department of Interior and Local Government and Chairman Francis Tolentino of the Metro Manila Development Authority are failures as traffic czars.
<6>	‘Yun bang kahit sila na mismo ang gumigitna sa mga lansangan para mag-ayos ng trapik kahit saan sa Metro Manila, wala ring nangyayari.	when they themselves are at the center of the roads to fix the traffic anywhere in Metro Manila, nothing is still happening.
<7>	Palibhasa, ang pagtatrapik ng mga ito ay for show dahil may karay-karay silang taga-media para maipakita ang kanilang galing bilang mga traffic czar.	just because their traffic command is only for a show because they have brought media with them to show their skills as traffic czars.
<8>	‘Yun pala, kakandidato ang mga anak ng tipaklong sa pambansang posisyon sa halalang 2016.	but in truth, these child of grasshoppers are going to run as candidates for a national position in 2016.
<9>	Hindi na nakatatawa, mga Bro. Hehehe!	not funny anymore, my brothers. hehehe!
<10>	Sa huli, nag-deploy na sila ng Highway Patrol Group pero 30 segundo lang ang pag-iisyu ng tiket ng mga ito at dapat bisibol ang mga ito para malayo pa lang ay alam na ng mga motorista kung nasaan sila.	in the end, they deployed a Highway Patrol Group but they should issue a ticket for 30 seconds only and should be visible so the motorists will know where they are even from afar.
<11>	Hindi ‘yung kukuha ng lisensya ng tsuper, tapos maglalakad nang malayo at bababa at hahabol na lang ang tsuper kung saan nagtatago sa ilalim ng puno o tulay ang HPG.	not just getting the driver's license and walks far, and the driver boards off and run where the HPG hides under a tree or bridge.
<12>	VIP VS AMBULANSYA May napansin lang tayo, mga Bro.	VIP versus ambulance we have just noticed something, brothers.
<13>	Sa nararaanan natin na talagang matatrapik na lugar, may mga escort na traffic police ang mga VIP o very important person kung tawagin.	in areas with the worst traffic that we have passed by, the VIPs or called as very important persons have escorts of traffic police.
<14>	Nagwawangwang na ang mga traffic police, nanghahawi at nanghaharang pa sila.	the traffic police sounds the alarm, clearing off the way and blocking others.
<15>	Walang trapik.	no traffic.
<16>	Pero ang mga ambulansya, bahala sila sa buhay nila.	but the ambulances, they are on their own.
<17>	Wala lang, basta dapat na sumunod ang mga ito sa nakahinto na sasakyan sa harapan at tagiliran nila.	well, nothing, they should follow the vehicle which stopped in front of them and beside them.
<18>	Pero ‘di na kailangang utusan ang mga tsuper ng ibang sasakyan… nagbi-bigay sila ng daan… kung gagalaw ang trapik.	but the drivers of other vehicles are not needed to reprimanded, they give way, if the traffic moves.
<19>	MAY PERA SA TRAPIK	there is money in traffic
<20>	Nasaan ang ibang daanan o alternatibong ruta kung tawagin kung matatrapik ka?	where are the so-called other roads or alternate routes if there is traffic?
<21>	Para sa mga pribadong sasakyan na maliliit at taksi, oks lang na dumaan kahit saan.	for small private vehicles and taxi, it is okay to pass by anywhere.
<22>	Pero para sa mga pampasaherong sasakyan, nasaan ang mga daan na ‘yan?	but for passenger vehicles, where are those roads?
<23>	Anak ng tokwa, kapag humiwalay ang mga ito sa ruta at gumawa ng paraan na makahulagpos sa trapik, bigla na lang susulpot ang mga naniniket na traffic enforcer at police na titira ng “out of line” na violation kuno at libo-libo ang multa rito, mga Bro.	tofu child, if they separated from the route and made a way to escape from the traffic, the traffic enforcer who issues the ticket suddenly appears and a police who shots off an "out of line" violation, and the fine for this is thousand, brothers.
<24>	Magkano ang 20 porsyento nila na komisyon sa “out of line?”	how much is their 20 percent commission for the "out of line?"
