<1>	Push Mo Toh!: Pauleen, nakipagtalakan sa AlDub fan (kuno) dahil kay Patricia!	push this! Pauleen shouted angrily with an AlDub fan (it seemed) because of Patricia!
<2>	“So, hindi namin puwedeng kaibigan	"so, could not be our friend
<3>	si Patricia dahil sa ‘akala’ niyo	Patricia because "you just thought so"
<4>	eh sila ni Alden?” -- Pauleen	and, Alden with her?" -Pauleen
<5>	By Glenn Regondola September 20, 2016Hindi napigilan ni Pauleen Luna-Sotto na umalma sa patutsada sa kanya ng isang basher kung saan inaakusahan siyang mapagpanggap na boto sa loveteam nina Alden Richards at Maine Mendoza.	by Glenn Regondola September 20, 2016 Pauleen Luna-Sotto could not stop to react in the innuendos of a critic where she is accused of being fake in voting for Alden Richards and Maine Mendoza love team.
<6>	Dahil ang totoo raw, ang manok ni Pauleen ay ang Eat Bulaga co-host na si Patricia Tumulak.	because in reality, Pauleen really bets for the Eat Bulaga co-host Patricia Tumulak,
<7>	Sa post ng isang @beh_bat, pinasaringan nga nito si Pauleen, base sa larawan kung saan nakangiti ang misis ni Bossing Vic habang kumakanta ang dalawa. Aniya, “Mga matang nakabantay palagi @pauleenlunasotto.	in a post by someone @bet_bat, Pauleen was indirectly hinted, based on the picture where the wife of Boss Vic is smiling while the two are singing. she said, "eyes who are always watching #pauleenlunasotto
<8>	“Magagalit mga bff ni patricia tumulak.”	"the best friends of Patricia Tumulak will be mad."
<9>	Sinagot naman ito ni Pauleen, “Okay ka lang teh? Bawal manood? Hahahaha! IKAW NA! ”Sinundan pa ito ng EB host na, “May problema ka ba sa akin?”	Pauleen answered this, "are you okay, sister? prohibited to watch? Hahaha! you!" it was followed by the EB host with, "do you have a problem with me?"
<10>	Nakipagpalitan pa ng messages ang basher na ito sa isang netizen din na suportado naman si Pauleen.	the critic has also exchanged messages with another netizen supported by Pauleen.
<11>	Dahil nga rito, hindi na naiwasan ng misis ni Bossing Vic ang sumagot nang mas mahabang message.	because of this, the wife of Boss Vic could not avoid to answer with a longer message.
<12>	“I seriously do not understand what you’re talking about. “Mahirap ang makipag-usap sa taong sarado ang utak at nakikinig at naniniwala lang sa sarili niya. “So ang ibig bang sabihin ay hindi namin puwedeng maging kaibigan si Patricia dahil sa “akala” niya eh sila ni Alden? Na wag namin siyang pansinin dahil AYAW NIYO?	"I seriously do not understand what you're talking about. it is difficult to talk to a person with a closed mind and listening and believing only herself. so, did she mean that we cannot befriend Patricia because she just thought they are together with Alden? we should not notice her because you do not like it?"
<13>	“Sorry, hindi masama ang ugali namin at mas lalong hindi kami sinungaling. “Believe what you want to believe. Kami masaya kami dito. Sana ikaw din. God bless.”	"sorry, our manners are not bad and moreover, we are not liars. believe what you want to believe. we are happy here. hope you are too. God bless."
<14>	Sa comment section naman, puro suporta ang natanggap ni Pauleen sa iba’t ibang netizens at puro din pambabash ang tinanggap ng negang netizen.	also in the comment section, Pauleen only received support from various netizens and criticisms received by the negative netizen.
<15>	Serves her right, devah?	serves her right, yes?
