<1>	Reinvestigation sa SAF 44, ‘wag gamitin sa kampanya	reinvestigation of SAF 44, do not use for campaign
<2>	Posted by: Almar Danguilan	posted by: Almar Danguilan
<3>	on January 7, 2016	on January 7, 2016
<4>	in Opinion	in opinion
<5>	EKSAKTONG isang taon na sa Enero 25, 2016 ang Mamasapano massacre – 44 magigiting na miyembro ng PNP Special Action Force (SAF) ang pinatay na parang hayop sa nasabing insidente.	exactly one year on January 25, 2016 since Mamasapano massacre - 44 brave members of PNP Special Action Force (SAF) were slaughtered like animals in the said incident.
<6>	Anibersaryo na ng trahedya pero nasaan na ang ipinangakong katarungan ng ating Pangulong Noynoy sa iniwang pamilya ng mga napaslang.	it is already the anniversary of the tragedy but where is the justice promised by our president Noynoy to the family left behind of those who were killed.
<7>	Nasaan na ang pangako ni PNoy?	where is PNoy's promise?
<8>	May nakulong na ba sa mga rebelde?	were there any jailed among the rebels?
<9>	Wala!	none!
<10>	At sa halip hanggang ngayon, gusto pa rin ni PNoy o higit na binibigyang ng halaga ang kanyang ipinagpipilitang BBL na papabor sa mga rebelde sa Mindanao.	and instead, until now, PNoy still wants or gives more importance on insisting his BBL which is in favor of the rebels at Mindanao.
<11>	Kung sabagay, sanay na ang mga kababayan natin sa pulos pangako ng pamahalaang Aquino na walang nangyayari o kung mayroon man ay… nasaan?	well, our fellow countrymen are used to promises of the Aquino government without anything happening or if there is any... where?
<12>	Sino-sino ang mga nakinabang?	who are those who benefited?
<13>	Mga Pinoy ba o si PNoy at mga bataan ni PNoy?	are those the Filipinos or PNoy and PNoy's lackeys?
<14>	Sa Enero 25, sa unang anibersaryo ng SAF 44, malamang na may event na inihanda ang mga SAF para sa kanilang mga katoto bilang paggunita na kabayanihan ng mga napaslang.	on January 25, the first anniversary of SAF 44, most likely there will be an event prepared by the SAF for their fellow comrades as memorial of their heroism when they were killed.
<15>	Sisiputin naman kaya ng Pangulo ang okasyon?	will the president even attend the occasion?
<16>	Malabo siguro lalo na’t wala pang nangyayari sa kaso para sa kawawang mga pulis natin.	highly unlikely especially since nothing has happened in the case for our pitiful police.
<17>	Bukod sa malaki ang posibilidad na balewalain lang ito ng Palsyo dahil noon nga, nang dumating ang mga labi ng 44 sa airport, ay walang paki si PNoy este, mali pala kundi may mas nauna at importante siyang appointment noon – ang pagdalo sa okasyon ng Mitsubishi.	aside from the huge possibility that the Palace will ignore this because back then, when the corpses of the 44 came to the airport, PNoy did not care, correction, but had a prior and more important appointment then - to attend the occasion of Mitsubishi.
<18>	Hayun naman pala, hindi sa walang paki ang Pangulo.	so that was why, it is not because the president does not care.
<19>	Intindihin naman ninyo ang Pangulo natin, total e bilang na ang araw niya sa Malacañang.	you have to understand our president, besides his days are numbered in Malacañang.
<20>	Kailan kaya makamit ng mga bayani natin ang katarungan?	when will our heroes achieve justice?
<21>	Kung sabagay, si Heneral Antonio Luna nga ay hindi pa nakakamit ang katarungan sa pagpaslang sa kanya – ng mga traydor, ang katarungan pa kaya para sa SAF 44.	well, even general Antonio Luna did not receive, until now, the justice for his murder - by traitors, what more for the SAF 44.
<22>	‘Di ba mahal na Pangulo?	isn't it right, dear president?
<23>	Kayo naman mga kababayan, nangako na nga sa pamilya ng SAF 44, gusto ninyo tuparin pa?	so fellow countrymen, the promise was made to the families of SAF 44, do you want it fulfilled too?
<24>	Ngayon, mainit na naman ang isyu sa SAF 44 hindi lamang dahil sa wala pang nangyayari sa kaso kundi nais ng ilang mambabatas na buksan uli ang kaso o imbestigasyon hinggil dito.	presently, the issue of SAF 44 is once again hot, not only because nothing is happening in their case but because some legislators want to open the case again or the investigation about it.
<25>	May mga nalalamang impormasyon pa raw kasi ang ilang mambabatas sa insidente.	more information are said to be known by some legislators about the incident.
<26>	Walang masama kung muling buksan ang imbestigasyon sa SAF 44 para magkaalaman na talaga kung ano pa ang karagdagang impormasyon hinggil sa nangyari o pagpapapain sa mga pulis natin.	there is nothing bad in opening again the investigation on SAF 44 to once and for all discover what additional information about the event or the baiting of our police.
<27>	Lamang, sana ay walang bahid nang pamomolitika ang plano.	but, hopefully there would be no streak of politics in the plan.
<28>	Walang bahid na self interest.	no signs of self interest.
<29>	Alam naman natin na election fever na para sa 2016 national and local elections.	we all know that the election fever is on for the 2016 national and local elections.
<30>	Sana ay hindi magamit ang SAF 44 lalo na ng mga kandidatong kalaban ng administrasyon.	hope that SAF 44 will not be used especially by candidates against the administration.
<31>	Maaalala natin, nang maging mainit na isyu ang SAF 44, bumagsak ang popularity rating ni PNoy at siyempre, nadamay dito ang kanyang kandidatong si Mar Roxas lalo na’t wala siyang kinalaman sa operasyon noon.	we might remember, when the issue of SAF 44 was hot, the popularity rating of PNoy dropped and of course, this affected his candidate Mar Roxas especially since he had nothing to do with the operation back then.
<32>	Kaya sana, kung sakaling bubuksan nga uli ang imbestigasyon sa SAF 44, ang tunay na makinabang ay ang mga napaslang gayondin ang kanilang mga iniwan na mga mahal sa buhay at hindi ang mga walanghiyang mga kandidato o politicians natin.	which is why, if ever the investigation on SAF 44 will be opened again, the ones who would benefit are those killed and the loved ones they left behind, and not our shameless candidates or politicians.
