<1>	Sabado, Hulyo 9, 2016	Saturday, July 9, 2016.
<2>	ANG AKING KAPWA: Reflection for 15th Sunday in Ordinary Time Year C - July 10, 2016 - JUBILEE YEAR OF MERCY	my neighbor: reflection for 15th Sunday in ordinary time year c - July 10, 2016 - jubilee year of mercy
<3>	"At sino naman ang aking kapwa?" tanong ng isang eskriba kay Jesus.	"and who is my neighbor?" asked by one scribe to Jesus.
<4>	Ito rin marahil ay katanungang napapanahon ngayon.	this might also be a question that is timely right now.
<5>	Halos araw-araw ay may nababalitang pinapatay.	almost every day there is murder reported.
<6>	Marami sa kanila ay sinasabing drug user o pusher.	many of them are said to be a drug user or pusher.
<7>	Salot ng lipunan.	a plague to society.
<8>	Walang pakinabang.	useless.
<9>	Sanhi ng kriminalidad.	cause of criminality.
<10>	Banta sa katahimikan at kaligtasan.	a threat to peace and safety.
<11>	Kaya ang sabi ng iba ay nararapat lang na sila ay lipulin.	so some say that it is only right to eradicate them.
<12>	Mabuti na mawala na lang sila.	it would be good if they would just go away.
<13>	Ayos lang na sila ay mamatay!	it's okay for them to die!
<14>	Sigurado akong hindi ito ang "kapwa" na nais nating ituring.	I am certain that this is not who we want to consider a "neighbor".
<15>	Kung ganito ang ating pag-iiisip ay wala tayong pinagkaiba sa mga Hudyo noong panahon ni Jesus.	if our mentality is like this then we are no different from the Jews in the time of Jesus.
<16>	Mayroon din silang hindi maituring na kanilang "kapwa".	they also have some people whom they cannot consider as their "neighbor".
<17>	Sa simula pa lang ng kanilang kasaysayan ay itinuring na nilang kaaway ang mga Samaritano.	since the beginning of history they already considered the Samaritans to be their enemy.
<18>	May malalim silang hidwaan na kahit ang pagtigil sa kanilang mga lupain ay iniiwasan nilang gawin.	they have a conflict so deep that they even avoid stopping by their lands.
<19>	Nang tinanong si Jesus ng eskriba kung "Sino ang kanyang kapwa?"	when Jesus was asked by the scribe, "who is his neighbor?"
<20>	ay isinalaysay ni Jesus ang talinhanga ng "Mabuting Samaritano".	Jesus narrated the parable of "The good Samaritan".
<21>	Narinig na natin ang kuwentong ito.	we already heard this story.
<22>	Kung paanong sinadyang iwasan ng mga hudyo ang kanilang kapwa hudyong nangangailangan ng tulong.	about how the Jews intentionally avoided their fellow Jews who needed help.
<23>	Tanging ang "kaaway" na Samaritano ang huminto at nagpakita ng awa sa taong dapat niyang iniwasan!	only the "enemy" who was a Samaritan, stopped and showed mercy to the person that he should be avoiding!
<24>	Hindi layunin ni Jesus na ipahiya ang eskriba.	it was not Jesus' intention to embarrass the scribe.
<25>	Ang nais niya ay maunawaan nila na hindi mas mababang uri ang kanilang itinuturing na kaawaay at maari pa silang higitan sa kabutihan.	what he wants is for them to understand that who they consider as enemies are not lowly creatures and may even surpass them in kindness.
<26>	Kaya nga't ang sagot ni Jesus ay isa ring katanungan: "Sino ang nagpakita ng pakikipagkapwa sa taong hinarang ng tulisan?"	which is why the response of Jesus was also a question: "who showed compassion to the person who was stopped by bandits?"
<27>	Hindi masagot ng eskriba si Jesus ng diresto sapagkat kaaway nila ang mga Samaritano.	the scribe could not directly answer Jesus because the Samaritans were their enemies.
<28>	Kung minsan ay ganito rin ang ating pag-uugali.	sometimes this is also our attitude.
<29>	Hirap tayong magpakita ng pagmamahal sa ating mga itinuturing na kaaway.	we have difficulty showing love to those we consider enemies.
<30>	Hirap tayong magpatawad sa mga taong nakagawa sa atin ng masama o nakapagbigay sa atin ng sama ng loob.	we find it difficult to forgive people who have done us wrong or have caused us resentment.
<31>	Hindi natin matanggap na sila rin ay ang ating "kapwa".	we cannot accept that they are also our "neighbor".
<32>	Malinaw ang mensaheng nais paratingin ni Jesus sa atin: Ang ating kapwa ay ang mga taong nangangailangan ng awa, ng ating pang-unawa at higit sa lahat... ng gawang pagpapatawad.	the message that Jesus wants to show us is clear: our neighbors are the people who need mercy, our understanding, and most importantly our forgiveness.
<33>	Ang utos ng Panginoon na mahalin natin ang Diyos ng higit sa lahat at ang ating kapwa gaya ng pagmamahal sa ating sarili ay hindi lamang utos na nakalimbag sa Bibliya o sa ating Katesismo.	the commandment of the Lord to love God above all, and our neighbors the same way we love ourselves, is not just a commandment that is written in the Bible or in our catechism.
<34>	Ito ay nakalimbag hindi sa papel kundi sa ating mga puso.	it is written not on paper but in our hearts.
<35>	Ibig sabihin ay napakalapit sa atin sapagkat ito ay nasa ating kalooban, kabahagi ng ating pagiging tao at nang ating pagiging anak ng Diyos.	it means that it is very close to us because it is within ourselves, a part of our being and of being children of God.
<36>	Ang mga drug users at mga drug pushers ay mga kapwa din natin na dapat ituring.	the drug users and drug pushers should also be treated as our neighbors.
<37>	Marami na sa kanila ang sumuko.	many of them already surrendered.
<38>	Baka nga ang iba diyan ay mga kamag-anak natin, kaibigan o kakilala natin.	maybe some of them are our relatives, friend or someone we know.
<39>	Handa ba natin silang tanggapin bilang ating "kapwa?"	are we ready to accept them as our "neighbor"?
<40>	O baka naman sa kanilang pag-amin ay lalo lang nilang maramdaman na sila ay hiwalay at hindi na katanggap-tanggap sa ating lipunan?	or maybe in their confession they might feel to a greater extent that they are outcasts and are not accepted in our society?
<41>	Sa taong ito ng Awa o Jubilee Year of Mercy, ang hamon sa atin ay ipakita ang AWA, PANG-UNAWA, AT GAWA ng Diyos lalo na sa ating mga kapwang nangangailangan ng pagkalinga.	in this year of mercy or jubilee year of mercy, the challenge for us is to show the mercy, understanding and deed of God especially to our neighbors who need protection.
<42>	Hindi solusyon na sila ay patayin o lipulin sa mundong ibabaw.	it is not a solution to kill them or wipe them out from the face of the earth.
<43>	Tugunan natin ng kabutihan ang kasamaan.	let us respond to evil with kindness.
<44>	Palitan natin ng kapayapaan ang karahasan.	let us replace violence with peace.
<45>	Pairalin natin ang kultura ng buhay at hindi ng kamatayan!	let us allow a culture of life and not death to prevail!
