<1>	Mga graduating college students hinahanda ng DOLE sa pagpasok sa trabaho	graduating college students are being prepared by DOLE for going to work.
<2>	March 28, 2016	March 28, 2016
<3>	LUNGSOD NG KORONADAL, South Cotabato,	City of Koronadal, South Cotabato,
<4>	Mar. 28 (PIA) -- Isang seminar ang isinasagawa ngayon ng Department of Labor and Employment 12 upang ihanda ang mga graduating students sa kanilang pagpasok sa sektor ng mga mangagawa.	March 28 (PIA) - a seminar is now being conducted by the Department of Labor and Employment 12 to prepare graduating students for their entry into the sector of workers.
<5>	Layunin ng programa na Labor Education for Graduating Students (LEGS) ang maturuan ang mga magtatapos ng pag-aaral at mga naghahanap ng trabaho ang tamang pag-uugali bilang mangagawa at kultura ng produktibo at desenteng paggawa at katulad ng mga usapin, ayon kay DOLE 12 Regional Director Ofelia Domingo.	it is the goal of the program, Labor Education for Graduating Students (LEGS), to teach those who are about to finish their studies and are looking for work about the proper attitude as a worker and a culture of a productive and decent labor and similar topics, according to DOLE 12 Regional Director Ofelia Domingo.
<6>	Itinuturo rin sa seminar ang mga kailangang gawin habang nag-aaplay ng trabaho, mga karapatan ng manggagawa at mga amo, mga benepisyong dapat matanggap tulad ng PhilHealth at SSS coverage at marami pang iba.	also taught in the seminar are things that need to be done while applying for work, the rights of workers and employers, benefits that should be received like PhilHealth and SSS coverage, and many more.
<7>	Katuwang ng DOLE 12 sa pagpapatupad ng LEGS ang mga Public Employment Service Office (PESO).	Public Employment Service Office (PESO) is the partner of DOLE 12 in implementing LEGS.
<8>	Sa datos ng DOLE 12, sa kasalukuyan umabot na sa mahigit 30,000 graduating students at mga naghahanap ng trabaho sa SOCCSKSARGEN Region ang sumailalim sa LEGS Seminar.	currently, in the data of DOLE 12, almost 30,000 graduating students and job seekers in SOCCSKSARGEN Region are undergoing the LEGS seminar.
<9>	Sa pagtatapos ng school year 2015-2016, inaasahang halos 21,000 ang madadagdag sa labor force ng Rehiyon 12, ayon sa datos ng Commission on Higher Education 12.	at the end of school year 2015-2016, it is expected that almost 21,000 will be added to the labor force in Region 12, according to data of the Commission on Higher Education 12.
<10>	Dagdag ni Director Domingo, maaring humiling sa DOLE 12 ang mga paaralan para sa pagsasagawa ng LEGS seminar para sa kanilang mga graduating classes.	Director Domingo added, schools can ask DOLE 12 to conduct LEGS seminar for their graduating classes.
<11>	Kailangan lamang sumulat sa pinakamalapit na DOLE Provincial Office. (DEDoguiles-PIA 12)	it is just required to write to the nearest DOLE Provincial Office. (DEDoguiles-PIA 12)
