<1>	Alaska Milk Fun Run ratsada ngayon By Ramil Cruz	Alaska Milk Fun Run accelerating by Ramil Cruz
<2>	June 11, 2016	June 11, 2016
<3>	Itatampok ang kahalagahan ng tamang nutrisyon at ehersisyo na may 5K, 3K & 1K Fun Run sa pagdiriwang ng Alaska Milk Day ngayon sa McKinley West Taguig City, SM City-Naga City, SM City Davao City, at sa SM Seaside Cebu City.	the importance of proper nutrition and exercise will be highlighted in the 5K, 3K and 1K Fun Run in celebration of Alaska Milk Day now at Mckinley West Taguig City, SM City-Naga City, SM City Davao City, and at SM Seaside Cebu City.
<4>	Kaugnay ito ng selebrasyon sa World Milk Day, tampok din sa AMD A tapos ng run na sisimulan sa 5:00 a.m., ang milk toast sa 6:00 a.m., Zumba sessions sa 6:30 a.m. at free breakfast sa lahat ng participants pagkaraan.	this is in relation to the celebration of World Milk Day, highlighted also in the AMD after the run, which will be started at 5:00 a.m, is the milk toast at 6:00 a.m, Zumba sessions at 6:30 a.m and free breakfast for all the participants.
<5>	Ang registration ay free.	registration is free.
<6>	Sa bawat participant, magdodonasyon ang Alaska ng kanilang mga produkto sa Children’s Hour.	for each participant, Alaska will be donating their products at the Children's Hour.
<7>	May 5,000 runners na ang nag-registered sa Metro Manila leg pa lang.	around 5,000 runners have registered for Metro Manila leg.
<8>	Pinalalakas ng Alaska Milk Day ang kabutihan ng pag-inom ng at pananati­ling malusog na pamumuhay.	Alaska Milk Day is strengthening the importance of drinking and maintaining healthy in lifestyle.
<9>	Ang mga kategorya sa takbuhan ay 5K at 3K sa individuals, 3K family at 1K sa 6-8 age group, na mga makakatanggap din ng free Disney at Marvel character theme freebies kasama ang finishers’ medals.	the categories in the run are 5K and 3K for individuals, 3K family and 1K for 6-8 age group, who are also going to receive free Disney and Marvel character-themed freebies along with finisher's medals.
<10>	Pinagdiriwang nang taun-taon ang WMD sa buong mundo.	the WMD is celebrated every year in the whole world.
<11>	Nakasentro ito sa gatas bilang pandaigdigang pagkain para sa kalusugan at mabuting panga­ngatawan sa bawat kultura’t bansa.	it is centered on milk as a global food for the health and good physique in each culture and country.
<12>	Hinihimok ng Alaska Milk ang mga kabataan at mga nagkakaedad na maging ugali ang pag-inom ng gatas at magkaroon ng sports para maabot ang mabuting kalusugan.	Alaska Milk is encouraging the youth and those who are aging to make a habit of drinking milk and have sports to achieve good health.
