<1>	(0.000-1.535)	maana ya hisa .	the meaning of stock of shares .
<2>	(1.535-9.171)	Moremi umezungumzia soko ni uwekezaji kampuni inaweza kumiliki wananchi wanaweza nini na tofauti yake na unaweka hisa .	Moremi has talked about the market is what the investment company can own public can own and its difference with stocking shares .
<3>	(9.171-9.755)	naam .	yes .
<4>	(9.755-10.710)	<no-speech>	<no-speech>
<5>	(10.710-13.420)	soko la hisa linamhusu nani zaidi ?	who mostly does stock of shares market involve ?
<6>	(13.420-21.760)	<lipsmack> soko la hisa linamhusu <hes> kila mtu kuanzia mtoto ambaye anazaliwa leo mpaka mtu ambaye ana umri mkubwa sana .	the stock market involves everybody starting from a child who is born today until a person who is very old .
<7>	(21.760-26.249)	vile vile zaidi ya watu makampuni pia yanahusika .	similarly apart from people companies are also involved .
<8>	(26.249-41.618)	makampuni kwa maana mbili kwanza yanapokuwa yanahitaji taji na badala ya kwenda kukopa katika taasisi za kifedha au mabenki wakaamua kwamba wabadilishane <hes> umiliki wa kuwapa watu umiliki na wao kwa kuwapa hisa na kwa hivyo kupata pesa .	companies for two reasons first when they need capital and instead of going to borrow from financial institutions or banks they decide that they exchange ownership by giving people ownership and them they give them shares and therefore getting money .
<9>	(41.618-45.340)	hii ni njia nyingine ambayo ni ndefu na njia ambayo ni endelevu .	this is another method which is a long and continuous method .
<10>	(45.340-56.084)	na <hes> kampuni kwa maana hiyo moja ya upatikanaji wa taji lakini vile vile kampuni kwa maana nyingine vile vile inaweza ikawa kama <hes> mwekezaji na mmiliki wa hii kampuni nyingine .	and companies for that one reason for acquiring of capital but at the same time a company for another reason similarly can become like an investor and the owner of this other company .
<11>	(56.084-65.980)	kwa mfano kampuni kama za pension kampuni kama za insurance <hes> yaani pension pamoja na Bima zinaweza zikanunua kampuni kama kwa mfano T_B_L tuseme .	for example companies like for pension and insurance companies that is pension together with insurance can buy a company like for example let's say T_B_L .
<12>	(65.980-72.890)	wanaweza vile vile wakawa na umiliki na <hes> hivyo kuitwa wanahisa katika hii kampuni ya T_B_L .	similarly they can have ownership and then to be called shareholders in this T_B_L company .
<13>	(72.890-91.230)	kwa hivyo <hes> watu mtu mmoja mmoja kama watu binafsi lakini vile vile kampuni inaweza kuimiliki kampuni nyingine ambapo hiyo kampuni nyingine imehitaji taji na kuwapa umiliki <hes> watu au kampuni nyingine . <lipsmack> baada ya kuelewa sasa soko la hisa kwa ujumla wake <breath> hali ya soko ikoje kwa hapa <int> nchini ?	therefore private individuals or people and similarly companies can own another company where that other company needed capital and gave them ownership people or another company . after now understanding stock market generally how is the market situation here in the country ?
