<1>	(0.000-1.913)	uwe mwenyekiti au mwenye ki stool li .	whether you are the chairman or stool .
<2>	(1.913-6.487)	sisi tumeanza kuchangia mwaka gani kwa soko hili mpaka kufikia hatuelewi tunatoa shilingi elfu nane kwa mwezi .	which year did we start contributing to this market until reaching we don't understand we give eight thousand shillings per month .
<3>	(6.487-7.463)	<no-speech>	<no-speech>
<4>	(7.463-12.830)	jibu ni kwamba swala la kuchangia ushuru au kutoa ushuru si swala la siku moja .	the answer is that the issue of contributing or paying taxes isn't a one day issue .
<5>	(12.830-17.669)	hata kama umeanza mwaka elfu mbili na <int> (()) ishirini na tano sasa lakini hili ni swala endelevu .	even if you started in the year two thousand and (()) now twenty-five but this is a sustainable issue .
<6>	(17.669-23.888)	sasa kwa hiyo kama ulilipa siku za nyuma ni kwamba unaendelea kulipa ushuru <sta> kwa sababu bado upo na unashughulika .	now in this way if you paid in the past you still continue paying taxes because you're still around and you are occupied in your affairs .
<7>	(23.888-30.048)	sisi tunalipa tunacho sema sasa hela inakwenda wapi wakati (()) sasa ngoja -- ngoja kidogo .	we are paying what we are saying now where does the money go when (()) now wait -- wait a little .
<8>	(30.048-35.840)	<sta> huyu -- huyu -- huyu ni mwenyekiti ni mwenyekiti ya soko au ni mwenyekiti wa wazoa takataka ?	this -- this -- this is the chairman is the chairman of the market or is the chairman of the garbage collectors ?
<9>	(35.840-41.761)	<int> yaani huyu mwenyekiti wa walio- -- yaani wa soko mchanganyiko kwa sababu soko ndilo linalo- <overlap> ahh (()) nalipa kule .	that is this chairman of they -- that is of the mixed market because it's the market that has -- ahh (()) I pay there .
<10>	(41.761-42.868)	<overlap> ninalipa ushuru kule .	I pay taxes there .
<11>	(42.868-49.874)	(()) wao ndiyo wenye majukumu ya kuchukua gari ya kubeba usafi eh ya kubeba takataka <overlap> <sta> na cha ajabu <int> utakuta magari yataka hayo .	(()) they are the ones with the responsibilities of getting the vehicle of carrying cleanliness yes to carry garbage and what is surprising you'll find those garbage vehicles .
<12>	(49.874-54.104)	<overlap> na kifupi ni kwamba hao wanataka kuleta (()) .	and in short is that those ones want to bring (()) .
<13>	(54.104-57.841)	unafikiri (()) umesikia kitu kimoja huyu <int> mama anasema niliwahi mi kumtongoza .	you think (()) you've heard one thing this woman says I once seduced her .
<14>	(57.841-59.313)	<breath> ni jambo ambalo sio la kweli .	it's something that isn't true .
<15>	(59.313-65.738)	<breath> unajua unapokuwa kiongozi lazima ukutane na vipingamizi na mambo ya -- ya mengi tu makubwa ya kutaka kuchafua heshima yako .	you know when you are a leader you must meet obstacles and issues of -- just a lot that want to spoil your respect .
<16>	(65.738-72.107)	lakini napenda niseme kitu kimoja kwamba shughuli kama hii <breath> inategemea ushuru ili iweze kufanyika <breath> .	but I would like to say one thing that activities like this depend on taxes in order to be able to be done .
<17>	(72.107-74.700)	hata hawa wanaozoa takataka hapa wanahitaji kulipwa .	even those who take out garbage here need to be paid .
<18>	(74.700-85.314)	je tutajiendeshaje kama wao wanakuwa <overlap> <sta> hapo mwenyekiti <overlap> kama afisa unajua naona kama umenipotezea muda kunileta .	how will we run our affairs if they are there chairman like an officer you knows like you've wasted my time to bring me here .
<19>	(85.314-88.770)	<no-speech>	<no-speech>
<20>	(88.770-97.064)	kama <sta> wafanyi- -- tuna -- tunatoa maelezo kwamba kama wafanyabiashara ni elfu moja wa soko hili tu dogo si ndiyo ?	like those who -- we are -- we give instructions that if business people are one thousand of just this small market right ?
<21>	(97.064-97.730)	ndiyo .	yes .
<22>	(97.730-104.222)	sasa kama wao ni elfu moja ukichukua shilingi elfu tisini na sita kwa mwaka <sta> unakuta ni hela nyingi .	now if they are one thousand if you take ninety-six thousand for a year you find it's a lot of money .
