<1>	(0.000-1.829)	<no-speech>	<no-speech>
<2>	(1.829-11.700)	<sta> heshima ya dola inapungua ujangili uki- -- ukipanda <sta> sasa ndiyo tumekutana hapa dola yetu iendelee kuwa na heshima .	the value of the dollar has reduced as poaching -- increase it's why we have met here so ensure our dollar continues to be respectable .
<3>	(11.700-17.562)	<sta> sisi twendelee kuwa na heshima <breath> sheria zetu ziendelee kuwa na heshima <sta> kwa kudhibiti ujangili .	let's continue having respect our laws to continue being honorable by controlling poaching .
<4>	(17.562-19.887)	<no-speech>	<no-speech>
<5>	(19.887-25.053)	ujangili unaundermine <sta> integrity of the state .	poaching undermines the integrity of the state .
<6>	(25.053-26.101)	<no-speech>	<no-speech>
<7>	(26.101-27.215)	kila mmoja aguswe .	everyone to be compelled .
<8>	(27.215-28.400)	<no-speech>	<no-speech>
<9>	(28.400-32.793)	<sta> dola yetu ikidhalilika kwa sababu ya ujangili sisi tunadhalilika zaidi .	if our dollar degenerates because of poaching we degenerate even more .
<10>	(32.793-33.730)	<no-speech>	<no-speech>
<11>	(33.730-34.878)	<sta> tujitahidi kwenye hilo .	let's strive on that .
<12>	(34.878-38.720)	<no-speech>	<no-speech>
<13>	(38.720-44.240)	<sta> tafiti za kawaida zinaonyesha kuwa vijana ndiyo hutumika zaidi kufanikisha ujangili .	regular research shows that youths are the ones largely used to achieve poaching .
<14>	(44.240-50.116)	<sta> ikiwa ni kuwinda au hata kutumika kubeba nyama <laugh> na nyara mbalimbali <sta> kutoka hifadhini .	be it in hunting or even used to carry meat and various seized prey from the park .
<15>	(50.116-81.660)	ili kuwaokoa na kuwapa elimu ya madhara ya ujangili mradi wa SPANEST umekuwa ukitumia <breath> michezo kuwafikia <sta> kupitia kampeni maalum maarufu kama SPANEST cup <sta> yenye kaulimbiu ya Piga mpira Ujangili Piga mpira Okoa Tembo <sta> kwa vijana kutoka vijiji ishiri na moja vinavyopakana na hifadhi ya Ruaha <sta> ambapo wakati wa michezo hiyo wahifadhi na viongozi wa ngazi mbalimbali wa serikali wamekuwa wakipata nafasi ya kutoa ujumbe na wito kwa vijana <sta> na jamii kushiriki katika kupiga vita ujangili .	in order to save them and educate them on the effects of poaching SPANEST project has been using sports to reach them through a special campaign commonly known as SPANEST cup with the slogan Kick the Ball Poaching Kick the Ball Save the Elephant for the youths from twenty-one villages that border with Ruaha park where during the games rangers and other government leaders of various levels having been getting the opportunity to deliver the message and plea to the youths and community to participate in fighting against poaching .
<16>	(81.660-92.381)	<no-speech> (()) kuona kwamba kwa kupitia <sta> SPANEST tumeweza kutoa mwitikio mkubwa kwa ajili ya kupambana na hali ya ujangili <int> .	(()) to see that through SPANEST we will be able to provide a major response in the course of fighting the state of poaching .
<17>	(92.381-106.029)	nami mi siku zote nimekuwa <int> nikiamini kwamba <sta> kama tutaruhusu jamii iendelee tembo ataisha <sta> halafu baadaye ng'ombe zitakuja kuchinjwa nyumbani mwetu kuku na hata watu pia .	and I have always believed that if we will allow the community to forge ahead elephants will be finished then later on cattle chicken and even humans too will come to be slaughtered at our homes .
<18>	(106.029-108.900)	kwa sababu ni uhalifu kama uhalifu mwingine .	because it is an offense like any other .
<19>	(108.900-113.670)	<sta> lakini pale tutakapoamua kuwa watu wa amani haki na tutakuwa salama .	but the time we will decide to be peaceful and just people we will be safe .
<20>	(113.670-117.900)	na wanyama wetu wanapoendelea kuwepo basi na Utalii utakuwa .	and as our animals coexist then tourism will prevail .
<21>	(117.900-128.387)	<sta> na ninawaambieni kupitia michezo hii hata timu ambazo ziko Iringa kama Lipuli <int> itapata vijana wazuri <sta> na hadithi ile ya kule Tukuyu itajirudia .	and I tell you through these games even teams in Iringa like Lipuli will get good youths and the Tukuyu story will reemerge .
<22>	(128.387-136.062)	siku moja twaaga <sta> mnaweza mkawa <int> mabingwa wa taifa kwa (()) ile ambayo inaendelea ambayo T_F_F inasimamia .	one day Twaaga you can be the national champions in (()) that is underway that T_F_F supervises .
<23>	(136.062-141.116)	kwa hivyo tunaomba vijana <sta> mchangamkieni hii fursa kwa sababu kuna nafasi kubwa mbeleni .	therefore we request the youths to take up this opportunity because there is a great prospect in future .
<24>	(141.116-143.160)	ahsanteni sana .	thank you very much .
<25>	(143.160-149.310)	<sta> mashindano haya yamedhaminiwa na mradi wa SPANEST wakishikana n (()) hususan hifadhi ya taifa ya Ruaha .	those competitions have been sponsored by SPANEST project in collaboration with (()) especially Ruaha national park .
<26>	(149.310-158.857)	<sta> na wadau wengine kwa lengo la kuwashirikisha <int> vijana wanaoishi katika <sta> vijiji ishirini na moja ambavyo vipo katika tarafa za Idoli na Paraka .	and other stakeholders with the aim of involving youths living in the twenty-one villages that are in Idoli and Paraka divisions .
