<1>	Burkina Faso kuwasha moto katika Kundi A	Burkina Faso to start in group A
<2>	GEOFFREY ANENE na MASHIRIKA	Geoffrey Anene and organizations
<3>	JE, ni Congo Brazzaville, Burkina Faso, Gabon ama wenyeji Equatorial Guinea watajikatia tikiti kutoka Kundi A katika makala ya 30 yatakayong’oa nanga Januari 17?	is it Congo Brazzaville, Burkina Faso, Gabon or the hosts, Equatorial Guinea, who will get themselves the ticket from group A in the 30th series, which will kick off on January 17?
<4>	Timu hizi zitachezea mechi zao za makundi katika jiji la Bata, ambalo liko katika pwani ya Equatorial Guinea.	these teams will play their group matches in Bata city, which is on the coast of Equatorial Guinea.
<5>	Kulingana na viwango bora vya Shirikisho la Kandanda Duniani, FIFA, Congo wana upatu mkubwa wa kushinda tikiti moja kati ya mbili za robo-fainali ambazo zitang’ang’aniwa katika kundi hilo.	according to the Federation of International Football Association (FIFA) standards, Congo are the favorites to win one of two quarter final tickets which will be contested by the group.
<6>	Congo wanarejea AFCON tangu 1974.	Congo turns back to AFCON since 1974.
<7>	Wanaorodheshwa juu ya wapinzani wao katika viwango hivyo katika kundi hilo.	they are listed above their opponents in those rates in that group.
<8>	“Mashetani w e k u n d u ” Congo wan a s h i k i l i a nafasi ya 61 duniani na 15 barani Afrika.	"Red devils" Congo holds at number 61 in the wild and 15 in Africa.
<9>	Mabingwa hawa wa AFCON 1972 wamekuwa na historia ya kupigwa marufuku kushiriki AFCON ikiwa ni zaidi ya mara nane.	these AFCON 1972 champions have a history of being banned due to fairness with AFCON, for more than four times.
<10>	Wananolewa na kocha Mfaransa, Claude Le Roy aliyewahi kuzinoa timu za Senegal, Ghana, Cameroon na DR Congo.	they are criticized by a French coach, Claude Le Roy, who managed to win the Senegal teams Cameroon and DR Congo.
<11>	Burkina Faso, ambao wanaorodheshwa katika nafasi ya 64 duniani na 18 barani Afrika, walimaliza katika nafasi ya pili AFCON 2013.	Burkina Faso, who are ranked 64 in the world and 18th in the African continent, ended in second place in the Africa Cup of Nations, 2013.
<12>	Hii ni mara ya nne mfululizo ya Les Etalons (farasi dume) kushiriki AFCON.	this is the fourth time in a row for Les Etalons (male horse) to participate in the Africa Cup of Nations.
<13>	Burkina Faso, ambao waliondolewa katika mechi za makundi mwaka 2010 na 2012, wananolewa na raia wa Ubelgiji, Paul Put.	Burkina Faso, who were disqualified from the group match in 2010 and 2012, are criticized by the Belgium citizen, Paul Put.
<14>	Gabon almaarufu Les Panthères (chui) wako chini ya ukufunzi wa Mreno Jorge Costa.	popular Gabon team Panthers (leopard) are under the training of Mreno Jorge Costa.
<15>	Wanarejea katika AFCON baada ya kukosa makala ya 2013.	they are returning from AFCON after missing the 2013 articles.
<16>	Matokeo yao nzuri katika AFCON ni robo-fainali mwaka 2012 walipoandaa dimba hilo kwa pamoja na majirani wao Equatorial Guinea.	their good results are from the AFCON quarter final year 2012, where they organized the tournament together with their neighbors from Equatorial Guinea.
<17>	Gabon ni wa 62 ulimwenguni na 16 barani Afrika.	Gabon are 62 in the world, and 16th in Africa.
<18>	Equatorial Guinea almaarufu Nzalang’ (radi), walifikia hatua ya robofainali mwaka 2012.	Equatorial Guinea, popularly Nzalang' (works), reached the stage of the quarterfinal in 2012.
<19>	Wananolewa na kocha mpya Esteban Becker.	they are being taught by the new coach, Esteban Becker.
<20>	Raia huyu wa Argentina aliwahi kuongoza wenyeji Equatorial Guinea kutwaa kombe la AFCON la kinadada mwaka 2012.	this citizen of Argentina led the locals, Equatorial Guinea, to take the cup of AFCON for the ladies in 2012.
<21>	Anajaza mahala pa raia wa Uhispania, Andoni Goikoetxea aliyetimuliwa wiki mbili zilizopita baada ya ‘radi’ kuzidiwa nguvu katika mechi za kirafiki.	he is filling the position of the citizen of Hispania, Andoni Goikoetxea, who was dismissed two weeks ago after 'thunder' was beaten in the friendly match.
<22>	Licha ya Equatorial Guinea kuorodheshwa 36 barani Afrika na 118 duniani, kivumbi kinatarajiwa katika kundi hili.	despite Equatorial Guinea listed 36 in Africa and 118 in the world, dust is expected in this group.
<23>	Nchi nzima ya Equatorial Guinea, ambayo ina idadi ya watu elfu 700, inatarajiwa kuwa nyuma ya vijana wao.	the whole nation of Equatorial Guinea, which has a population of 700 thousand people. is expected to support their boys.
<24>	Hata hivyo, mbio za kunyakua tikiti mbili za robo-fainali kutoka Kundi A zitang’ang’aniwa na Congo, Burkina Faso na Gabon, ambao wanakaribiana katika viwango bora vya FIFA.	however, the race to grab two quarter final tickets from Group A will be contested by Congo, Burkina Faso, and Gabon, who are close in the best FIFA standards.
