<1>	(0.000-2.807)	naam sasa ni habari za michezo na burudani .	indeed now are the sports and entertainment news .
<2>	(2.807-16.252)	committee ya sheria maadili na hadhi za wachezaji ya T_F_F imeridhia hatua iliyochukuliwa na sekretarieti ya T_F_F ya kumruhusu mchezaji Kevin Yondan kuichezea kilabu ya Yanga katika mashindano ya Kombe la Kagame elfu mbili na kumi na mbili .	the committee of morals regulations and players respect of T_F_F have accepted the action taken by the secretariat of T_F_F to allow the player Kevin Yondan to play for Yanga club in the Kagame cup championship two thousand and twelve .
<3>	(16.252-18.192)	Taarifa ya Said Kilumanga inafafanua .	the report by Said Kilumanga explains .
<4>	(18.192-20.200)	<no-speech>	<no-speech>
<5>	(20.200-41.660)	mwenyekiti wa committee hiyo Alex Mgongolwa amewaambia waandishi wa habari jijini Dar es Salaam kuwa committee ilibaini kuwa mkataba wa mchezaji Kevin Yondan na kilabu ya Simba ulimalizika May thelathini na moja mwaka huu hivyo kwa taratibu za usajili Kevin Yondan kuanzia Julai moja mwaka huu alikuwa ni mchezaji huru .	the Committee Chairman Alex Mgongolwa have told the news reporters in Dar es Salaam that committee proved that the contract of the player Alex Mgongolwa with Simba club ended on May thirty-first this year that is for the signing procedures Alex Mgongolwa from July first this year was a freelance player .
<6>	(41.660-62.750)	aidha Mgongolwa amesema committee ilibaini kuwa mkataba uliowasilishwa na kilabu ya Simba T_F_F ikiwa na maana ya kuongeza mkataba uliokuwepo T_F_F baina ya kinyume cha utaratibu wa kuongeza mikataba ya wachezaji unaozitaka kilabu kuwasilisha mikataba hiyo wakati mkataba halisi haujaisha muda wake .	furthermore Alex Mgongolwa has said that the committee proved that the contract that was presented by T_F_F then meant the extension of contract available in T_F_F against the procedures of players contract extension that requires the club to present those contracts at the time the formal contact has not expired .
<7>	(62.750-66.280)	hivyo mkataba huo kwa jicho la kisheria haupo .	that is that contract on the face of the law is not there .
<8>	(66.280-72.550)	committee hiyo ilizima pasi mashaka yoyote kuwa swala zima la mchezaji Kevin Yondan ni swala la kiutendaji .	that the committee brought calm onto any doubt that the whole issue of player Kevin Yondan is a performance issue .
<9>	(72.550-87.240)	hivyo maamuzi ya sekretarieti kuwasiliana na kilabu ya Simba kwa swala hilo la kiutendaji kama sekretarieti ilivyo fanya katika barua yake ya tarehe kumi na nne mwezi wa saba mwaka elfu mbili na kumi na mbili yalikuwa ni sahihi .	that's the decisions of the secretariat to communicate with Simba club on that issue of performance that was done in its letter of fourteenth the month of July this year two thousand and twelve were right .
<10>	(87.240-100.950)	kutokana na maelezo yote hapo juu committee imeridhika -- imeridhia hatua iliyochu- -- iliyochukuliwa iliyochukuliwa na sekretarieti ya T_F_F ya kumruhusu mchezaji Kevin Yondan kuichezea kilabu ya Yanga katika mashindano ya Kagame ya elfu mbili na kumi na mbili .	as a result of all the explanations there above the committee has been satisfied -- has accepted the action -- that was taken by the secretariat of T_F_F of allowing the player Kevin Yondan to play for Yanga club in the Kagame cup championship two thousand and twelve .
<11>	(100.950-116.230)	aidha kwa upande mwingine Mgongolwa amesema hata kama committee ingeona mkataba huo katika jicho la sheria bado mkataba wenyewe una tatizo la kisheria hasa katika tarehe ambazo pande mbili husika ziliingia makubaliano hayo .	likewise on the other side of Mgongolwa he has said that even if the committee would have looked into the contract on the face of the law still the contract itself has legal problems especially on the dates that both two sides involved got into that contract .
<12>	(116.230-129.840)	amesema ukiangalia mkataba huo unabainisha kuwa wakati mchezaji Kevin Yondan aliingia makubaliano Desemba ishirini na tatu mwaka jana upande wa pili wa kimkataba ambao ni kilabu ya Simba .	he has said that when you looked into that contract it proves that the time the player Kevin Yondan got into the agreement on December twenty-third last year the second side of the contract which is the Simba club .
<13>	(129.840-138.220)	unaonekana uliingia makubaliano hayo kupitia kwa makamu mwenyekiti wake Geoffrey Nyange Kaburu Desemba ishirini na tatu mwaka huu .	seems got into that contract through its Vice Chairman Geoffrey Nyange Kaburu on December twenty-third this year .
<14>	(138.220-150.464)	amesema kisheria utata huo unaweza kuondolewa na pande husika tu kwa kurekebisha dosari hiyo kwa maridhiano kuweka saini katika mabadiliko hayo ili kuthibitisha mabadiliko hayo .	he have said that legally that problem can be removed by the involved sides by correcting that error by consent to sign in those changes in order to confirm those changes .
