<1>	CBA and Master Plan	CBA and master plan
<2>	March 12, 2017	March 12, 2017
<3>	OFA! OFA! OFA!	offer! offer! offer!
<4>	Punguzo la zaidi ya Asilimia 90% kwenye Huduma Mbili za Kilimo Biashara (CBA na Master Plan).	reduction of more than 90 percent on two services of agriculture business (CBA and master plan)
<5>	Kutoka 30,000/= (elfu thelathini) hadi 2,500 (Elfu mbili mia Tano).	from 30,000 (thirty thousand) to 2,500 (two thousand five hundred).
<6>	Yaani sasa hivi unapata CBA na Master Plan ya zao moja kwa 2,500 tu badala ya 30,000/= ya hapo awali.	that is, right now you get a CBA and Master Plan at just 2,500 shillings for one crop instead of 30,000 shillings earlier.
<7>	Kwa vile lengo letu kubwa ni kuwasaidia wakulima wengi kupata faida kwenye kilimo, tumekuja na mkakati mpya wa kuwafikifikia hata wale waliokua wakitamani kupata Huduma hizi lakini wakashindwa kwasababu ya gharama ya 30,000/= hii ni habari njema sana kwa wakulima wote, hakuna haja ya kupata hasara tena.	because our big goal is to help many farmers to profit from agriculture, we have come up with a new strategy to reach even those who desire to get these services but are unable because of the 30,000 shilling cost, this is very good news for all farmers, there is no need for accruing losses again.
<8>	Yaani 2,500 tu inakusaidia kuokoa hasara za malaki na mamilioni.	 2500 only helps you to avoid losses of thousands and millions.
<9>	Hapa chini tumeweka Maelezo zaidi Kuhusu Huduma zetu (CBA na Master Plan) Pamoja na Masharti na Vigezo vya OFA:	down here we have put more explanations regarding our services (CBA and master plan) together with regulations and criterion of the offer.
<10>	Huduma ya Kwanza: CBA:	the first service: CBA
<11>	• CBA ni kifupicho cha maneno Cost benefit nalysis.	CBA is an abbreviation for the words cost-benefit analysis.
<12>	Yaani Uchambuzi wa Gharama na Faida.	that is the analysis of cost and benefit.
<13>	Uchambuzi huu tayari umefanyika kwa mazao 4 (nyanya, vitunguu, Tikiti maji na pilipili hoho).	this analysis has already happened for 4 crops (tomatoes, onions, watermelon and green pepper).
<14>	Tunaendelea na mazao mengine.	we continue with other crops.
<15>	• CBA inakusaidia kulinganisha miradi kadhaa ili kukusaidia kujua mradi/kilimo cha gani kinakufaa zaidi.	CBA helps you to compare several projects in order to help you to know the project/agriculture which is most suitable for you.
