<1>	Kanuni za mafuta, gesi kuanza mwakani	regulations of oil, gas start over the course of the year
<2>	Imeandikwa na Theopista Nsanzugwanko	written by Theopista Nsanzugwanko
<3>	Imechapishwa: 30 Septemba 2016	published: 30 September 2016
<4>	KANUNI za utekelezaji wa sheria ya mafuta na gesi inayowezesha Watanzania kushiriki katika kampuni za uwekezaji kwa asilimia 25 na zaidi, zinatarajiwa kuanza kutumika mwakani.	the regulations for implementing oil and gas laws that enable 25 percent or more of Tanzanians to participate in the investment company are expected to become operational over the course of the year.
<5>	Kukamilika kwa sheria hiyo na kanuni zake, kutawezesha Watanzania wengi kushiriki katika mradi mkubwa wa ujenzi wa kiwanda cha kusindika gesi asili (LNG) mkoani Lindi.	the completion of this law and its regulations will enable many Tanzanians to participate in a major project of the construction of a natural gas processing plant (LNG) in the Lindi region.
<6>	Akifungua mkutano wa kujadili matokeo ya utafiti kuhusu utayari wa Watanzania kushiriki katika mradi huo wa LNG, Dar es Salaam jana, Naibu Waziri wa Nishati na Madini, Dk Medard Kalemani alisema ili kutafsiri sheria ya mafuta na gesi kwa vitendo serikali imeandaa kanuni na tayari zimefikia hatua nzuri.	when opening the meeting in Dar es Salaam yesterday to discuss the findings of the research concerning the readiness of the Tanzanians to take part in the LNG project, deputy minister of Energy and Mining, Doctor Medard Kalemani, said that in order to translate the oil and gas law into actions, the government has developed regulations and they have already reached a good stage.
<7>	Dk Kalemani alisema kwa sasa wadau wanatoa maoni yao na wamepewa muda wa miezi mitatu wawe wameshakamilisha ili kutafsiri kwa vitendo sheria hiyo na wanatarajia mwisho wa mwaka huu au mwaka ujao mwanzoni kukamilika na kuanza kutumika.	Doctor Kalemani said that stakeholders are now giving their opinions and have been given a period of three months to have this finalized so the law can be put into action, and they expect this to be complete and to commence implementation by end of this year or early next year.
<8>	Alisema sheria hiyo ya mwaka 2015, inabainisha kuwa wawekezaji na miradi ya mafuta na gesi asilia lazima Watanzania kushiriki kwa asilimia 25 pamoja na kutumia bidhaa zinazozalishwa nchini.	he said that the law of the year 2015 spells out that for investors of the oil and natural gas project, 25 percent of the participants must be Tanzanians and they must use products manufactured in the country.
<9>	Alisema hatua iliyofikiwa kwa sasa kwenye mradi huo ni kufanya majadiliano ya mikataba na kampuni za uwekezaji ambazo mikataba itakuwa ya miaka 25 na zaidi.	he said the step currently reached in the project is negotiating contracts with the investment companies, whose contracts will be for 25 years and more.
<10>	Katibu Mtendaji wa Baraza la Uwezeshaji Wananchi Kiuchumi (NEEC), Benga’i Issa alisema katika utafiti uliofanywa na baraza hilo kwa kushirikiana na Benki ya Dunia katika mwaka 2013/14, katika matokeo ya awali umebainisha kuwa juhudi bado zinahitajika kuwaandaa Watanzania kushiriki katika mradi huo.	the Executive Secretary of the National Economic Empowerment Council (NEEC), Benga'i Issa, said that the preliminary results of the research done by the council in collaboration with the World Bank in the year 2013/14 have established that efforts are still needed to prepare Tanzanians to participate in the project.
<11>	Alisema katika utafiti huo umeonesha kuwa bado kuna kazi ya kufanya kuwapata Watanzania wenye ujuzi katika maeneo mbalimbali kama viwanda kwani vinahitajika kuzalisha bidhaa za ujenzi pamoja na kutoa huduma.	he said that the research has shown that there is still work to be done to get Tanzanians with skills in various specialties, such as manufacturing, since they are required to manufacture construction products as well as provide services.
<12>	Mkurugenzi Mtendaji wa Taasisi ya Sekta Binafsi Tanzania (TPSF), Godfrey Simbeye alisema ni lazima sekta binafsi kufanya kazi na serikali kwa kuweka mkakati wa pamoja wa kusaidia sekta binafsi kwa kupata fursa hizo.	Executive Director of the Tanzania Private Sector Foundation (TPSF), Godfrey Simbeye, said that it is mandatory for the private sector to work with the government by putting together joint strategies to aid the private sector by receiving these opportunities.
<13>	Mradi huo wenye gharama ya Sh trilioni 65 na uzalishaji unatarajiwa kutoa ajira takribani 20,000.	the project costs 65 trillion shillings, and production is expected to offer approximately 20,000 jobs.
<14>	Utakapokamilika utawezesha nchi kukua kiuchumi na tayari ardhi ya hekta 2,071 imepatikana kwa ajili ya mradi huo.	when completed, it will enable the country to grow economically, and 2,071 hectares of land have already been obtained for purposes of the project.
<15>	Kampuni sita zinazoshirikiana kujenga mtambo huo ni Shirika la Maendeleo ya Petroli Tanzania (TPDC), BG Group, Ophir Energy, Statoil, ExxonMobil na Pavilion Energy.	the six companies that are collaborating to construct the plant are Tanzania Petroleum Development Company (TPDC), BG Group, Ophir Energy, Statoil, ExxonMobil and Pavilion Energy.
