<1>	Tanzania kuuza umeme nje	Tanzania to export electricity
<2>	Jul 17, 2013	July 17, 2013
<3>	TANZANIA itaanza kuuza umeme katika nchi za nje kuanzia mwishoni mwa mwakani kutokana na ziada ya umeme utakaokuwa ukizalishwa nchini kwa kutumia gesi asilia.	Tanzania will start exporting electricity at the end of next year due to the excess power that will be produced in the country from natural gases.
<4>	Katika kipindi cha miaka minne ijayo, mauzo ya umeme yatafikia kiwango cha 1,800 utakaozalishwa kwa kutumia malighafi ya gesi asilia kutoka Mtwara na Songosongo.	for the next four years, electricity sales will reach 1,800 produced by natural gas resources from Mtwara and Songosongo.
<5>	Habari hizo njema kwa uchumi wa nchi, ziliwekwa wazi jana na Waziri wa Nishati na Madini, Profesa Sospeter Muhongo, wakati wa hafla ya kusaini mkataba wa makubaliano ya awali (MoU), baina ya Shirika la Ugavi wa Umeme (Tanesco) na Kampuni ya Umeme ya Shanghai ya China Shanghai Electric Co.	the good news to the country's economy was released yesterday by the Energy and Mineral Resources Minister, Professor Sospeter Muhongo, at an event to sign a memorandum of understanding between the Tanzania Electric Supply Company (TANESCO) and the China Shanghai Electric Company
<6>	Ltd, inayojulikana kwa kifupi kwa jina la CPI, iliyofanyika makao makuu ya wizara hiyo jijini Dar es Salaam.	limited known in short as CPI, which happened at the ministry headquarters in Dar es Salaam city.
<7>	Akizungumza na waandishi wa habari mara baada ya kusainiwa kwa mkataba huo, Profesa Muhongo alisema kuanzia mwaka kesho, Tanzania itaanza kuuza nje kiasi cha megawati 500 za umeme.	speaking to the press immediately after signing the agreement, Professor Muhongo said beginning next year but one, Tanzania will start exporting 500 megawatts of electricity.
<8>	Aidha, alisema kiasi hicho cha umeme kitakachouzwa nje kitapanda hadi kufikia megawati 1500 mwaka 2015, malengo ya nchi yakiwa ni kuuza nje kiasi cha megawati 1800 ifikapo mwaka 2016.	moreover, he said the amount of electricity exported will increase to 1500 megawatts by the year 2015, the country's target being to export 1800 megawatts by the year 2016.
<9>	Mkataba huo wa MoU kati ya Tanesco na kampuni hiyo ya China, ulitiwa sahihi jana na Kaimu Mkurugenzi Mtendaji wa Tanesco, Felchesmi Mramba na Rais wa CPI, Lu Qizhov, ukishuhudiwa na Waziri Profesa Muhongo kwa niaba ya Serikali ya Tanzania na Balozi wa China nchini, Lu Youqing, kwa niaba ya Serikali ya China.	the memorandum of understanding between TANESCO and the Chinese company was signed yesterday by TANESCO's Acting Executive Director, Felchesmi Mramba, and the CPI president, Lu Qizhov, and was witnessed by Minister Professor Muhongo on behalf of the government of Tanzania and the Chinese ambassador in the country, Lu Youqing, on behalf of the Chinese government.
<10>	Mkataba unahusu ujenzi wa mitambo ya kuzalisha umeme wa megawati 600 katika eneo la Kinyerezi, Dar es Salaam, mradi uliopewa jina la Kinyerezi 111, na umeme huo utaanza kuzalishwa mara tu ujenzi wa bomba la gesi kutoka Mtwara hadi Dar es Salaam utakapokamilika.	the memorandum involves building a facility to generate 600 megawatts of electricity in the Kinyerezi area, Dar es Salaam, a project that was named Kinyerezi 111, and the electricity will start being generated soon as the building of the gas pipe from Mtwara to Dar es Salaam is completed.
<11>	Profesa Muhongo alisema kampuni hiyo ya Kichina, ambayo imeelezwa kuwa na uzoefu wa kufua umeme kwa zaidi ya miaka 40, imepanga kuwekeza kiasi cha dola za Kimarekani milioni 300, sawa na karibu Sh bilioni 480.	Professor Muhongo said the Chinese company has been said to have over 40 years experience in electricity generation and has planned to invest 300 million American dollars, equivalent to about 480 billion shillings.
<12>	Lengo la Serikali ni kuzalisha umeme kiasi cha megawati 2,780 hadi kufikia mwaka 2015, kutoka megawati chini ya 100 zinazozalishwa kwa sasa, hali itakayoiwezesha Serikali ya Tanzania kuuza umeme nje na kuliingizia taifa kipato.	the government's target is to generate from less than 100 megawatts being produced currently to 2,780 megawatts of electricity by the year 2015, something which will enable the government of Tanzania to export electricity and generate revenue for the country.
<13>	Kampuni kutoka China ndiyo pia iliyopewa kazi na Serikali ya kujenga bomba la gesi kutoka Mtwara hadi Dar es Salaam, na tayari vifaa vya mradi huo, ikiwa ni pamoja na mabomba hayo yenye upana wa inchi 36, vimekwishawasili nchini.	a Chinese company has also been awarded the work of building the gas pipe from Mtwara to Dar es Salaam by the government, and already materials for the project, which includes the 36 inch pipes, have arrived in the country.
<14>	Huu ni mkataba wa pili wa kuzalisha umeme wa megawati 600 kutokana na gesi baada ya mkataba wa kwanza wa kuzalisha kiasi hicho cha umeme kusainiwa baina ya Tanesco na muungano wa kampuni za Symbion na General Electric (GE), ambazo zitajenga mitambo yake mkoani Mtwara, na hivyo kuiwezesha Tanesco kupata megawati 1,200 zinazotokana na miradi hiyo miwili tu.	this is the second agreement for generating 600 megawatts of electricity from gas after the first agreement for generating that amount of electricity was signed between TANESCO and the cooperation between the Symbion and General Electric (GE) companies who will build their plants in the Mtwara province, thus enabling TANESCO to get 1,200 megawatts from only two projects.
