<1>	24 Stars waitwa kuivaa Ethiopia	24 stars called to beat Ethiopia
<2>	Imeandikwa na Abushehe Nondo, Maelezo	it is written by Abushehe Nondo, details
<3>	Imechapishwa: 30 Septemba 2016	published: 30th September, 2016.
<4>	KOCHA Mkuu wa timu ya soka ya Taifa, Taifa Stars, Charles Mkwasa ametaja majina ya wachezaji 24 watakaounda kikosi kitakachocheza mechi ya kirafiki na Ethiopia.	the head coach of the Taifa Stars national soccer team, Charles Mkwasa has mentioned the names of 24 players who will form the squad that will play the friendly match with Ethiopia.
<5>	Mechi hiyo inatarajiwa kufanyika Oktoba 8 mjini Addis Ababa, Ethiopia.	the match is expected to take place October 8th, in the city of Addis Ababa, Ethiopia.
<6>	Timu hizo zote ni wanachama wa Baraza la Vyama vya Soka Afrika Mashariki na Kati (Ceacafa).	both teams are members of the Council for East and Central Africa Association (CECAFA).
<7>	Akizungumza Dar es Salaam jana, Mkwasa alisema kikosi hicho kitaingia kambini keshokutwa kabla ya kuanza kazi rasmi siku inayofuata ikiwa ni baada ya michezo ya Ligi Kuu Tanzania Bara ya mwishoni mwa wiki hii ambako Mwadui itacheza na Azam huku Mbao ikimenyana na JKT Ruvu.	while speaking in Dar es Salaam yesterday, Mkwasa said the squad will go to the camp the day after tomorrow before officially starting work the following day, after the Tanzanian Mainland League games at the end of this week, where Mwadui will play with Azam and Mbao competing with JKT Ruvu.
<8>	Kikosi kamili kilichoitwa ni Makipa: Deogratius Munishi (Yanga), Said Kipao (JKT) Ruvu na Aishi Manula (Azam FC).	the main squad formed consists of: keepers - Deogratius (Yanga), Said Kipao (JKT) Ruvu and Aishi Manula (Azam FC).
<9>	Mabeki: Shomari Kapombe, David Mwantika (Azam FC), Juma Abdul, Vicent Andrew, Mwinyi Haji (Yanga) Mohamed Hussein (Simba SC) na James Josephat (Prisons).	the defenders: Shomari Kapombe, David Mwantika (Azam FC), Juma Abdul, Vicent Andrew, Mwinyi Haji (Yanga), Mohamed Hussein (Simba SC) and James Josephat (Prisons).
<10>	Viungo wa Kati: Himid Mao (Azam FC), Mohammed Ibrahim, Jonas Mkude na Mzamiru Yassin (Simba SC).	midfielders: Himid Mao (Azam FC), Mohammed Ibrahim, Jonas Mkude and Mzamiru Yassin (Simba S).
<11>	Viungo wa Pembeni: Shiza Kichuya, Jamal Mnyate (Simba SC), Simon Msuva, Juma Mahadhi (Yanga) na Hassan Kabunda (Mwadui FC).	side-fielders: Shiza Kichuya, Jamal Mnyate (Simba SC), Simon Msuva, Juma Mahadhi (Yanga) and Hassan Kabunda (Mwadui FC).
<12>	Washambuliaji: Ibrahim Ajib (Simba SC), John Bocco (Azam FC), Mbwana Samatta (CK Genk-Ubelgiji), Elius Maguli (Oman) na Thomas Ulimwengu (TP Mazembe Congo).	strikers: Ibrahim Ajib (Simba SC), John Bocco (Azam FC), Mbwana Samatta (CK Genk-Ubelgiji), Elius Maguli (Oman) and Thomas Ulimwengu (TP Mazembe Congo).
<13>	Mechi hiyo ni faida kwa Tanzania kama itashinda ili ipande kwenye viwango vya ubora wa Fifa ambapo Tanzania inashika nafasi ya 132 huku Ethiopia ikishika nafasi ya 126.	the match is beneficial to Tanzania if it wins as it will go up in FIFA levels of standards where Tanzania holds position 132 while Ethiopia is position 126.
