<1>	Marines vs Sayyaf: 12 patay, 19 sugatan	Marines versus Sayyaf: 12 dead, 19 wounded
<2>	Ni Joy Cantos (Pilipino Star Ngayon) | Updated May 26, 2013 - 12:00am	by Joy Cantos (Pilipino Star Ngayon) | updated May 26, 2013 - 12:00am
<3>	MANILA, Philippines - Pitong sundalo ng Philippine Marines at limang bandidong Abu Sayyaf ang iniulat na napaslang habang labinsiyam naman ang su­gatan kabilang ang siyam na sundalo matapos sumiklab ang bakbakan ng magkalabang panig sa liblib na bahagi ng Barangay Tugas sa bayan ng Patikul, Sulu kahapon ng umaga.	Manila, Philippines - seven soldiers of the Philippine Marines and five Abu Sayyaf bandits are reported killed while nineteen are injured including nine soldiers after an encounter of the opposing sides started in a remote part of Barangay Tugas in the town of Patikul, Sulu yesterday morning.
<4>	Sa ulat ni Task Force Sulu Commander Col. Jose Joriel Cenabre, bandang alas-6:30 ng umaga nang makasagupa ng mga sundalo ng Force Reconnaissance Company ng Philip­pine Marines ang mga bandido sa nabanggit na barangay.	in the report of Task Force Sulu commander Colonel Jose Joriel Cenabre, it was around 6:30 in the morning when the soldiers of the Force Reconnaissance Company of the Philippine Marines encountered the bandits in the said barangay.
<5>	Ang engkuwentro ay resulta ng hot pursuit operations laban sa mga kidnaper ng midwife na si Casilda Villarasa, misis ng Marine Sergeant na binihag ng mga bandido sa Jolo, Sulu noong Mayo 18.	the encounter is a result of hot pursuit operations against the kidnapper of midwife Casilda Villarasa, wife of a marine sergeant who was kidnapped by the bandits in Jolo, Sulu on May 18.
<6>	Nabatid na ginagalugad ng mga sundalo ang kagubatan upang hanapin ang binihag na midwife nang umalingawngaw ang sunud-sunod na putok ng baril mula sa mga bandidong Abu Sayyaf na nauwi sa mainitang bakbakan.	it was reported that the soldiers were searching the forest to find the kidnapped midwife when consecutive gunshots from the Abu Sayyaf bandits echoed and resulted in serious fighting.
<7>	Sa kasagsagan ng putukan ay nasawi ang pitong sundalo ng Philippine Marines na sina 2nd Lt. Alfredo Lorin, Pfc. Rene Gare, Pfc. Andres Bogwana, Pfc. Jayson Durante, Pfc. Andres Alasin Pfc. Roxas Pizarrao at si Pfc. Dominador Sabijon Jr.	at the peak of the shooting seven soldiers of the Philippine Marines were killed, namely 2nd Lieutenant Alfredo Lorin, Private First Class Rene Gare, Private First Class Andres Bogwana, Private First Class Jayson Durante, Private First Class Andres Alasin Private First Class Roxas Pizarrao and Private First Class Dominador Sabijon Junior.
<8>	Samantala, lima naman sa panig ng mga bandidong napatay ay kabilang sina Kausar Sawadjaan, Salip Uddin, sub-leader; alyas Ambotong, Saif Ajim, at isang tinukoy na Commander Apong Idol habang aabot sa sampu sa mga bandido ang nasugatan na tinangay ng mga nagsitakas na kasamahan.	meanwhile, five from the side of the bandits killed include Kausar Sawadjaan, Salip Uddin, sub-leader; alias Ambotong, Saif Ajim, and one referred to as Commander Apong Idol while up to ten bandits were wounded and carried by their companions that escaped.
<9>	PAGDUKOT SA MIDWIFE MISTAKEN IDENTITY	kidnapping of midwife a mistaken identity
<10>	Isang kaso ng mistaken identity ang naganap na pagdukot sa isang midwife na asawa ng sundalo sa Sulu.	the kidnapping of a midwife who is the wife of a soldier in Sulu is a case of mistaken identity.
<11>	Ayon kay Col. Jose Joriel Cenabre, commander ng Task Force Sulu, hindi ang biktimang si Casilda Villarasa, 41 anyos, midwife sa Sulu Provincial Health Office ang target ng mga kidnaper.	according to Colonel Jose Joriel Cenabre, commander of Task Force Sulu, victim Casilda Villarasa, 41 years old, midwife at Sulu Provincial Health Office was not the target of the kidnappers.
<12>	Si Villarasa, misis ni Marine Sergeant Faustino Villarasa ay dinukot ng mga bandido habang kasama ang 9-anyos na anak na si Valeria sa Brgy. Asturias, Jolo, Sulu noong Mayo 18.	Villarasa, wife of Marine Sergeant Faustino Villarasa was kidnapped by the bandits while together with child 9-year-old Valeria in Barangay Asturias, Jolo, Sulu on May 18.
<13>	Sinabi ni Cenabre na isang doktor na nagtratrabaho sa nasabing pagamutan ang dapat na kikidnapin kung saan dahil nakasuot rin ng kulay puti ang komadrona ay ito ang tinangay.	Cenabre said that a doctor working in the said hospital should have been the one kidnapped but because the midwife is also wearing white she was taken instead.
<14>	Pinaniniwalaan namang kinidnap ang naturang biktima upang ipagamot ang mga sugatang bandido sa kagubatan ng Sulu.	it is believed that the said victim was kidnapped in order to treat the injured bandits in the forests of Sulu.
