<1>	Panibagong paglabag sa karapatan ng mga bata	new violation of children's rights
<2>	by Macky Macaspac	by Macky Macaspac
<3>	April 5, 2012	April 5, 2012
<4>	Press conference ng Children's Rehabilitation Center at Karapatan. (Macky Macaspac)	press conference of the Children's Rehabilitation Center and Karapatan. (Macky Macaspac)
<5>	Kinondena ng Karapatan at Children’s Rehabilitation Center (CRC) ang diumano’y panibagong ilegal na pag-aresto sa tatlong magsasaka kasama ang dalawang menor-de-edad sa probinsiya ng Quezon at pagbabansag sa kanila na mga rebelde.	Karapatan and the Children's Rehabilitation Center (CRC) condemned the new allegedly illegal arrest of three farmers together with two minors in the province of Quezon and calling them rebels.
<6>	Binatikos din ng dalawang grupong pangkarapatang pantao ang malawakang militarisasyon sa Mindanao na nagresulta sa ebakwasyon ng mga sibilyan at ang panggagahasa sa isang menor de-edad sa probinsiya ng Benguet.	the two human rights groups also criticized the widespread militarization of Mindanao that resulted in the evacuation of civilians and rape of a minor in the province of Benguet.
<7>	Sinabi ni Marie Hilao-Enriquez, tagapangulo ng Karapatan, na naalarama ang mga tagataguyod ng karapatang pantao sa lumalaking bilang ng mga kaso ng paglabag, lalung-lalo na ang mga biktima ay pawang mga bata at menor-de-edad.	Marie Hilao-Enriquez, chairperson of Karapatan, said that supporters of human rights are alarmed about the increasing number of violations, especially because the victims are all children and minors.
<8>	Iniugnay din ni Enriquez ang mga paglabag sa tumitindi at malawakang operasyong militar sanhi ng ipinapatupad na Oplan Bayanihan, ang kontra-insurhensiyang programa ng administrasyong Aquino.	Enriquez also links the violations to the intensifying and extensive military operation resulting from the implementation of Oplan Bayanihan, the counter-insurgency program of the Aquino administration.
<9>	Ayon sa grupo, ang mga lugar na pinaglunsaran ng madugong Oplan Bantay Laya ng nakaraang administrasyon ang siya ngayong tinatarget ng Oplan Bayanihan at nakapagtala din ngayon ng mataas na bilang ng pamamasalang.	according to the group, the places where the bloody Oplan Bantay Laya was launched by the previous administration are now targeted by Oplan Bayanihan and a huge number of killings have also been registered now.
<10>	Partikular umano rito ang rehiyong Bikol, na may naitalang 23 biktima ng pamamaslang.	particularly the Bicol region, with 23 murder victims noted.
<11>	Sumunod ang Timog Katagalugan na may 17 biktima.	next is Southern Luzon with 17 victims.
<12>	“Nahubad na ang maskara ng Oplan Bayanihan, na ito raw ay para sa mga mamamayan, para sa karapatang pantao at para sa kaunlaran,” ani Enriquez.	"the mask of Oplan Bayanihan has been taken off, that it is supposedly for the people, for human rights and for progress," said Enriquez.
<13>	Aniya, kaparehong taktika ng madugong programang kontra-insurhensiya ni dating pangulong Arroyo ang Oplan Bayanihan ng kasalukuyang pangulong Aquino-ang paggamit umano ng marahas na pagsupil sa mga kritiko ng gobyerno.	according to her, Oplan Bayanihan of current president Aquino is of the same tactic as the bloody counter-insurgency program of former president Arroyo-the alleged use of violence to control the critics of the government.
<14>	Iginiit pa ni Enriquez na pawang inosenteng mga sibilyan ang nagiging biktima ng kontra-insurhensiyang kampanya ng Armed Forces of the Philippines (AFP).	Enriquez also insisted that the resulting victims of the counter-insurgency campaign of the Armed Forces of the Philippines (AFP) are all innocent civilians.
<15>	Pag-aresto sa menor-de-edad	arrest of minors
<16>	“Nakakalungkot ang mga pangyayari dahil hindi lamang sila ilegal na inaresto, tinortyur ng mga militar.	"the events are saddening because they were not only illegally arrested, tortured by the military.
<17>	Pinagbibintangan sila na mga rebeldeng NPA (New People’s Army),” ani Jacqueline Ruiz, executive director ng CRC, isang institusyong nangangalaga sa karapatan ng mga batang nasa sitwasyon ng armadong tunggalian.	they are also accused of being NPA (New People's Army) rebels," said Jacqueline Ruiz, executive director of CRC, an institution that cares for the rights of children in situations of armed conflict.
<18>	Noong Marso 22, ilegal na inaresto ng 74th Infantry Batallion, Philippine Army sina Elmer Desuyo, 19-anyos, Rey Rodrigo at Reynaldo delos Santos kapwa 17-anyos.	on March 22, Elmer Desuyo, 19 years old, Rey Rodrigo and Reynaldo delos Santos, both 17 years old, were illegally arrested by the 74th Infantry Batallion, Philippine Army.
<19>	Ang tatlo’y naglalakad sa Brgy. Pansoy, San Andres, Quezon nang makasalubong nila ang mga hindi naka-unipormeng mga kalalakihan na may malalakas na kalibre ng baril.	the three were walking in Barangay Pansoy, San Andres, Quezon when they encountered ununiformed men with high caliber guns.
<20>	Agad umanong tinutukan ng nagpakilalang mga sundalo ang tatlo at hinuli ng walang dahilan.	the ones who introduced themselves as soldiers immediately aimed without reason at the three.
<21>	Ang tatlo’y pawang mga residente ng Brgy. Nasalaan San Francisco, Quezon.	the three are all residents of Barangay Nasalaan San Francisco, Quezon.
<22>	Sa kuwento ni Jessica delos Santos ina ni Reynaldo, matapos na arestuhin ang tatlo, isang nagpakilalang Corporal Richard Casciano ng 74th IB ang pumunta sa kanilang bahay at sinabihan siya hingil sa pagkaaresto sa tatlo sa Sitio Tagbakan, Brgy. Pansoy San Andres Quezon.	from the story of Jessica delos Santos, mother of Reynaldo, after the three were arrested, one who introduced himself as Corporal Richard Casciano of the 74th IB went to their house and told her about the arrest of the three in Sitio Tagbakan, Barangay Pansoy San Andres Quezon.
<23>	Diumano, inaresto ang tatlo matapos mapa-engkuwentro ang mga sundalo sa mga rebeldeng NPA.	supposedly, the three were arrested after the soldiers had an encounter with NPA rebels.
<24>	Iginiit ni Jessica na hindi NPA ang kanilang mga anak, bagkus mga magsasakang dumayo sa San Andres upang maghanap ng trabaho sa mga koprahan sa lugar ng insidente.	Jessica insisted that their children are not NPA, instead farmers who visited San Andres to look for jobs at copra farms in the area of the incident.
<25>	“Totoong hindi NPA ang anak ko. Mahirap lang kami at nais niyang tumulong sa amin kaya siya naghahanap ng koprahan,” giit ni Jessica.	"my child is really not an NPA. we are just poor and he wants to help us which is why he was looking for a copra farm," Jessica insisted.
<26>	Sinabi pa ni Jessica na sinabihan siya ng mga sundalong puntahan na lamang sa kampo ang mga inaresto at huwag umanong mag-aalala dahil hindi raw sinaktan ang mga ito ng mga militar.	Jessica also said that the soldiers told her to visit the detainees at camp and to not worry because the military did not hurt them.
<27>	Ngunit matapos puntahan ng mga magulang ang tatlong biktima sa company headquarters, hindi kaagad ipinakita sa kanila ang mga inaresto, dahil ililipat na umano ang mga ito sa bayan.	but after the parents of the three victims went to the company headquarters, the detainees were not immediately shown to them, because supposedly they were being transferred downtown.
<28>	Ayon pa kay Jessica, sinabihan silang sumama na lamang sa paglipat ng tatlo, at pinasakay sa trak ng sundalo kung saan nakita niya ang kanyang anak na si Reynaldo na nakasakay na at nakapiring pa ang mata.	and according to Jessica, they were told to just join the transfer of the three, and were made to climb aboard a soldier's truck wherein she saw her son Reynaldo also aboard and blindfolded.
<29>	“Nagpapasalamat ako noong una na hindi daw nila sinaktan ang anak ko, iyon pala hindi totoo.	"at first I was thankful because according to them they did not hurt my son, but that was not true.
<30>	Okey lang sana kung piniringan lang nila, pero ang kuwento ng anak ko pinagsisipa sila,” ani Jessica.	it would have been fine if they just blindfolded him, but my son said they were also kicked," said Jessica.
<31>	Kuwento ng tatlong inaresto, sinipa sila at kinulata ng baril sa kanilang tagiliran.	the three detainees shared, they were kicked and their sides were hit with guns.
<32>	Dagdag pa nila, pinaputukan pa si Elmer malapit sa kanyang tainga na sanhi umano ng pansamantalang pagkabingi nito.	they even added, Elmer was shot near his ear allegedly causing his temporary deafness.
<33>	Iginiit din ni Vicenta Rodrigo, ina ni Rey na walang engkuwentrong nangyari noong maganap ang pag-aresto sa kanilang mga anak.	Vicenta Rodrigo, mother of Rey, also insisted that no encounter happened when the arrest of their children took place.
<34>	“Walang engkuwentrong nangyari. Nadaanan lang nila ang mga nag-ooperasyon na militar. Hinuli na nila ang anak ko. Mga magsasaka lang sila, naghahanap ng mapapakyaw na kopra,” aniya.	"no encounter took place. the military conducting operations just passed by them. they captured my son. they are just farmers, looking for copra to harvest," she said.
<35>	Sa kasalukuyan, patuloy na nakakulong sa Lucena Provincial Jail ang tatlo at sinampahan ng kasong illegal possession of explosives at frustrated murder.	currently, the three continue to be imprisoned at Lucena Provincial Jail and charged with illegal possession of explosives and frustrated murder.
<36>	“Hindi lamang sila ilegal na inaresto, ikinulong at tinortyur.	"they were not just illegally arrested, imprisoned and tortured.
<37>	Malala pa nito, binabansagan silang mga miyembro ng NPA sa kanilang murang edad,” ani Ruiz.	worse, they were called members of the NPA in their young age," said Ruiz.
<38>	Sinabi pa ni Ruiz na nagpapatuloy ang pagbabansag sa mga bata at menor-de-edad bilang “batang mandirigma” sa malabong konteksto ng Paris Principles ng United Nations.	Ruiz also said the children and minors continue to be called "child soldiers" under the unclear context of the Paris Principles of the United Nations.
<39>	Panibagong kaso ng panggagahasa	new case of rape
<40>	Pinangangambahan din ng mga grupong nagtataguyod sa karapatan ang mga kaso ng panggagahasa ng mga militar sa menor-de-edad.	rights-supporting groups also worry about the military's cases of rape of minors.
<41>	Kamakailan, isang 16-anyos na estudyante ang hindi na nakasama sa seremonya ng pagtatapos sa hayskul dahil kinakitaan ito ng pagkaligalig at pagkatatakot na sanhi ng panggagahasa ng isang kapitan ng 50th IB na nakadestino sa Mankayan, Benguet.	recently, a 16-year-old student was not able to join her high school graduation because she was seen with anxiety and phobia resulting from rape by a captain of the 50th IB stationed in Mankayan, Benguet.
