<1>	86th IB, pinarusahan sa Ifugao	86th IB, punished in Ifugao
<2>	Ang Bayan	Ang Bayan
<3>	May 07, 2012	May 07, 2012
<4>	Pinarusahan ng Nona del Rosario Command (Bagong Hukbong Bayan-Ifugao) ang pusakal na 86th IB dahil sa talamak na mga krimen nito laban sa mamamayan ng Ifugao.	the Nona del Rosario Command (New People's Army-Ifugao) punished the greedy 86th IB due to their excessive crimes against the people of Ifugao.
<5>	Labing-isang sundalo ng Bravo Company ng kriminal na batalyong ito ang nalipol sa ambus na inilunsad ng mga Pulang mandirigma noong Abril 25 ng umaga sa Sityo Dontogto, Binablayan, bayan ng Tinoc, Ifugao.	eleven soldiers of the Bravo Company of this criminal battalion were wiped out in an ambush launched by the Red fighters on the morning of April 25 at Sitio Dontogto, Binablayan, town of Tinoc, Ifugao.
<6>	Nasugatan ang dalawa pang sundalo habang walang kaswalti sa panig ng BHB.	two more soldiers were injured while there was no casualty on the part of the BHB.
<7>	Isa sa mga napatay ang battalion operations officer ng 96th IB na si Capt. Siegfred Kafilas.	the battalion officer of the 96th IB, Captain Siegfred Kafilas, was one of the casualties.
<8>	Mariing sampal din ito sa pamunuan ng AFP dahil noon lamang Disyembre 2011 ay idineklara nitong "napalaya na" ang Ifugao sa impluwensya ng rebolusyonaryong kilusan.	this is also a hard slap on the AFP management because just in December 2011 it declared that Ifugao "has been freed" from the influence of revolutionary movement.
<9>	Makaraan ang 30 minutong labanan, ligtas na nakaatras ang 14-kataong yunit ng BHB.	after 30 minutes of combat, the 14-person unit of the BHB was able to safely withdraw.
<10>	Nakasamsam ito ng limang armas -- apat na M16 at isang K3 SAW (Squad Automatic Weapon), isang radyong Harris VHF, walong magasin at 150 bala ng M16.	it confiscated five weapons - six M16s and one K3 SAW (squad automatic weapon), one Harris VHF radio, eight magazines, and 150 M16 bullets.
<11>	Malaking salik sa matagumpay na ambus na ito ang suporta ng masa na naipamalas sa paglilihim nila sa presensya ng mga Pulang mandirigma sa tabing kalsada.	a huge part of this successful ambush is the support of the people that was manifested when they kept the presence of Red fighters on the roadside secret.
<12>	Galit ang mamamayan sa armadong pwersa ng reaksyunaryong gubyerno bunga ng mahabang kasaysayan ng pang-aabuso nila sa mamamayan.	the people are angry at the reactionary government due to the long history of their abuse on the people.
<13>	Kaya sa kabila ng walang patlang na mga operasyong militar ng 86th IB at Philippine National Police ay naitago pa rin ng mamamayan ang kanilang hukbong bayan.	so despite the nonstop military operations of the 86th IB and Philippine National Police the people were still able to conceal their people's army.
<14>	Mula nang ideploy ang 86th IB at ang Philippine National Police Public Safety Battalion (PNP-PSB o dating Regional Mobile Group) sa bayan ng Tinoc at iba pang bahagi ng prubinsya, sunud-sunod na ang mga pang-aabusong dinanas ng mga mamamayan ng Ifugao.	since the deployment of the 86th IB and Philippine National Police Public Safety Battalion (PNP-PSB of former Regional Mobile Group) on the town of Tinoc and other parts of the province, the people of Ifugao suffered consecutive abuses.
<15>	Pinakabago ang panggagahasa sa dalawang menor de edad na katutubong babae mula sa Mankayan, Benguet noong Disyembre 2011 at Pebrero 2012.	latest is the rape of two minors who are female natives from Mankayan, Bengue on Decembere 2011 and Februaray 2012.
<16>	Kapwa sila ginahasa ni Capt. Danilo Lalin sa loob mismo ng kampo ng 86th ID.	they were both raped by Captain Danilo Lalin inside the very camp of the 86th ID.
<17>	Karakaraka namang pinagbabaril hanggang sa mapatay noong Setyembre 12, 2011 ang sibilyang si Ama Bahiwag Puguon sa kanyang kaingin sa Barangay Binablayan gayong malayo siya sa nagaganap noon na labanan sa pagitan ng AFP at BHB.	civilian Ama Bahiwag Puguon was shot to death like a game on September 12, 2011 in his clearing in Barangay Binablayan despite being far from the ongoing encounter between the AFP and BHB.
<18>	Walang sabi-sabi ring pinasok at pinaghahalughog ng mga sundalo ang mga bahay ng sibilyan sa Sityo Bagnet, Barangay Amduntog nang tugisin na ng militar ang BHB.	soldiers also entered and searched without warning the houses of civilians in Sitio Bagnet, Barangay Amduntog when the military pursued the BHB.
<19>	Ninakawan ng mga sundalo ang mga residente ng mahahalagang kagamitan.	the soldiers robbed the residents of their valuable possessions.
<20>	Noon namang Hulyo 2011 ay namaril at nakapatay ng apat katao ang isang lasing na elemento ng 2nd Coy ng PNP-PSB.	and in July 2011 a drunk element of the 2nd Coy of the PNP-PSB shot and killed four people.
<21>	Isa pa ang nasugatan sa insidente.	one more was injured in the incident.
<22>	Bago pa ang pamamaril, matagal nang inirereklamo ng mamamayan na pinagkakakitaan sila ng PNP-PSB sa pamamagitan ng hindi makatarungang pagkumpiska sa kanilang mga chainsaw at motorsiklo upang ipatubos lamang, kapalit ng malaking halaga.	before the shooting, residents have long complained that the PNP-PSB are making money out of them by unjust confiscation of their chainsaws and motorcycles and asking to claim them, in exchange of a huge amount.
<23>	Samantala, humingi ng taos-pusong paumanhin ang Nona del Rosario Command sa mga kamag-anak ng dalawang sibilyang nadamay sa ambus (isa ang napatay at nasugatan ang isa pa).	meanwhile, the Nona del Rosario Command asked heartfelt apologies to the relatives of the two civilians involved in the ambush (one was killed and one more was injured).
<24>	Kaugnay nito, muling pinaalalahanan ng BHB ang mga sibilyan na huwag sumakay sa mga sasakyang militar para maiwasang madamay sa mga labanan.	related to this, the BHB again reminds civilians to not ride military vehicles to avoid getting involved in the encounters.
