<1>	(0.000-0.959)	Espanya ?	Spain ?
<2>	(0.959-2.120)	yes oo .	yes yes .
<3>	(2.120-4.417)	<hes> anu-anong mga sakit ma'am if ever ?	what illnesses ma'am if ever ?
<4>	(4.417-6.975)	aba wala siyang sinabing limit no .	well he did not say a limit no .
<5>	(6.975-8.290)	aba .	well .
<6>	(8.290-9.589)	parang open house ah .	like an open house ah .
<7>	(9.589-17.399)	kasi ano siyempre they also give <hes> 'yong mga hindi maka-afford <hes> mayro'n din silang mga gano'ng procedures .	because what of course they also give those who cannot afford they also have like those procedures .
<8>	(17.399-19.130)	ah okay .	ah okay .
<9>	(19.130-21.185)	now mayro'n pong nag-text dito ma'am .	now there is a text here ma'am .
<10>	(21.185-27.350)	nagtatanong <hes> kasama -- kailan daw ba magkakaro'n din ng dental mission ?	asking part -- when will there also be a dental mission ?
<11>	(27.350-29.319)	libreng bunot ng ngipin .	free extraction of tooth .
<12>	(29.319-34.760)	<hes> lalo na 'yong mga -- lalo na 'yong mga mayro'n nang wisdom tooth gusto na ipabunot .	especially those -- especially those with wisdom tooth that liked to be extracted .
<13>	(34.760-36.440)	bakit naman <laugh> ?	why too ?
<14>	(36.440-38.779)	aba eh sumobra daw ang wisdom .	wisdom exceeded .
<15>	(38.779-41.430)	<no-speech>	<no-speech>
<16>	(41.430-43.780)	<hes> gusto n'yo isali ko 'yon ?	you want me to include that ?
<17>	(43.780-55.240)	eh hindi ho kung <hes> -- kung <hes> talagang ika nga eh mayro'n naman tayong available na gano'ng <hes> bahagi ng ating medical mission 'yang ano <hes> dental .	well not if -- if really they say uh we also have available like that part of our medical mission is that dental .
<18>	(55.240-60.191)	eh siguro <hes> puwede rin no mag-check up sila no ?	well maybe possible also no they check up no ?
<19>	(60.191-61.732)	oo pa-check-up lang naman do'n .	yes check-up only also there .
<20>	(61.732-64.273)	nakakahiya naman 'pag na ano bunutin na rin <laugh> .	too humiliating if it is also extracted .
<21>	(64.273-67.682)	oo eh baka susunod naman niyan ang hihilingin sa atin pustiso na .	yes well maybe next also to that is asking us for dentures .
<22>	(67.682-70.000)	<no-speech>	<no-speech>
<23>	(70.000-71.353)	sana hindi .	hope not .
<24>	(71.353-76.230)	alam n'yo naman na <hes> aba'y napaka- -- napaka-expensive po ngayon .	you already know well -- very expensive now .
<25>	(76.230-79.572)	magpabunot ka ng ngipin pagkatapos tapos susukatan ka .	have your teeth extracted after done you will be measured .
<26>	(79.572-81.206)	<hes> lalagyan ka ng pustiso .	you'll have your dentures worn .
<27>	(81.206-84.830)	aba'y susmaryosep <hes> libo-libo 'yan eh .	well gosh that is thousands and thousands.
<28>	(84.830-88.185)	kaya naku napaka- -- napakalaki naman niyan masyado .	so gosh -- that is excessively very big .
<29>	(88.185-96.600)	siguro sa mga susunod na mission natin eh isasama naman natin 'yang <hes> dental -- dental mission na 'yan .	maybe in our next missions uh we will include that dental -- that dental mission .
<30>	(96.600-99.293)	at may text pa tayo dito Ka Sylvia .	and we also have a text here Ka Sylvia .
