<1>	(0.000-3.280)	<no-speech>	<no-speech>
<2>	(3.280-14.561)	<sta> maam Jess <hes> sakay ng B_R_P Tarlac nandito kami ngayon sa gitna ng <hes> Sulu sea <sta> kung saan nakalatag ang naval blockade laban sa <hes> Abu Sayyaf dito <sta> ang navy at marines naman ang nagbabantay .	ma'am Jess aboard the B_R_P Tarlac we are now in the middle of the Sulu Sea where the naval blockade is laid out against the Abu Sayyaf here the navy and marines are on guard .
<3>	(14.561-24.600)	sila iyong <hes> sumisiguro <sta> na hindi makakalabas ng <hes> Sulu ang Abu Sayyaf at hindi rin makakapasok ang posibleng reinforcement <lipsmack> mula naman sa kalapit na probinsiya ng Basilan .	they are the ones who ensure that they cannot escape Abu Sayyaf in Sulu and possible reinforcement from the nearby province of Basilan cannot enter as well .
<4>	(24.600-28.437)	<no-speech>	<no-speech>
<5>	(28.437-33.100)	<sta> gamit ang mga speedboat todo bantay ang navy at marine sa karagatan ng Sulu .	using speedboats the navy and marines are on complete guard on the seas of Sulu .
<6>	(33.100-39.447)	<sta> nagpapatrolya nag-mo-monitor kung may mga kahina-hinalang sasakyan ng pandagat na posibleng gamit ng Abu Sayyaf .	patrolling monitoring if there are suspicious marine vehicles that are possibly used by the Abu Sayyaf .
<7>	(39.447-41.120)	<no-speech>	<no-speech>
<8>	(41.120-44.800)	<sta> sa pagkakataong ito may nakasalubong ng Jungkong ang tropa .	this time the troop encountered a Jungkong .
<9>	(44.800-50.381)	<sta> pinahinto <no-speech> pagkatapos sumakay ang mga sundalo .	it was asked to stop and then the soldiers climbed aboard .
<10>	(50.381-52.460)	<no-speech>	<no-speech>
<11>	(52.460-54.149)	<sta> ininspeksiyon ang loob ng barko .	the insides of the ship was inspected .
<12>	(54.149-56.840)	<no-speech>	<no-speech>
<13>	(56.840-60.070)	<sta> sinuri rin ang mga dokumentong hawak ng kapitan .	the documents that the captain was also examined .
<14>	(60.070-63.405)	<sta> no'ng makitang wala namang problema pinaalis din ang Jungkong .	when they saw that there were no problems Jungkong was released .
<15>	(63.405-64.720)	<no-speech>	<no-speech>
<16>	(64.720-66.374)	<no-speech>	<no-speech>
<17>	(66.374-72.930)	<sta> sa gitna ng karagatan ng Sulu nakaistasyon ang B_R_P Tarlac ang command and control center ng naval blockade .	in the middle of the Sulu sea the B_R_P Tarlac the command and control center of naval blockade is stationed .
<18>	(72.930-76.347)	bukod sa mga makabagong gamit <sta> mayro'n din itong helicopter .	aside from the new equipment there's also this helicopter .
<19>	(76.347-79.110)	<no-speech>	<no-speech>
<20>	(79.110-85.930)	<sta> kapag may na-monitor na problema agad na pinapalipad ang Agusta one oh nine ang pinakabagong helicopter ng navy .	when there's a problem monitored Augusta one oh nine the newest helicopter of the navy is immediately asked to fly .
<21>	(85.930-90.826)	<sta> araw man o gabi kaya nitong lumipad para magbigay ng air support para sa mga ground troops .	day or night it can fly to provide air support to ground troops .
<22>	(90.826-104.810)	bente-kuwatro oras ang monitoring sa karagatan ng Sulu <sta> dahil sa impormasyon ng militar na balak tumakas ng Abu Sayyaf palabas ng Sulu at mayroon ding mga <sta> Abu Sayyaf mula sa Basilan na gustong mag-reinforce sa kanilang mga kasamahan na napapalaban sa Sulu .	the monitoring of Sulu sea is twenty-four hours because of the information of the military that Abu Sayyaf plans to escape from Sulu and there are also Abu Sayyafs from Basilan that wants to reinforce their confederates who are at war in Sulu .
