<1>	Lady Stags sumama sa unahan By Elech Dawa	Lady Stags joined the lead by Elech Dawa
<2>	December 2, 2016	December 2, 2016
<3>	Hindi pinatagal ng last year’s runner-up San Sebastian ang laban, tinapos nila sa tatlong sets ang San Beda 25-16, 25-13, 25-16 upang sumalo sa liderato kahapon sa 92nd NCAA women’s volleyball tournament sa Filoil Flying V Center sa San Juan City.	last year's runner-up San Sebastian did not lengthen the fight, they finished San Beda in three sets 25-16, 25-13, 25-16 to catch the lead yesterday in the 92nd NCAA women's volleyball tournament in Filoil Flying V Center in San Juan City.
<4>	Trumabaho si reigning two-time MVP Gret­chel Soltones ng 21 puntos kasama ang 20 kills upang ilista ang pang-a­pat na sunod na panalo ng San Sebastian at saluhan ang defending champion College of Saint Benilde sa top spot ng teams standings.	the reigning two-time MVP Gretchel Soltones worked for the 21 points including 20 kills to list the fourth consecutive win of the San Sebastian and to join the defending champion College of Saint Benilde in the top spot of team standings.
<5>	Matutulis na serbisyo ng Lady Stags ang nagpahirap sa Lionesses, umiskor ang San Sebastian ng 10 service aces tatlo ay galing kay team captain Vira Guillema.	the sharp services of the Lady Stags put the Lionesses to difficulty, San Sebastian scored 10 service aces, three from the team captain Vira Guillema.
<6>	Lamang din sa attacks ang Baste, 46-19 kaya naman naging one-sided a­ffair ang kanilang banggaan.	the Baste is also leading in attacks, 46-19, so their collision became a one-sided affair.
<7>	Nag-ambag si Joyce Sta.	contributed by Joyce Sta.
<8>	Rita ng walong puntos habang nagtala sina Nikka Dalisay at Katherine Villegas ng tig-a­nim na puntos para sa SSC.	Rita is 8 points while Nikka Dalisay and Katherine Villegas recorded six points each for the SSC.
<9>	Halos inako ni Fran­cesca Racraquin ang opensa para sa San Beda matapos ipinta ang 11 points.	Francesca Racraquin almost possessed the offenses for the San Beda after painting 11 points.
<10>	Nalasap ng L­ionesses ang unang kabiguan sa apat na laro.	the Lionesses savored the first defeat in the four games.
<11>	Samantala, sinagpang ng Red Lions ang Stags, 25-13, 25-23, 25-17 para itarak ang 3-1 karta at saluhan ang College of S.	meanwhile, the Red Lions clawed at the Stags, 25-13, 25-23, 25-17 to hit the 3-1 card and join the College of Saint
<12>	Benilde sa second to third spot sa likuran ng wala pang talo na A­rellano University (3-0) sa men’s d­ivision.	Benilde in the second to third spot behind Arellano University (3-) who has no losses yet in men's division.
