<1>	2nd round ng National Deworming ng DOH isinasagawa sa Palawan ngayong Hulyo	2nd round of the National Deworming of the DOH being done in Palawan this July
<2>	July 18, 2016	July 18, 2016
<3>	Orlan C. Jabagat	Orlan C. Jabagat
<4>	PUERTO PRINCESA, Palawan, Hulyo 18 (PIA) --- Kasabay ng pagdiriwang ng Buwan ng Nutrisyon ay isinasagawa din sa buong lalawigan ang 2nd round ng Expanded National School at Community-Based Deworming Month.	Puerto Princesa, Palawan, July 18 (PIA) - along with the celebration of the Nutrition Month is the implementation also in the whole province of the 2nd round of the Expanded National School and Community-Based Deworming Month.
<5>	Ito ay itinataguyod ng Department of Health (DOH) sa pakikipagtulungan ng Department of Education (DepEd) at ng iba’t ibang lokal na pamahalaan.	this has been supported by the Department of Health (DOH) in coordination with the Department of Educaion (DepEd) and various local governments.
<6>	Layon ng aktibidad na ito na mapababa pa ang kaso ng mga batang apektado ng bulate sa tiyan na sanhi ng panghihina, pagkawala ng gana sa pagkain at pagkakaroon ng mababang IQ ng ilang estudyante.	the objective of this activity is to lower more the cases of the children affected by worms in the stomach which caused weakness, loss of appetite and having a low IQ of some students.
<7>	Sa ilalim ng mas pinalawak na national deworming activity, ipinagsama na ang dating magkahiwalay na aktibidad ng DOH at ng DepEd na pagpupurga sa mga bata.	under the more expanded national deworming activity, the previous separate activities of the DOH and DepEd are combined in deworming the children.
<8>	Sa pamamagitan nito ay masisiguro na mas malawak ang magagamot na mga batang mayroong bulate sa katawan.	through this, it will be ensured that a larger scope of children with worms in the body will be treated.
<9>	Ayon kay Provincial Nutrition Action Officer (PNAO) Rachel Paladan, ang lahat ng mag-aaral mula Kinder hanggang Grade 6 sa pribado at pampublikong paaralan sa 23 munisipyo sa Palawan ay bibigyan ng libreng gamot pampurga.	according to Provincial Nutrition Action Officer (PNAO) Rachel Paladan, all pupils from Kinder to Grade 6 in private and public schools in the 23 municipalities of Palawan will be given free deworming medicines.
<10>	Samantala, ang mga bata naman na hindi pa nag-aaral na may eded isa hanggang apat na taong gulang ay maaaring dalhin sa mga Rural Health Units at Barangay Health Stations upang mabigyan ng libreng gamot pampurga.	meanwhile, the children who are not yet going to school who have ages one to four years old can be brought to the Rural Health units and Barangay Health Stations to be given free deworming medicines.
<11>	Ito ay isinasakatuparan sa tulong ng mga Barangay Environment, Agriculture and Nutrition Scholars o BEANS at mga Barangay Health Workers.	this is made possible with the help of Barangay Environment, Agriculture and Nutrition Scholars or BEANS and Barangay Health Workers.
<12>	Ipinaliwanag ni PNAO Paladan na ang mga sintomas ng batang mayroong bulate sa katawan ay pagiging maputla, payat, malnourish, malaki ang tiyan, walang ganang kumain at kung minsan ay may bahid ng dugo ang kanyang dumi.	PNAO Paladan explained that the symptoms of a child which has worms in the body is being pale, thin, malnourished, stomach is big, no appetite to eat and sometimes his feces has blood stain.
<13>	Kaya’t pinapayuhan niya ang mga magulang na mayroong mga batang maliliit na panatilihin ang kalinisan ng kanilang kapaligiran.	therefore, she is advising the parents who have little children to maintain the cleanliness of their surroundings.
<14>	Ugaliing magsuot ng tsinelas, siguruhing maikli at malinis ang mga kuko at palagiang maghugas ng kamay upang maiwasan ang pagpasok na bulate sa kanilang katawan.	make it a habit to wear slippers, make sure the fingernails are shortened and clean and always wash hands to avoid the entry of worms in their bodies.
<15>	(PIO/OCJ-PIA4B Palawan)	(PIO/OCJ-PIA4B Palawan)
