<1>	Hinggil sa pagparusa ng NPA sa Sawmill at pagdis-arma sa dalawang tauhan ng PNP	concerning to the punishment of the NPA in sawmill and the disarming of two members of the PNP.
<2>	Kalakip nitong pahayag ang ulat sa mga nasamsam ng mga operatiba ng Benito Tesorio Command ng New People’s Army sa dalawang myembro ng Philippine National Police na sina SPO1 Noriel Sabbaluca Ualat ng Barangay Soyung, Echague, Isabela at PO2 Rodel Guerrero Bedana ng Bantug Lintao, Roxas Isabela.	enclosed with this announcement is a report about what was seized by the operatives of Benito Tesorio command of the new people's army from the two members of the Philippine national police who were SPO1 Noriel Sabbaluca Ualat of the town Soyung, Echague, Isabela and PO2 Rodel Guerrero Bedana of Bantug Linato, Roxas Isabela.
<3>	Bilang tuntunin ng digma, hindi namin isasauli ang mga nakumpiska sa kanilang service firearms, ang Cal .45 pistol na may serial # 2127239 ni PO3 Bedana at ang .9mm Beretta pistol na may serial # na M00436Z ni SPO1 Ualat, at pati ang kanilang cellular phones at ilang mga papel na may high intelligence values.	as rules of war, we will not return to them the their confiscated service firearms, the caliber 45 pistol with the serial # 2127239 of PO3 Bedana and the .9 millimeter Beretta pistol with the serial number # m00436z of SPO1 Ualat, and even their cellular phones and some documents with high intelligence values.
<4>	Nakumpiskahan ang dalawang police intelligence operatives habang nasa akto sila ng panghihingi ng regular na “lagay” mula sa Alliance Sawmill sa Usol, Jones, Isabela noong 5:00 NH ng Pebrero 2009, 2012.	confiscated from the two intelligence operatives police while in the act of getting the regular "bribe" from alliance sawmill in Usol, Jones, Isabela last 5:00 PM of February 2009, 2012.
<5>	Itinuro sila ng ilang empleyado ng sawmill bilang mga regular na pinapupunta ng Isabela Provincial Police Office upang mangulekta ng “lagay” ng sawmill sa IPPO.	some of the sawmill employees pointed them out as regular goers to Isabela provincial police office to collect "bribe" from sawmill to IPPO.
<6>	Bukod pa ito sa pangingikikil nila sa mga maliliit na nagbabyahe ng kahoy.	this is besides their extortion from the small exporters of wood.
<7>	Tulad ng nangyari kay Junior Gugua ng Dicamay 2, Jones na ipinamalitang nahuli ng PNP pero sa totoo ay pangungotong ang naganap.	like what happened to Junior Gugua of Dicamay 2, Jones who was allegedly captured by the PNP but extortion was what really happened.
<8>	Nagbayad si Gugua ng P200,000 sa PNP upang makuha muli ang kanyang trak at inihatid ang pera sa loob mismo ng opisina ng IPPO.	Gugua paid P200,000 to PNP to retrieve his truck and delivered the money inside the office of IPPO.
<9>	Nasirang mga kagamitan ng Alliance Sawmill mula sa aksyong pagparusa ng NPA ang dalawang power generator, dalawang main power unit, tatlong fork lift, isang road grader, dalawang bulldozer, isang crane, isang loader, isang ELF truck, dalawang six-by-six truck na pag-aari ni vice mayor Letty Sebastian at ang diesel storage.	the equipment of Alliance Sawmill that were damaged from the act of punishment from the NPA were two power generators, two main power units, three fork lifts, one road grader, two bulldozers, one crane, one loader, one Elf truck. two six-by-six trucks owned by the Vice Mayor Letty Sebastian and the diesel storage.
<10>	Nakumpiska mula sa mga gwardya nito ang dalawang shotgun.	two shotguns were confiscated from their guards.
<11>	Ang Alliance Sawmill ay pag-aari ng magkakaalyadong mangwawasak ng kagubatan na sina Sammy Ong ng Monte Alto Timber Resources Corporation, meyor Edgar Go ng San Mariano, Isabela, at vice mayor Letty Sebastian ng Jones.	the Alliance Sawmill is owned by the allied destroyer of the forest which are Sammy Ong of monte alto timber resources corporation, Mayor Edgar Go of San Mariano, Isabela, and Vice Mayor Letty Sebastian of Jones.
