<1>	Ipagtanggol ang karapatan ng mamamayan, parusahan ang mga pasimuno ng pasistang krimen--PKP	defend the rights of the people, punish the instigator of fascist crime - PKP
<2>	Partido Komunista ng PilipinasDisyembre 10, 2012Nananawagan ngayon ang Partido Komunista ng Pilipinas (PKP) sa lahat ng mga rebolusyonaryong pwersa na ipagtanggol ang mga karapatang sibil at pulitikal ng sambayanang Pilipino at parusahan ang mga pasimuno ng pasistang krimeng ng mga armadong pwersa at organisayon ng pulisya ng estado sa proseso ng pagpapatupad ng gerang mapanupil ng Oplan Bayanihan ni Aquino.	Communist Party of the PhilippinesDecember 10, 2012The Communist Part of the Philippines (PKP) is appealing to all revolutionary forces to defend the civil and political rights of the Filipino nation and punish the instigators of fascist crime of the armed forces and police organization of the state in the process of implementing a domineering war of the Oplan Bayanihan by Aquino.
<3>	"Nakikiisa ang PKP sa sambayanang Pilipino sa paggunita sa Internasyunal na Araw ng mga Karapatang-tao ngayon sa pamamagitan ng pagtutok sa patuloy na paglala ng kalagayan ng karapatang-tao sa Pilipinas na kinatatangian ng papatinding brutalidad at di pinanagutan ng mga armadong pwersa ng estado at mga armadong grupong ginagamit ng estado sa pagsupil sa mga demokratikong karapatan ng mamamayan," anang PKP.	PKP joins the Filipino nation today in commemorating the International Day of Human Rights through focusing in the continuous worsening of the state of human rights in the Philippines that is attributed to the intensified brutality and the armed forces of the states and the armed groups used by the state are not held responsible in repressing the democratic rights of the people," said the PKP.
<4>	"Ibayong pinalalala ang mga pang-aabusong ginagawa ng Armed Forces of the Philippines (AFP) at ng Philippine National Police (PNP) sa pamamagitan ng pakanang retoriko hinggil sa mga karapatang-tao ng rehimeng Aquino at ng mga upisyal militar at panseguridad nito na naglalayong ilingid ang walang pakundangang mga pang-aatake ng mga armadong pwersa ng estado," dagdag ng PKP.	"Doubly reminding the abuses made by the Armed Forces of the Philippines (AFP) and the Philippine National Police (PNP) through the rhetoric machination regarding human rights by the Aquino regime and the military officials and its security aiming to hide the irreverent attacks of the armed forces of the states," the PKP added.
<5>	"Ang kababawan ng walang patid na pakitang-taong retoriko ni Aquino hinggil sa karapatang-ato at kapayapaan ay pinatitingkad ng katotohanang wala ni isang militar o upisyal panseguridad ang pinanagot sa libu-libong kaso ng ekstrahudisyal na pamamaslang, pwersahang pagdukot, torture, iligal na pag-aresto at detensyon, pambubugbog, pamamaril att iba pang pang-aabusong ginawa ng mga pwersang militar at pulisya," pagdidiin ng PKP.	The non-stop shallow rhetoric hypocrisy of Aquino regarding human rights and peace is accentuated by the truth that not one military or security official was held responsible for the thousands and thousands of extrajudicial cases of killing, forced abduction, torture, illegal arrest and detention, battery, gunning and other abuses done by the military and police forces," the PKP emphasized.
<6>	"Nananatiling malaya at nasa pangangalaga ng kanyang mga kasmahang militar si Gen Jovito Palparan, na itinuturing ng AFP na bayani at modelo dahil sa kanyang kampanya ng brutalidad ng ilang dekada sa ilalim ng rehimeng Arroyo at siyang utak sa mga pagdukot at pangangasiwa ng pagtortyur sa mga aktibista at doon sa mga pinaghihinalaang sangkot sa demokratikong paglaban," anang PKP.	remaining free and under the care of his military companions is Gen Jovito Palparan, who is considered by the AFP as the hero and model because of his brutality campaign of several decades under the Arroyo regime and is the mastermind in the abduction and administration of torture on the activists and those suspected to be involved in democratic fight," the PKP said.
<7>	"Ni minsa'y hindi binatikos ni Aquino ang mga pasistang krimen ni Palparan.	"not once did Aquino criticized the fascist crimes of Palparan.
<8>	Ang brutalidad na pamana niya ay nagpapapatuloy hanggang ngayon.	the brutality that is his legacy is continuing until now.
<9>	""Patuloy na isinasagawa ng mga death squad ng AFP ang mga ekstrahudisyal na pamamaslang.	"the death squad of AFP continuously do extrajudicial killings.
<10>	Napakabrutal ng kampanya para patahimikin ang paglaban kontra sa mga operasyon ng pagmimina sa Mindanao at iba pang lugar," anang PKP.	The campaign to silence the fight against the mining operations in Mindanao and other places is very brutal," said the PKP.
<11>	"Ang malawakang pang-aabuso ay ginagawa laluna ng mga tinaguriang Peace and Development Teams na idineploy ng militar sa mga komunidad ng mga magsasakang aktibo sa mga demokratikong pakikibakang masa tulad ng reporma sa lupa at mga kampanya laban sa pagpasok ng mga dayuhang kumpanya sa pagmimina.	"the widespread abuse is done specially by the so-called Peace and Development Teams that are deployed by the military in the communities of the farmers active in mass democratic fight like land reform and the campaigns against the entry of foreign companies in mining.
