<1>	Isang batman na lang ang natira sa OKC	only one batman is left at OKC
<2>	Posted by: Alex Cruz	posted by: Alex Cruz
<3>	on July 6, 2016	on July 6, 2016
<4>	in Sports	in sports
<5>	TINULDUKAN na ang pag-asa ng Oklahoma City Thunder na maging kampeon pa ng NBA.	the hope ended for Oklahoma City Thunder to become the champion of NBA.
<6>	Dahil kahapon ay putok sa lahat ng balita sa internet na pumirma na ng bagong kontrata ang free agent na si Kevin Durant sa Golden State Warriors.	because yesterday, news broke to everyone through the internet that free agent Kevin Durant signed a new contract with the Golden State Warriors.
<7>	Kaya doon sa mga fans ni Durant, tiyak na lipat na rin sila ng itsi-cheer sa susunod na season ng NBA.	for the fans of Durant, it is sure that they will also move their cheers at the next season of NBA.
<8>	Well, pagkatapos ng rigodon na iyon ay inaasahan na ang mga kritisismo laban kay Durant, lalo na ang fans ng Thunder.	well, after that commotion, criticisms against Durant is to be expected, especially from the fans of Thunder.
<9>	Kitang-kita na kasi ang pag-usad ng team sa nakaraang season na kung saan ay umabot sila sa Western Conference finals.	the progress of the team is very visible in the previous season where they made it to the Western Conference finals.
<10>	At take note, muntik na nilang masilat ang Warriors na umabot pa nga ng Game 7.	and take note, they almost defeated the Warriors which reached until game 7.
<11>	Pagkatapos ng pagkabigo sa Warriors sa West Finals, dito na simulang mangarap ang mga fans ng Thunder pero hanggang doon na lang pala ang pangarap dahil hindi na madudugtungan ang pananalasa ng OKC.	after their defeat against Warriors in the West Finals, the fans started hoping but that is the end of their dreams because OKC could no longer continue their destruction.
<12>	Wala na ang isang Batman ng OKC at isang Batman na lang sa katauhan ni Russell Westbrook na lang ang magtitimon ng Thunder.	one of the Batmans of OKC is gone and just one Batman, in the persona of Rusell Westbrook, is the only one left to steer the Thunders.
<13>	Ang tanong ngayon ay kung magji-jell naman kaya si Durant sa line-up ng GSW?	the question is, will Durant jell with the line-up of GSW?
<14>	Alam naman natin na malalim ang bench ng GSW.	we all know that the bench of GSW is deep.
<15>	Naroon sina Steph Curry, Thompson at Green.	there is Steph Curry, Thompson, and Green.
<16>	Ano ngayon ang gagampanan niyang papel sa team gayong ang tatlong nabanggit ay siyang tikador ng prankisa.	what role will he play in the team when the three mentioned are the foundation of the franchise.
<17>	Well abangan na lang natin ang susunod na kabanata.	well let us just watch the next chapter.
<18>	Pero ang paglipat ni Durant sa GSW ay hindi na bago sa NBA.	but the transfer of Durant to GWS is nothing new in NBA.
<19>	Marami nang star players ang gumawa noon.	a lot of star players did the same before.
<20>	Di ba’t nangyari na iyon kay LeBron James?	did it not also happen with LeBron James?
<21>	Lalo na nang lumipat siya mula sa Cleveland papuntang Miami Heat.	especially when he transferred from Cleveland onto Miami Heat.
<22>	Inulan siya ng kritisismo at mura sa desisyon niyang iyon.	he got rained with criticisms and insults for that decision of his.
<23>	Pero matatag siya na napagkampeon ang Heat.	but he was firm when Heat became champion.
<24>	At pagkatapos ng stint sa Miami ay bumalik siya sa Cleveland para muling mamayani sa NBA kontra Warriors.	and after his stint at Miami, he went back to Cleveland to once again reign at NBA against Warriors.
<25>	Ang mga star players na katulad ni Durant ay naniniguro rin na makakaranas sila ng kampeonato.	star players like Durant are making sure that they experience a championship.
<26>	Ayaw nilang matulad sa ibang star players na nagbabad sa isang prangkisa na hindi nakatikim ng kampeonato hanggang sa magretiro.	they do not want to be like other star players who stayed in one franchise that did not taste the championship until they retire.
<27>	Kaya normal lang sa kanila na sumanib sa team na alam nilang puwedeng magkampeon.	it is normal for them to ally with a team they know possible of becoming champions.
<28>	Masarap nga naman na makaranas ng kampeonato at magkaroon ng championship ring bago man lang lisanin ang NBA.	it is good to experience championship and have a championship ring before even leaving the NBA.
<29>	KUROT SUNDOT – Alex Cruz	pinch poke - Alex Cruz
