<1>	(0.000-0.719)	ating lahat .	all of us .
<2>	(0.719-5.190)	ayan oo well you consider as a first female pilots 'no .	there yes well you consider as a first female pilots right .
<3>	(5.190-6.728)	ah talaga nga naman ano .	ah really .
<4>	(6.728-7.856)	eh papaano po (()) %incomplete	what about the (()) %incomplete
<5>	(7.856-10.919)	ano ba yung motivating factor bakit -- bakit baba %incomplete	what is the motivating factor why -- why the low %incomplete
<6>	(10.919-13.870)	hindi naman po kayo sa -- sa attack helicopter ?	would it be the -- the attack helicopter ?
<7>	(13.870-14.634)	ah no .	ah no .
<8>	(14.634-21.049)	after our graduation we're both assigned sa Philippine Air Force Flying School as Instructor Pilots .	after our graduation we're both assigned to the Philippine Air Force Flying School as instructor pilots .
<9>	(21.049-22.640)	yeah .	yeah .
<10>	(22.640-26.490)	so ma'am kasama ba kayo magpapalipad doon sa mga <foreign> 'di naman ?	so ma'am are you included in those who will fly the <foreign> or not ?
<11>	(26.490-31.309)	hindi naman actually I am designated as a parader ngayon pero alternate parader ako .	no actually I am designated as a parader today but I am an alternate parader .
<12>	(31.309-32.293)	dito lang kami sa baba .	we'll be here below .
<13>	(32.293-39.118)	okay so wa- -- what it feels like pag nagpapalipad ka ng mga -- ng mga gano'n may mga formation ?	okay so -- what it feels like when you fly -- those kinds with formation ?
<14>	(39.118-49.250)	may -- may (()) sinasabi si Colonel Musiko kanina sixty nine formation of the trainer <hes> aircraft papaano it gagawin ?	there -- there (()) Colonel Musiko was saying earlier sixty-nine formation of the trainer aircraft how will it be done ?
<15>	(49.250-58.560)	(()) actually <hes> there are detailed <hes> pala -- fly by pilots and they trained -- they were trained to do that .	(()) actually there are detailed -- fly by pilots and they trained -- they were trained to do that .
<16>	(58.560-62.230)	and <hes> Colonel Hernale can expound on that more .	and Colonel Hernale can expound on that more .
<17>	(62.230-65.629)	dahil sa unit niya galing yung ano yung mga magpapalipad na 'yon .	because the uh those who fly them come from his unit .
<18>	(65.629-67.097)	oh Colonel Hernale ikaw daw .	you Colonel Hernale .
<19>	(67.097-70.596)	papaano -- papaano natin buo -- may mga fear eh di ba ?	how -- how do we complete -- there are fears right ?
<20>	(70.596-72.678)	paano baka magka- -- sabit-sabit paano ?	what if maybe -- what if tangled ?
<21>	(72.678-79.443)	well it's a ano na nga 'yan resulta ng magandang training ng ating mga piloto .	well it's the uh result of good training of our pilots .
