<1>	Pusakal na Aset ng 3IB, Pinarusahan ng NPA sa Carranglan	fugitive asset of 3IB, punished by the NPA in Carranglan
<2>	Ka Alexander Guerrero	Ka Alexander Guerrero
<3>	Pamprobinsyang Pamatnugutan sa Operasyon, BHB-Nueva Ecija	provincial correspondence for operations, BHB-Nueva Ecija
<4>	26 November 2013	26 November 2013
<5>	Pinarusahan ng mga partisano ng Bagong Hukbong Bayan (BHB) - Nueva Ecija ang isang kilalang impostor at lokal na pwersa sa paniktik ng kaaway sa Sitio Sabado Night, Barangay Piut, Carranglan noong gabi ng November 24, 2013.	partisans of the New People's Army (BHB) - Nueva Ecija punished one known impostor and local spying force of the enemy in Sitio Sabado Night, Barangay Piut, Carranglan on the evening of November 24, 2013.
<6>	Ginawaran ng parusang kamatayan si Lando Sismundo, 42, dahil sa aktibong pagpapagamit nito sa 3rd Infantry Battalion Philippine Army, mga pulis, at ahente sa paniktik ng rehimeng Aquino.	Lando Sismundo, 42, was awarded with death because of his active use by the 3rd infantry battalion Philippine Army, the police, and spy agents of the Aquino regime.
<7>	Kabilang siya sa ilang elementong nagtaksil sa rebolusyonaryong kilusan dito sa Nueva Ecija na tinipon, sinanay at binabayaran ng mga pasistang kaaway sa ilalim ng Oplan Bayanihan sa pagsasagawa ng mga sikolohikal at kriminal na operasyon tulad ng pagpapanggap, pananakot, pangongotong, pagpatay, at iba pang maruruming gawain na iniuutos sa kanila.	he belongs to the few who betrayed the revolutionary movement here in Nueva Ecija who were gathered, trained and paid by the fascist enemies under the Oplan Bayanihan for carrying out psychological and criminal operations like disguising, threatening, extortion, murder, and other dirty tasks ordered to them.
<8>	Umabot na ito sa sukdulan matapos komprontahin at palayasin ng yunit ng BHB na nakakasaklaw sa lugar upang makaiwas na siya sa panggigipit at pagpapagamit sa kaaway.	it reached a climax after he was confronted and driven out by the BHB unit that encompasses the area so he can avoid pressure from and being used by the enemy.
<9>	Binigyan siya ng huling babala noong Hunyo 2011 sa harap ng kanyang asawa at mga anak.	he was given a final warning in June 2011 in front of his spouse and children.
<10>	Pero naging mitsa pa ng paghihiwalay nilang mag-asawa kalaunan ang matigas na pagpapatuloy nito sa mga nasabing aktibidad.	but his stubborn continuance of the said activities even became the cause of their separation.
<11>	Sa harap ng umiiral na batas-militar sa Carranglan, at kawalang aksyon ng kinauukulan upang protektahan at ipagtanggol ang karapatang-pantao at kagalingan ng mamamayan, pinapatunayan ng pangyayaring ito na tanging sa pagpapahigpit at pagpapalakas ng pagkakaisa at pagkilos ng malawak na masa at tunay na hukbo nila--ang BHB--makakamit ang rebolusyonaryong hustisya sa pamamagitan ng digmang bayan tungo sa isang ganap na panlipunang pagbabago.	in the face of ongoing martial law in Carranglan, and lack of action from the authorities to protect and defend the human rights and welfare of the people, this incident proves that it is only through the pressure and increasing unity and mass action by the people and their true army - the BHB - will revolutionary justice be achieved through civil war towards an absolute change in society.
