<1>	Pagrepaso sa datos ng School-Based Feeding Program, imunangkahi ng PIDS	review on the data of School-Based Feeding Program, proposed by PIDS
<2>	May 17, 2016 Lucia F. Brono	May 17, 2016 Lucia F. Brono
<3>	LUNGSOD QUEZON, Mayo 17, (PIA) -- Nagpahayag ang Philippine Institute for Development Studies (PIDS) na kailangan ng wastong pagtitimbang at maayos na dokumentasyon upang makita ang tunay na kalagayan ng nutrisyon ng mga mag- aaral sa mga pampublikong paaralan.	Quezon City, May 17, (PIA) - the Philippine Institute for Development Studies (PIDS) announced that a correct measurement of weight and proper documentation is needed to see the real condition of nutrition of the pupils in public schools.
<4>	Hinimok ng PIDS ang Department of Education (DepED) na repasuhin ang mga dokumento at datos ukol sa “nutritional status ng mga bata pati na rin ang pamamaraan ng pagtitimbang, pagkuha ng edad at ng taas.	PIDS urged the Department of Education (Department of Education) to review the documents and data about the nutritional status of the children as well as the way of measuring their weight, obtaining their age and height.
<5>	Ayon sa PIDS, nakitaan ng maraming pagkakamali ang mga dokumento ng DepEd sa kanilang pagtasa sa epekto ng School-Based Feeding Program.	according to PIDS, the documents of the Department of Education are seen with numerous errors in their assessment of the effect of the School-Based Feeding Program.
<6>	Ayon kay PIDS Consultant at UP Professor Ana Maria Tabunda maraming pagkakamali sa pagdodokumento tulad ng petsa, taas at timbang ng bata bago at pagkatapos ng feeding program. May mga mali din sa birthday at edad ng bata. “Kitang kita ang mga mali sa pagsukat ng taas ng maraming bata. May mga batang mas lumiit pagkatapos ng feeding, at may mga pangyayari na hindi makita ang datos ng timbang at taas ng ibang bata pagkatapos ng feeding,” pahayag ni Tabunda.	according to PIDS Consultant and UP Professor Ana Maria Tabunda, there are numerous errors in the documentation such as the date, height and weight of the child before and after the feeding program. there are errors in the birthday and age of the child. "the errors are clearly seen in the measurement of the height in most children. there are children who became smaller after the feeding, and there are incidents that the data on the weight and height of other children after the program are not found," stated by Tabunda.
<7>	Ayon kay Tabunda,malaking balakid ang maraming pagkakamali sa pagdodokumento, at mga datos na nakuha ng mga mananaliksik ng PIDS Upang maibibigay ang tamang programa para maisaayos ang nutrtisyon ng mga pampublikong batang mag-aaral.	according to Tabunda, the numerous mistakes on the documentation is a big hindrance, and the data gathered by the researchers of PIDS shall have given the right program to fix the nutrition of the public school children.
<8>	Sinabi pa ni Tabunda na upang makita ang progreso ng School Feeding Program, kinakailangan ng maayos na timbangan at height measurement sa mga paaralan maging doon sa mga hindi nagpapatupad ng programan dahil lahat ng paralan ay obligadong magsumite ng timbang at taas ng bata sa simula at tapos ng eskuwela.	Tabunda also said, that in order to see the progress of the School Feeding Program, a proper weighing scale and height measurement is needed in the schools even those who are not yet implementing the program because all schools are obliged to submit the weight and height of the child from the start and end of schooling.
<9>	Kaniya ring inirekomenda na turuan ang mga “school heads, mga nars at mga guro ng tamang pagtitimbang, tamang pagsusukat ng taas at tamang dokumentasyon bago at pagtapos ng feeding program.	she also recommended to teach the school heads, nurses and teachers in correct weighing, correct measuring of the height and correct documentation before and after the feeding program.
<10>	Dagdag pa ni Abunda, ang tamang dokumentasyon ay nakatutulong sa pagtukoy ng benipisyaryong paaralan at beneipisyaryong mag-aaral maging sa pagsubaybay at sa pagtasa ng resulta ng programa.	also added by Abunda, a correct documentation is helping to determine the school beneficiaries and student beneficiaries as well as the monitoring and review for the results of the program.
<11>	Nagmungkahi din siyang bigyan ang mga apaaralan ng application program katulad ng Microsoft Excel upang wastong makwenta ang edad ng mga bata.	she also proposed to give the schools an application program such as Microsoft Excel to correctly calculate the ages of the children.
<12>	Sa karanasan ng Natonal Capital Region (NCR) ang maling timbangan, maling pagtitimbang at pagsukat ng taas at maling pagkuwenta ng edad ng bata ay nakita din sa lokal na pamahalaan ng Mandaluyong sa kanilang pagtataguyod na mabigyan ng magandang nutrisyon ang lahat ng batang mag-aaral.	in the experience of the National Capital Region (NCR), the erroneous weighing scale, wrong measurement of weight and height and wrong calculation of the age of the child is also seen in the local government of Mandaluyong in their upholding to give a good nutrition to all schoolchildren.
<13>	Sa rekomendasyon ng National Nutrition Council- National Capital Region (NNC-NCR), nilagyan ng height measurement device at detecto na timbangan ang lahat ng pampublikong paaralan at tinuruan ng mga City Nutritionist ang mga guro at nars ng tamang pagtitimbang.	in the recommendation of the National Nutrition Council- National Capital Region (NNC-NCR), all public schools are installed with a height measurement device and weighing scale detector and the City Nutritionists taught the teachers and nurses of the proper way of measuring the weight.
<14>	Isinaayos din ang menu ng mga pagkain para sa feeding program. Sa gawaing ito, malaki ang ikinaganda ng nutrisyon ng mga mag-aaral.	the menu of the food for the feeding program is also organized. in this activity, there is a huge improvement in the nutrition of the students.
<15>	Sinimulan ng DepEd ang feeding program noong 1997 upang mabigyan ng pansamantalang lunas ang malnutrisyon sa mga mag-aaral sa pambublikong paaralan.	the Department of Education started the feeding program last 1997 to give temporary treatment in the malnutrition of students in public schools.
<16>	(PIA-NCR/RJB/LFB)	(PIA-NCR/RJB/LFB)
