<1>	ISPORT LANG: 140 lbs catchweight? By Zaldy Perez	just sports: 140 pounds catchweight? by Zaldy Perez
<2>	July 27, 2016 Nalundag na ni Terence Crawford ang isa sa mga harang sa posibilidad na makasagupa niya si senator Manny Pacquiao sa Nobyembre.	July 27, 2016 Terrence Crawford has jumped one of the hurdles of the possibility that he will fight Senator Manny Pacquiao in November.
<3>	Ito ay matapos na dispatsahin niya ang Ukrainian na si Viktor Postol sa pamamagitan ng unanimous decision sa sagupaan ng mga undefeated nito lamang Linggo sa MGM Grand.	this is after he beat Ukranian Viktor Postol through a unanimous decision in the fight of the undefeated just this Sunday in MGM Grand.
<4>	Matapos ang sagupaan kaagad na hinamon ni Crawford si senator Pacquiao na magharap sila sa ibabaw ng ring.	after the fight Crawford immediately challenged Senator Pacquiao to a face off on top of the ring.
<5>	Kaya lang tila may problema dahil gusto niya kung maglaban sila ni senator ay sa 140 lbs.	but there seems to be a problem because he wants to fight the senator at 140 pounds.
<6>	Wow ha!	wow!
<7>	San ka naman nakakita ng naghahamon eh siya pa ang may lakas ng loob na maglatag ng catch weight na paglalabanan.	where did you see a challenger who has the spirit to set a catch weight for the fight.
<8>	Dahil dito tila magkaka-problema si Crawford dahil baka hindi siya pumasa sa panlasa ng eight- division world champ.	because of this it seems Crawford will have a problem because he might not pass the standards of the eight-division world champ.
<9>	Kung sabagay, sa mga huling laban ni senator Pacquiao ay sa 147 lbs catch weight ang mga ito.	well, the latest fights of Senator Pacquiao had a catch weight of 147 pounds.
<10>	Sa laban noong Linggo kontra kay Postol lutang na lutang ang husay ni Crawford at sa final round nga nakababa ang mga gloves niya at tinutukso si Postol.	in the fight last Sunday against Postol Crawford's skill was really apparent and in the final round his gloves were even down and he was teasing Postol.
<11>	Kung sakali at si Crawford nga ang makasagupa ni senator sa November, magawa kaya niya ang ipinakita niyang magandang performance kontra kay Postol.	in case it really is Crawford the senator will face in November, can he also display the good performance from his fight against Postol?
<12>	Ewan ko, pero kahit na magti-38-anyos na sa Disyembre, nakatitiyak ang Isport Lang!	I don't know, but even if he will be 38 in December, Just Sports! is sure
<13>	na kayang sabayan o higitan pa ni senator Pacquiao ang bilis ni Crawford.	that Senator Pacquiao can match or exceed the speed of Crawford.
