<1>	Konektado sa Al Qaeda top financier ng Abu Sayyaf, timbog	top financier of Abu Sayyaf connected to Al Qaeda, apprehended
<2>	Ni Joy Cantos at Lordeth Bonilla (Pilipino Star Ngayon) | Updated June 12, 2014 - 12:00am	by Joy Cantos and Lordeth Bonilla (Pilipino Star Ngayon) | updated June 12, 2014 - 12:00am
<3>	MANILA, Philippines - Naaresto ng pinagsanib na elemento ng Intelligence Security Group (ISG) ng Phil. Army, Criminal Investigation and Detection Group-National Capital Region (CIDG-NCR) at Parañaque Police ang isang mataas na lider ng mga bandidong Abu Sayyaf Group (ASG) na may ugnayan sa Al Qaeda at Jemaah Islamiyah (JI) terrorist sa isinagawang ope­rasyon sa Parañaque City kahapon ng umaga.	Manila, Philippines - the joint elements of the Intelligence Security Group (ISG) of the Philippine Army, Criminal Investigation and Detection Group-National Capital Region (CIDG-NCR) and Parañaque Police arrested a high-ranking leader of the bandit Abu Sayyaf Group (ASG) linked to Al Qaeda and Jemaah Islamiyah (JI) terrorists in an operation held in Parañaque City yesterday morning.
<4>	Kinilala ni PNP-CIDG Chief P/Director Benjamin Magalong, ang nasakoteng suspect na si Khair Mundos, 50, isa sa matataas na lider ng Abu Sayyaf at top fi­nancier ng Abu Sayyaf.	PNP-CIDG Chief Police Director Benjamin Magalong identified the apprehended suspect as Khair Mundos, 50, one of the high-ranking leaders of Abu Sayyaf and top financier of Abu Sayyaf.
<5>	Si Mundos, ayon naman kay ISAFP Chief Major Gen. Eduardo Año ay may patong sa ulong P5.3-M at karag­dagan namang $500,000 mula naman sa pamahalaan ng Estados Unidos.	Mundos, according to ISAFP chief Major General Eduardo Año has a bounty of P5.3-M and an additional $500,000 from the US government.
<6>	Bandang alas-9:30 ng umaga nang masakote si Mundos sa kahabaan ng A. Bonifacio St., Brgy. San Dionisio, Parañaque City.	it was around 9:30 in the morning when Mundos was apprehended along A. Bonifacio Street, Barangay San Dionisio, Parañaque City.
<7>	Ang suspek ay dinakip sa bisa ng warrant of arrest na inisyu ng Regional Trial Court (RTC) 12 Judicial Region Branch 17 sa Kidapawan City at walang inirekomendang piyansa kapalit ng kanyang kalayaan.	the suspect was captured as a result of the warrant of arrest issued by the regional trial court (RTC) 12 judicial region branch 17 in Kidapawan City and no bail was recommended in exchange for his release.
<8>	Matagal na umanong trinabaho ng intelligence operatives si Mundos na iti­nuro ng isang tipster.	supposedly intelligence operatives have been working on Mundos for a long time, who was identified by a tipster.
<9>	Si Mundos ay galing pa umano sa Isabela City, Basilan nang magtungo ito sa Metro Manila­.	Mundos allegedly came from Isabela City, Basilan when he headed to Metro Manila.
<10>	Magugunita na noong Mayo 2004 ay nasakote na si Mundos sa kasong money laundering na isinampa laban sa teroristang grupo.	it can be recalled that in May 2004 Mundos was already caught for money laundering filed by the terrorist group.
<11>	Si Mundos umano ang tumatanggap at namamahala sa pondo ng Abu Sayyaf na nagmumula sa Al Qaeda at maging sa Jemaah Isla­miyah terrorist na ginagamit sa pambobomba ng bandidong Abu Sayyaf sa buong Mindanao.	Mundos allegedly accepts and manages the funds of the Abu Sayyaf that comes from Al Qaeda and even the Jemaah Isla-miyah terrorists that the bandit Abu Sayyaf uses to set bombs in the entire Mindanao.
<12>	Noong Pebrero 2007 ay nakatakas si Mundos sa provincial jail ng Kidapawan City kung saan sa ilalim ng pamumuno nito sa inilunsad na serye ng pambobomba ng Abu Sayyaf ay mara­ming mga sundalong Pinoy at maging ang US servicemen ang nasawi sa Mindanao Region.	on February 2007 Mundos escaped the provincial jail of Kidapawan City where under his leadership a series of bombings was launched by the Abu Sayyaf and killed many Filipino soldiers and even US servicemen in the Mindanao region.
<13>	Kasalukuyan nang sumasailalim sa masusing tactical interrogation sa CIDG-NCR sa Camp Crame si Mundos.	Mundos is currently undergoing a careful tactical interrogation by the CIDG-NCR in Camp Crame.
