<1>	Kinukundena namin ang pagbabanta ni Lt. Col. Toribio sa mga sibilyan	we are condemning the threats of Lieutenant Colonel Toribio to the civilians
<2>	NAKABABAHALA ang garapalan at walang-pakundangang pagbabanta ni 31st IB commander Lt. Col. Teody Toribio sa mga sibilyan.	the explicit and unceasing threat of 31st IB Commander Lieutenant Colonel Teody Toribio to the civilians is alarming.
<3>	Sa mismong programa niya sa radyo nitong Pebrero 17, di kukulangin sa limampung ordinaryong mamamayan sa iba’t ibang bayan sa Sorsogon ang tuwiran niyang pinangalanan at pinagbintangang mga tauhan o di kaya’y “poste” ng NPA.	in his radio program itself this February 17, he directly named and accused not less than fifty ordinary citizens in various towns in Sorsogon as members or as posts of the NPA.
<4>	Nakapangangamba ito dahil ganitong-ganito rin ang ginagawa noon ng berdugong si Gen. Jovito Palparan para markahan ang mga sibilyan para sa likidasyon ng mga death squad ng AFP.	this is alarming because similarly this was done by the executioner Gen. Jovito Palparan to mark the civilians for the liquidation of the death squads in AFP.
<5>	Tahasan itong paglapastangan sa pinakamahalagang prinsipyo sa makataong pakikidigma—ang pagtiyak na hindi tinatarget ang mga taong hindi tuwirang kalahok sa armadong tunggalian.	this is a definite disrespect of the most important principle in humanitarian war - the assurance that the people who are not directly involved in the armed conflict are not being targeted.
<6>	Labag ito sa lahat ng umiiral na pandaigdigang batas sa gyera at karapatang pantao.	this is a violation of all ruling universal law on war and human rights.
<7>	Labag ito sa Comprehensive Agreement on Respect for Human Rights and International Humanitarian Law (CARHRIHL) na kapwa pirmado ng rebolusyonaryong NDF at ng reaksyunaryong gubyerno ng Republika ng Pilipinas.	this is a violation on the Comprehensive Agreement on Respect for Human Rights and International Humanitarian Law (CARHRIHL) which is both signed by the revolutionary NDF and the reactionary government of the Republic of the Philippines.
<8>	Marapat lamang na mariing kundenahin ito ng sinumang may malasakit sa karapatang pantao.	it is only right to emphatically condemn this by anyone with compassion on human rights.
<9>	Marapat lamang na kastiguhin ang duwag na si Lt. Col. Toribio na nagtatapang-tapangan sa mga sibilyang walang kalaban-laban.	it is only right to castigate the coward Lieutenant Colonel Toribio who is trying to look brave towards the civilians who are powerless.
<10>	Hinahamon namin ang lahat ng pulitikong humihingi ngayon ng boto sa mamamayan ng Sorsogon na magpakita ng suporta sa mga sibilyang pinagbabantaan ni Lt. Col. Toribio.	we are challenging all the politicians who are now asking for votes from the citizens of Sorsogon to show support to the civilians who are threatened by Lieutenant Colonel Toribio.
<11>	Hinahamon namin ang Commission on Human Rights at ang rehimeng Aquino na nag-aastang tagapagtanggol ng karapatang pantao na aksyunan ang kabalbalang ito.	we are challenging the Commission on Human Rights and the Aquino regime who are acting as defenders of human rights to take action of this anomaly.
<12>	Ganito ba ang sinasabi ninyong “matuwid na daan”?	is this what you are saying as "the straight path"?
<13>	Ang audio recording ng mga pagbabanta sa sibilyan na ginawa ni Lt. Col. Toribio sa kanyang programa sa radyo ay isusumite namin sa NDFP-GRP Joint Monitoring Committee para mabigyan ng kaukulang atensyon sa negosasyong pangkapayapaan.	we are going to submit the audio recording of the threats to the civilians made by Lieutenant Colonel Toribio in his program in the radio to the NDFP-GRP Joint Monitoring Committee to be given an appropriate attention in the peace negotiation.
<14>	Ipamamahagi rin namin ito sa mass media at palalaganapin sa internet para maging saksi ang buong mundo sa tunay na mukha ng Oplan Bayanihan ng pasistang AFP.	we are also going to distribute this to the mass media and spread over the internet for the whole world to become a witness of the true face of the Oplan Bayanihan of the fascist AFP.
