<1>	(0.000-2.106)	<no-speech>	<no-speech>
<2>	(2.106-19.650)	<sta> kasabay ng paggunita ng ikaapatnapung araw ng pagkamatay ng apatnapu't apat na miyembro ng P_N_P <sta> Special Action Force sa madugong Mamasapano encounter <sta> naglunsad ng kilos-protesta ang grupong Sentro dito sa GenSan at nanawagang ipasa na ang Bangsamoro Basic Law o B_B_L .	simultaneous to the remembering of the fortieth day of the death of the forty-four members of P_N_P special action force in the bloody Mamasapano encounter the Sentro group here in GenSan launched a protest action and appealed to pass the Bangsamoro basic law or B_B_L .
<3>	(19.650-21.524)	nag-pa-patrol si Reann Acosta .	Rean Acosta patrolling .
<4>	(21.524-26.344)	ang (()) panawagan (()) ang issue sa Mamasapano %incomplete	the (()) appeal (()) the issue in Mamasapano %incomplete
<5>	(26.344-37.690)	inalala sa isang kilos-protesta ng ilang taga-GenSan ang ikaapatnapung araw ng pagkamatay ng apatnapu't apat na miyembro ng Special Action Force sa madugong engkuwentro sa Mamasapano Maguindanao .	remembered in a protest action of some from GenSan is the fortieth day of the death of the forty-four members of the special action force in the bloody encounter in Mamasapano Maguindanao .
<6>	(37.690-42.350)	(()) .	(()) .
<7>	(42.350-47.200)	kinondena din ng grupo ang pag-antala ng Bangsamoro Basic Law o B_B_L .	the group also condemned the delay of the Bangsamoro basic law or B_B_L .
<8>	(47.200-52.310)	nagsindi sila ng mga kandila na bumuo ng katagang pass B_B_L now .	they light candles that formed the phrase pass B_B_L now .
<9>	(52.310-58.470)	naniniwala ang grupo na ito ang magbibigay daan para sa kapayapaan sa Mindanao .	the group believed that this will give way for peace in Mindanao .
<10>	(58.470-64.927)	<sta> hindi nila gagamitin 'yong issue ng Mamasapano incident para hindi ipasa 'yong <hes> <sta> Bangsamoro Basic Law .	they will not use the issue on Mamasapano incident to not pass that Bangsamoro basic law .
<11>	(64.927-82.560)	<sta> kaya kami sa sector ng mga manggagawa ay nakikiisa sa mga kapatid natin na Moro <sta> na dapat <hes> respetuhin natin 'yong right to self determination nila <sta> through sa pagpasa ng Bangsamoro Basic Law para magkaroon sila 'no ng <hes> bagong <hes> pang-gobyerno na ipalit sa A_R_M_M .	that is why we in the sector of workers unite with our Moro brethren that we should respect their right to self determination through passing the Bangsamoro basic law for them to have new government to replace A_R_M_M .
<12>	(82.560-90.924)	nakabinbin pa rin ngayon sa Camara ang B_B_L pero nagpasya na umano ang mga mambabatas na tanggalin ang unconstitutional provision sa B_B_L .	the B_B_L is still pending now in the Camara but the lawmakers allegedly decided to remove the unconstitutional provision on B_B_L .
<13>	(90.924-98.460)	tatanggalin na umano sa kasunduan ang kapangyarihan ng M_I_L_F na magkaroon ng sariling unipormadong hanay at protocol .	the power of the M_I_L_F to have its own uniformed rank and protocol will be allegedly removed from the agreement .
<14>	(98.460-111.380)	malinaw raw kasi sa panukala na magkakaroon ng Bangsamoro Police Force kung saan ang Chief Minister ang pipili ng magiging pinuno nito at may operational control at supervision sa Bangsamoro Police .	because it was said to be clear in the proposal that there will be a Bangsamoro police force where in the chief minister will choose who its leader will be and there is operational control and supervision in the Bangsamoro police .
<15>	(111.380-122.110)	una namang iginiit ni Miriam Coronel-Ferrer chairperson ng Government Peace Negotiating Panel na hindi magkakaroon na hiwalay na pulisya at militar ang Bangsamoro .	Miriam Coronel-Ferrer chairperson of the government peace negotiating panel first insisted that Bangsamoro will not have a separate police and military .
<16>	(122.110-129.370)	sa gitna ng mga isyung ito nasa Kongreso sa parehong Camara at Senado na ngayon ang bola sa pag-usad ng B_B_L .	in the midst of these issues the ball for the advancement of the B_B_L is now at the Congress of both Legislative Chamber and Senate .
<17>	(129.370-137.690)	ayon kay Congressman Pedro Acharon Junior hintayin na lang na mag-resume ang pagdinig at -- pero pabor din umano siyang amyendahan ang B_B_L .	according to Congressman Pedro Acharon Junior just wait for the hearing to resume and -- but he is also in favor to the amendment of the B_B_L .
<18>	(137.690-142.000)	well ako I'm -- i'll go for it prov- -- provided mayro'ng mga amendments .	well me I'll -- I'll go for it -- provided that there are amendments .
<19>	(142.000-146.790)	kukunin natin 'yong mga amendments na medyo may question sa constitutionality .	we will take the amendments which have a slight question on constitutionality .
<20>	(146.790-152.880)	where is the authority of the President of the Philippines and the M_I_L_F to negotiate .	where is the authority of the President of the Philippines and the M_I_L_F to negotiate .
<21>	(152.880-154.335)	<no-speech>	<no-speech>
<22>	(154.335-155.440)	a sub state ?	a sub state ?
<23>	(155.440-156.904)	that is the first question .	that is the first question .
<24>	(156.904-170.390)	ibinabala naman ni Senator Miriam Defensor Santiago na posibleng sumiklab ang gulo sa Mindanao kapag idineklarang unconstitutional ng Supreme Court ang panukala kahit makalusot pa ito sa Camara at Senado .	Senator Miriam Defensor Santiago is firing the possibility that the chaos in Mindanao may possibly explode if the Supreme Court declares the proposal as unconstitutional even if it has passed through the Legislative Chamber and Senate .
<25>	(170.390-171.990)	Reann Acosta .	Rean Acosta .
