<1>	Dahan-dahan sa pagyayabang	be cautious in bragging.
<2>	DURIAN SHAKE Ni Edith R. Regalado (Pilipino Star Ngayon) | Updated November 9, 2014 - 12:00am	durian shake by Edith R. Regalado (Pilipino Star Ngayon) | updated November 9, 2014 - 12:00am
<3>	TILA naging masyadong mayabang ang naging pahayag ng Armed Forces Chief of Staff Gen. Gregorio Pio Catapang na lilipulin nito ang Abu Sayyaf terrorist group sa loob lamang ng tatlong buwan.	the statement of Armed Forces chief of staff General Gregorio Pio Catapang that they will annihilate the Abu Sayyaf terrorist group within three months only seems to be too proud.
<4>	Huh?	huh?
<5>	Talaga?	really?
<6>	Ano?	what?
<7>	Sa loob lamang ng tatlong buwan?	within three months only?
<8>	At sa pamamagitan ng military action wawasakin ang Abu Sayyaf?	and the Abu Sayyaf will be destroyed through military action?
<9>	Andami nang nagdaang AFP chiefs of staff na ganun din ang pahayag na kesyo pupulbusin ang Abu Sayyaf at walang iiwanang buhay sa grupo ng mga terorista.	many past AFP chiefs of staff had similar statements that they will pulverize the Abu Sayyaf and not leave survivors in the group of terrorists.
<10>	Ngunit wala pa ring nangyayari.	but nothing has happened yet.
<11>	Andiyan pa rin ang Abu Sayyaf na patuloy sa kanilang pangingidnap ng kapwa dayuhan o mapa-lokal man na mga biktima nila.	the Abu Sayyaf are still there continuing their kidnappings of both foreign and local victims.
<12>	Ang all-out war na ito laban sa Abu Sayyaf, ayon kay Catapang, ay nangangahulugan ding isasabak ang ating mga sundalo sa isang 24/7 na operation kung kinakailangan dahil nga may night vision equipment ang militar.	this all-out war against the Abu Sayyaf, according to Catapang, means our soldiers will also be placed in a 24/7 operation if necessary because the military has night vision equipment.
<13>	Andun na tayo na may night vision na gamit ang militar ngunit hindi naman nila alam ang trail o ang pasikut-sikot sa kung saan naroroon ang mga Abu Sayyaf sa mga isla sa Western Mindanao.	we are at the point where the military uses night vision but they still do not know the trail or path where the Abu Sayyaf are in the islands of Western Mindanao.
<14>	Para na ring ipinain ni Catapang ang mga sundalo natin na papatayin o-imassacre lang ng Abu Sayyaf dahil nga hindi nila kabisado ang daan sa Sulu o maging sa Basilan at Tawi-Tawi.	it seemed that Catapang used our soldiers, who would just be killed or massacred by the Abu Sayyaf because they were not familiar with the roads in Sulu or even in Basilan and Tawi-Tawi, as bait.
<15>	Kahit ilang milyong night vision na gamit meron ang ating mga sundalo kung nawawala pa rin sila sa daan, talo pa rin sila sa mga kalaban.	even if our soldiers have a million night vision if they still get lost along the way, they will still lose to the enemy.
<16>	Kaya naman Gen. Catapang, dahan-dahan sa pagyayabang kung ang Abu Sayyaf o kahit anumang rebeldeng grupo dito sa Mindanao ang pag-uusapan.	so General Catapang, take it easy bragging when the Abu Sayyaf or any rebel groups here in Mindanao are being discussed.
<17>	Dapat mag-isip ng istratehiya na tiyak ang panalo ng AFP at hindi ‘yong talunan lang sa huli at luhaan pa dahil nga sa buhay ng ating mga sundalong isinabak laban sa Abu Sayyaf.	the AFP should think of a strategy with a sure win and not just a defeat in the end and in tears because we are placing the lives of our soldiers against the Abu Sayyaf.
<18>	Ang lahat, lalo na ang kapayapaan at katahimikan ay hindi nakukuha sa pamamagitan ng baril lamang.	everything, especially peace and calm cannot be obtained only through guns.
