<1>	(Outline, 0.000-1.210)	ano ba pag-uusapan natin ?	what are we going to talk about ?
<2>	(Inline, 0.000-1.415)	<no-speech>	<no-speech>
<3>	(Outline, 1.210-2.750)	<no-speech>	<no-speech>
<4>	(Inline, 1.415-3.135)	nasa basketball ?	in a basketball ?
<5>	(Outline, 2.750-3.502)	bakit 'yon ?	why that ?
<6>	(Inline, 3.135-4.355)	<no-speech>	<no-speech>
<7>	(Outline, 3.502-5.030)	ano kumusta <int> ?	what how are you ?
<8>	(Inline, 4.355-4.975)	hello hello ?	hello hello ?
<9>	(Inline, 4.975-6.615)	<no-speech>	<no-speech>
<10>	(Outline, 5.030-12.530)	<no-speech>	<no-speech>
<11>	(Inline, 6.615-7.235)	ha ?	what ?
<12>	(Inline, 7.235-8.475)	<no-speech>	<no-speech>
<13>	(Inline, 8.475-12.265)	si ano si Jeremy Lin sa New York Knicks .	Jeremy Lin of New York Knicks .
<14>	(Inline, 12.265-14.025)	<no-speech>	<no-speech>
<15>	(Outline, 12.530-13.990)	sino bang paborito mong <int> .	who is your favorite ?
<16>	(Outline, 13.990-21.580)	<no-speech>	<no-speech>
<17>	(Inline, 14.025-14.911)	lupit <hes> no ?	terrific right ?
<18>	(Inline, 14.911-16.185)	kaya kaya niya 'yong ano .	he can really do that .
<19>	(Inline, 16.185-17.185)	<no-speech>	<no-speech>
<20>	(Inline, 17.185-21.762)	hoy si ano si Lebron James pa rin ako kahit sikat si Jeremy Lin .	oh I am still for Lebron James even if Jeremy Lin is famous .
<21>	(Outline, 21.580-22.210)	oo .	yes .
<22>	(Inline, 21.762-22.615)	kahit Asian .	even Asian .
<23>	(Outline, 22.210-23.120)	<no-speech>	<no-speech>
<24>	(Inline, 22.615-23.695)	<no-speech>	<no-speech>
<25>	(Outline, 23.120-24.132)	paborito ko rin 'yon .	that is also my favorite .
<26>	(Inline, 23.695-24.335)	ikaw ba .	what about you .
<27>	(Outline, 24.132-25.530)	<int> paborito ko rin .	my favorite too .
<28>	(Inline, 24.335-26.155)	<no-speech>	<no-speech>
<29>	(Outline, 25.530-28.020)	<no-speech>	<no-speech>
<30>	(Inline, 26.155-27.695)	ikaw ba sino ba favorite mo ?	you who is your favorite ?
<31>	(Inline, 27.695-29.045)	<no-speech>	<no-speech>
<32>	(Outline, 28.020-30.804)	sa N_B_A napakagaling ni <hes> Nowitzki .	at the N_B_A Nowitzki is very good .
<33>	(Inline, 29.045-29.605)	ha .	what .
<34>	(Inline, 29.605-30.695)	<no-speech>	<no-speech>
<35>	(Inline, 30.695-31.335)	sino ?	who ?
<36>	(Outline, 30.804-32.289)	para sa akin si Nowitzki .	for me it's Nowitzki .
<37>	(Inline, 31.335-34.655)	<no-speech>	<no-speech>
<38>	(Outline, 32.289-33.190)	N_B_A .	N_B_A .
<39>	(Outline, 33.190-35.410)	<no-speech>	<no-speech>
<40>	(Inline, 34.655-35.535)	ah .	ah .
<41>	(Outline, 35.410-36.190)	Nowitzki .	Nowitzki .
<42>	(Inline, 35.535-36.825)	<no-speech>	<no-speech>
<43>	(Outline, 36.190-38.100)	'tsaka si <hes> Nowitzki .	and Nowitzki too .
<44>	(Inline, 36.825-37.385)	sino ?	who ?
<45>	(Inline, 37.385-41.485)	<no-speech>	<no-speech>
<46>	(Outline, 38.100-40.270)	<no-speech>	<no-speech>
<47>	(Outline, 40.270-41.090)	kilala mo ba 'yon ?	do you know him ?
<48>	(Outline, 41.090-43.700)	<no-speech>	<no-speech>
<49>	(Inline, 41.485-42.257)	ha .	what .
<50>	(Inline, 42.257-43.245)	ako si Lebron .	for me it's Lebron .
<51>	(Inline, 43.245-44.305)	<no-speech>	<no-speech>
<52>	(Outline, 43.700-45.740)	Lebron 'tsaka si Derrick Rose <int> .	Lebron and also Derrick Rose .
<53>	(Inline, 44.305-44.977)	hindi <hes> .	no .
<54>	(Inline, 44.977-46.755)	Lebron ano %incomplete	Lebron what %incomplete
<55>	(Outline, 45.740-47.660)	<no-speech>	<no-speech>
<56>	(Inline, 46.755-47.715)	anong team ba 'yon ?	what team was it ?
<57>	(Outline, 47.660-48.150)	ha ?	what ?
<58>	(Inline, 47.715-48.575)	<no-speech>	<no-speech>
<59>	(Outline, 48.150-49.640)	<no-speech>	<no-speech>
<60>	(Inline, 48.575-49.957)	'yon Derrick Rose .	that Derrick Rose .
<61>	(Outline, 49.640-50.331)	si Derrick Rose .	Derrick Rose .
<62>	(Inline, 49.957-51.395)	sa Chicago .	in Chicago .
<63>	(Outline, 50.331-51.077)	<no-speech>	<no-speech>
<64>	(Outline, 51.077-53.021)	oo idol ko 'yon .	yes he is my idol .
<65>	(Inline, 51.395-53.375)	<no-speech>	<no-speech>
<66>	(Outline, 53.021-53.920)	<int> 'di mo ba alam ?	don't you know ?
<67>	(Inline, 53.375-54.107)	ah oo kaya %incomplete	ah that is why %incomplete
<68>	(Outline, 53.920-55.230)	<no-speech>	<no-speech>
<69>	(Inline, 54.107-55.659)	ayon malupit din 'yon <hes> .	and that is also harsh .
<70>	(Outline, 55.230-55.660)	ha ?	what ?
<71>	(Inline, 55.659-56.835)	oo .	yes .
<72>	(Outline, 55.660-58.810)	hindi mo ba alam ng pinaka-modus nila ano .	don't you know their real modus do you .
<73>	(Inline, 56.835-58.245)	<no-speech>	<no-speech>
<74>	(Inline, 58.245-59.755)	si ano Lebron James ako .	who I am for Lebron James .
<75>	(Outline, 58.810-59.850)	<no-speech>	<no-speech>
<76>	(Inline, 59.755-63.395)	<no-speech>	<no-speech>
<77>	(Outline, 59.850-60.330)	ha ?	what ?
<78>	(Outline, 60.330-61.510)	<no-speech>	<no-speech>
<79>	(Outline, 61.510-62.009)	oo .	yes .
<80>	(Outline, 62.009-65.150)	magaling din 'yon pero idol ko talaga si Derrick Rose .	he is also good but Derrick Rose is really my idol .
<81>	(Inline, 63.395-63.905)	ha ?	what ?
<82>	(Inline, 63.905-68.075)	<no-speech>	<no-speech>
