<1>	(0.000-1.927)	<no-speech>	<no-speech>
<2>	(1.927-13.380)	<sta> patay ang isang sundalo habang lima naman ang sugatan sa pagsabog ng land mine <sta> habang tinutugis ng mga sundalo ang mga rebelde sa kabundukan ng Baranggay Upper Suyan sa Malapatan Sarangani Province .	a soldier was killed while five were wounded during an explosion of land mine while the soldiers were hunting the rebels in the mountains of Barangay Upper Suyan in Malapatan Sarangani Province .
<3>	(13.380-21.930)	<sta> sugatan din po ang walo pang- -- sundalo ng mag-crash ang isang chopper <sta> sa -- sa -- na sasaklolo sana sa mga sundalong nasabugan ng land mine .	two more -- soldiers were wounded when a chopper crashed at -- at --that was supposed to rescue soldiers who got caught in the landmine .
<4>	(21.930-24.084)	<sta> nag-pa-patrol si Cherry Tabunaway .	on patrol Cheery Tabunaway .
<5>	(24.084-27.298)	<no-speech>	<no-speech>
<6>	(27.298-45.540)	tulong-tulong ang mga sundalo <sta> para ibaba mula sa chopper ang sundalong si Private First Class Carlo Testado <sta> na namatay matapos masabugan ng land mine habang tinutugis ang mga rebeldeng N_P_A sa Sitio Lamsalo <sta> Baranggay Upper Suyan Malapatan Sarangani .	the soldiers worked together to bring Private First Class Carlo Testado down from the chopper who died after getting caught in the landmine while pursuing the N_P_A rebels in Lamsalo site barrio Upper Suyan Malapatan Sarangani .
<7>	(45.540-59.390)	<sta> sakay din ng chopper ang lima pang- -- sundalong nasugatan sa pagsabog ng land mine na sina Private First Class Asir Mangsan <sta> Khalid Amboloto Rene Samolde Danilo Pacino at si Corporal Glen Belasa .	also on board the chopper are five more -- soldiers wounded from the landmine explosion who are Private First Class Asir Mangsan Khalid Amboloto Rene Samolde Danilo Pacino and Corporal Glen Belasa .
<8>	(59.390-64.920)	<sta> naging emosyonal ang platoon leader ng grupo sa pagkasawi ni P_F_C Testado .	the platoon leader of the group became emotional on the death of P_F_C Testado .
<9>	(64.920-77.510)	<sta> labis din ang hinagpis ng pamilya sa sinapit ng beynte-singko anyos na <sta> sundalo na naulila ang walong buwang anak at nakatakda na sanang ikasal sa susunod na taon .	the family is also in deep sorrow on what happened to the twenty-five year old soldier who left his eight month old child behind and was supposed to get married the following year .
<10>	(77.510-78.983)	wala kaming magawa eh .	because there is nothing we can do .
<11>	(78.983-81.536)	kailangang tanggapin na lang .	we just have to accept it .
<12>	(81.536-86.400)	kahit masakit tanggapin na lang siyempre nanay ako masakit eh .	even if it hurts I just have to accept it of course I am a mother it hurts .
