<1>	Warriors nanambak, Lakers rumesbak	Warriors piled up points, Lakers took revenge
<2>	November 12, 2016	November 12, 2016
<3>	DENVER — Mu­ling sumakay ang Golden State sa isa pang mainit na simula, sa pagkakataong ito kay Stephen Curry, nang idemolis ng Warriors ang Denver Nuggets, 125-101, sa 71st NBA 2016-2017 season eliminations nung Biyernes (Manila time) sa Pepsi Center.	DENVER - Golden State once again rode to another heated start, this time with Stephen Curry, when Warriors demolished the Denver Nuggets, 125-101, in the 71st NBA 2016-2017 season eliminations last Friday (Manila time) at Pepsi Center.
<4>	Isang araw pagkarang sapawan ni Klay Thompson ang Dallas Mave­ricks sa first quarter, halos nireplika ni Curry ang gilas ng teammate, umiskor ng 14 laban sa 19 ng Nuggets sa unang 12 minutes of action.	one day after Klay Thompson overshadowed the Dallas Mavericks in the first quarter, Curry almost replicated the deftness of his teammate, scoring 14 versus the 19 of Nuggets in the first 12 minutes of action.
<5>	Sinalpak ng reigning MVP ang three sa kanyang seven triples sa period nang diktahan ng Golden State set ang pagtibag sa kalaban via 38-19 lead.	the reigning MVP displayed three of his seven triples in the period when the Golden State set dictated to destroy the opponent via 38-19 lead.
<6>	Umangas kahit paano ang Denver sa second quarter upang gapasin ang gap sa 14, 65-51, sa break.	Denver got aggressive on the second quarter to narrow the gap to 14, 65-51, during the break.
<7>	Pero may isa pang shooting clinic si Curry sa third frame, nagpasok ng apat pang triples para itarak ng Warriors ang biggest lead sa 31, 97-66, palapit sa pagtatapos ng yugto.	but Curry has one more shooting clinic in the third frame, entered four more triples to make Warriors solidify the biggest lead to 31, 97-66, nearing the end of the stage.
<8>	Pagkaraan, binalikat ni Malik Beasley ang early run ng Denver sa fourth quarter upang ibaba ang pagkaiwan ng kanyang kampo sa 20, 99-79, pero pinagpag na mula rito ng Warriors bench ang Nuggets hanggang sa katapusan.	after which, Malik Beasley shouldered the early run of Denver on the fourth quarter to lower his camp's lag to 20, 99-79, but from there, Warriors' bench swept the Nuggets until the end.
<9>	Nakakampay si Curry ng 33 points, kabilang ang seven sa 14 3-pointers ng team, sa pagpa­san sa Warriors.	Curry gathered 33 points, including seven of 14 3-pointers of the team, in bearing the Warriors.
<10>	Naka-19 si Klay Thompson at may 18 si Kevin Durant sa pag-push sa record ng GSW sa 7-2.	Klay Thompson got 19 and Kevin Durant had 18 while pushing the record of GSW to 7-2.
<11>	Namuno sa Nuggets sina rookies Jamal Murray at Beasley, na may 14 and 12 points, ayon sa pagkakasunod, off the bench.	Nuggets was led by rookies Jamal Murray and Beasly, with 14 and 12 points, respectively, off the bench.
<12>	May 11 each sina Danilo Gallinari at Gary Harris sa sumemplang na Denver, dumausdos pa sa 3-4 card.	Danilo Gallinari and Gary Harris each has 11 for the failed Denver, who further slipped lower to 3-4 card.
<13>	SACRAMENTO — Tinrangkuhan ni Lou Williams ang mabangis na late rally ng Los Angeles Lakers sa pagbuelo mula sa 19 points upang saltikin ang Sacramento Kings, 101-91, sa Golden 1 Center dito.	SACRAMENTO - Lou Williams stopped the fierce late rally of Los Angeles Lakers in their momentum from 19 points to defeat the Sacramento Kings, 101-91, here at Golden 1 Center.
<14>	Tumiris si Williams ng 11 sa fourth quarter nang bumira ang Lakers ng 19-9 run makalipas ang tablahan sa 82 sa gitnang bahagi.	Williams scored 11 on the fourth quarter when the Lakers pulled an 19-9 run after getting tied at 82 in the middle part.
<15>	Apat pang Lakers ang mga sumisid ng double fi­gures kung saan nag-ambag si D’Angelo Russell ng 17 points at si Nick Young na may 4-of-9 from beyond the arc ay may 16 markers.	four more Lakers dove into double figures wherein D'Angelo Russell contributed 17 points and Nick Young, with 4-of-9 from beyond the arc, had 16 markers.
<16>	Nagkontribyut si Julius Randle ng 15 points, eight rebounds at five assists at si Timofey Mozgov ay mayroong 10 points.	Julius Randle contributed 15 points, eight rebounds and five assists, and Timofey Mozgov has 10 points.
<17>	Iwan sa halos kabuuan ng laro ang LAL bago ang jumper ni Williams na nagbigay ng 74-73 lead sa 11:18 mark ng last quarter.	LAL was left behind in the majority of the game's duration before the jumper of Williams gave a 71-73 lead on 11:18 mark of the last quarter.
<18>	May ilang nakakakabang tagpo pa para sa Lakers, nabigyan ang Kings ng ilang opportunities para makabalik pa sa game pero naisablay lang ng home team ang mga open shots sa endgame.	there were a few nervous encounters for Lakers, giving the Kings a couple of opportunities to get back into the game but the home team failed the open shots in the endgame.
<19>	Nanguna sa nangapa sa second half tapos nang mapwersang simula na Sacramento si DeMarcus Cousins sa 28 points, nine rebounds at four assists.	leading the scramble in the second half after the forceful start of Sacramento was Demarcus Cousins with 28 points, nine rebounds and four assists.
<20>	Nagdagdag si Rudy Gay ng 15 points at eight rebounds.	Rudy Gay added 15 points and eight rebounds.
<21>	Lampas na ang nasa three-game road trip na L­akers sa above .	Lakers, who is in the three-game road trip, already exceeded above .
<22>	500 sa 5-4 mark.	500 with 5-4 mark.
<23>	Bagsak ang Sacramento sa 4-6.	Sacramento falls with 4-6.
