<1>	Dalawang magsasaka, isang drayber dinukot sa Bataan	two farmers, one driver kidnapped in Bataan
<2>	by Kontribusyon July 14, 2013	by Contribution July 14, 2013
<3>	Dalawang magsasaka at isang tricycle driver ang dinukot ng pinaghihinalaang mga elemento ng 703rd Infantry Battalion ng Philippine Army noong Hulyo 11 sa Brgy. Liyang, Pilar, Bataan.	two farmers and one tricycle driver are abducted by the suspected elements of the 703rd Infantry Battalion of the Philippine Army last July 11 in Barangay Liyang, Pilar, Bataan.
<4>	Ala-una hanggang alas-dos ng hapon nang dukutin sina Josue Ortiz, 23, at kapwa magsasakang si Manuel Pagkaera, humigit-kumulang 40-anyos, sa bayan ni Pagkaera, kasama ang di-napangalanang tricycle driver na kasama nila noon, ayon kay Rodolfo Sambajon, tagapag-ugnay ng Alyansa ng Mamamayan Laban sa Kahirapan at Pagpapalayas.	around one o'clock to two o'clock afternoon when Josue Ortiz, 23 and his co-farmer Manuel Pagkaera, more or less 40 years old, were abducted in the town of Pagkaera with their companion, an unnamed tricycle driver, according to Rodolfo Sambajon, coordinator of the Alliance of Citizens against Poverty and Exile.
<5>	Sinabi ng mga kamag-anak ni Pagkaera na nakasaksi sa insidente na dinala ang tatlo sa isang kampo sa Bundok Arayat.	the relatives of Pagkaera who witnessed the incident said that the three were brought to a camp in Mount Arayat.
<6>	Nalaman nila ang pinagdalhan ng tatlo matapos sundan ng mga magulang ni Ortiz ang mga sundalong nagdukot.	they learned where the three were brought after the parents of Ortiz trailed the soldiers who abducted them.
<7>	Nang tanungin hinggil sa tatlong dinukot, tumanggi ang mga sundalo na may dinala sa kanilang kampo sa Arayat.	when asked about the three abducted, the soldiers denied that they had brought someone to their camp in Arayat.
<8>	Gayunman, hinarap umano sila ng isang Col. Henry Sabarre, diumano;y opisyal ng 703rd IB.	nevertheless, they were faced by a certain Colonel Henry Sabarre, who was said to be an official of the 703rd IB.
<9>	Ayon kay Col. Sabarre, kaya raw nila pinapakat ang mga militar sa Liyang ay dahil mayroon silang impormasyon na may armas sa lugar nila Pagkaera kung kaya nila kinuha ang tatlo.	according to Colonel Sabarre, the reason why he scattered the military in Liyang because they had an information that the place of Pagkaera had arms, so, they took the three.
<10>	Kalaunan, sinabi ni Sambajon na nagbago ang kuwento ng mga militar.	later, Sambajon said that the story of the military changed.
<11>	Sinabi ng mga ito na “sumuko” raw ang tatlo Arsenal na sa Lamao, Limay, Bataan.	they said that the three surrendered in the arsenal in Lamao, Limay, Bataan.
<12>	Iginiit ng mga magulang ni Ortiz na makita ang anak, pero tumanggi ang mga sundalo.	the parents of Ortiz insisted to see their child, but the soldiers refused.
<13>	Samantala, kinumpirma ng isang kapatid ni Pagkaera na nakapiit ang huli sa Camp Tolentino sa Balanga, Bataan.	meanwhile, confirmed by one sibling of Pagkaera that the former is jailed in Camp Tolentino in Balanga, Bataan.
<14>	Pero di tiyak kung kasama niya ang dalawa pang nawawala Sinabi ni Sambajon na ipagpapatuloy nila ang imbestigasyon para mahalap ang dinukot na mga magsasaka at tricycle driver.	but I am sure he is with the other two who are still missing. Sambajon said that they are continuing the investigation to locate the abducted farmers and tricycle driver.
<15>	Hinala ng mga kaanak na pinagbibintangang mga miyembro ng rebeldeng New People’s Army (NPA) ang tatlo.	the relatives suspected that the three were accused as members of the New People's Army (NPA) rebels.
<16>	Pero iginigiit nilang hindi miyembro ng NPA ang mga ito.	but they are insisting that these are not members of the NPA.
