<1>	Tinatarget ng AFP ang mga biktima ng bagyong Pablo na tinulungan ng NDF	the AFP is targeting the victims of typhoon Pablo who are helped by the NDF
<2>	Kawanihan sa Impormasyon	Department of Information
<3>	Partido Komunista ng Pilipinas	Communist Party of the Philippines
<4>	Enero 15, 2013	January 15, 2013
<5>	Translations: AFP targets Pablo victims aided by NDF	translations: AFP targets Pablo victims aided by NDF
<6>	Binatikos ng PKP ang Armed Forces of the Philippines (AFP) sa pagtarget sa mga biktima ng bagyong Pablo na nakinabang sa tulong na ibinigay ng Bagong Hukbong Bayan at mula sa mga taong pinakilos ng National Democratic Front of the Philippines (NDF) at mga alyadong organisayon nito.	the PKP criticizes the Armed Forces of the Philippines (AFP) for targeting the victims of typhoon Pablo who benefited from the help given by the New People's Army and from the people mobilized by the National Democratic Front of the Philippines (NDF) and its allied organizations.
<7>	Ayon sa isang ulat mula sa NDF-Southern Mindanao, inaresto at ikinulong ng mga elemento ng 67th IB si Pablito Gubaton, isang purok lider ng Sityo Bangas, Barangay Mainit, Cateel.	according to a report from NDF-Southern Mindanao, the elements of the 67th IB arrested and imprisoned Pablito Gubaton, a zone leader in Sitio Bangas, Barangay Mainit, Cateel.
<8>	Inakusahan ng militar si Gubaton na tumanggap na balot ng relief goods mula sa Bagong Hukbong Bayan.	the military accused that Gubaton received a pack of relief goods from the New People's Army.
<9>	Pinalaya lamang siya matapos ang walong oras na taktikal na interogasyon.	he was only freed after an eight hour tactical interrogation.
<10>	"Iniintriga ng AFP ang mga sinserong mga grupo at indibidwal na nagbigay ng tulong sa biktima ng kalamidad, sa pamamagitan malisyosong pag-uugnay sa kanila sa rebolusyonaryong armadong kilusan," anang PKP.	"the AFP is intriguing the sincere groups and individuals who gave aid to the victims of calamity, through maliciously linking them to the revolutionary armed movement," PKP said.
<11>	"Ang malinaw, ang tinagurian 'makataong pagtulong' ng AFP ay walang iba kundi pakitang-tao lamang," anang PKP.	"what is clear, the considered 'humanitarian help' of the AFP is nothing but a hypocrisy," PKP said.
<12>	"Ginagamit ng AFP ang 'relief and rehabilitation' bilang panabing sa brutal at walang-humpay na gerang mapanupil ng Oplan Bayanihan."	"the AFP is using 'relief and rehabilitation' as a covering on the brutal and unceasing suppressive war of Oplan Bayanihan."
