<1>	Walang lunasBy George Nava-True II	no cure by George Nava - True II
<2>	December 12, 2016	December 12, 2016
<3>	Totoo bang walang lunas ang emphysema?	is it true that there is no cure for emphysema?
<4>	Gaano katagal ang buhay ng taong may ganitong sakit?	how long will be the life of someone with this disease?
<5>	Ano ang pinakamagandang pang-maintenance sa sakit na ito para hindi bumilis ang pag­lala?	what is the most effective maintenance for this disease so that it will not quickly worsen?
<6>	Maraming salamat po!	thank you so much!
<7>	— Name withheld.	- name withheld.
<8>	Tama ka!	you're right!
<9>	Hindi nagagamot ang emphysema.	there is no cure for emphysema.
<10>	Pero meron paraan para hindi lumalala ito at ma­ging normal ang buhay mo.	but there is a way so that it would not worsen and make your life normal.
<11>	Ang emphysema ay bahagi ng mga sakit na kung tawagin ay chronic obstructive pulmonary disease.	emphysema is part of a disease called chronic obstructive pulmonary disease.
<12>	Nangyayari ito kapag ang air sacs o ang lalagyan ng hangin sa baga ay nasisira.	this happens when the air sacs or the container for air in the lungs gets damaged.
<13>	Dahil dito, nababawasan ang dami ng oxygen na dumarating sa bloodstream.	because of this, the amount of oxygen that runs through the bloodstream lessens.
<14>	Kapos ang hininga kahit nagpapahinga ka at nahirapan kang kumilos.	you pant even while resting and have difficulty moving.
<15>	Puwede itong magsimula pagkalipas ng ilang taon na meron ka ng sakit.	it could start after some years of being ill.
<16>	Ang pangunahing dahilan ng emphysema ay exposure sa airborne irritants tulad ng usok, sigarilyo, marijuana, ma­duming hangin, coal and silica dust at manufactu­ring fumes.	the primary cause of emphysema is exposure with airborne irritants like smoke, cigarettes, marijuana, polluted air, coal and silica dust and manufacturing fumes.
<17>	Sa ilan, ang sanhi nito ay inherited deficiency ng protina na Alpha-1 antitrypsin ­deficiency emphysema.	for some, the cause of this is inherited deficiency of protein alpha-1 antitrypsin-deficiency emphysema.
<18>	Para hindi lumalala ang sakit, maaring bigyan ka ng doctor ng smoking cessation drugs tulad ng bupropion hydrochloride at varenicline upang matigil ang paninigarilyo, bronchodilators para mawala ang ubo at maging normal ang paghinga mo at inhaled steroids para makahinga ka ng mabuti.	so that it would not worsen, the doctor could possibly give you smoking cessation drugs like bupropion hydrochloride and varenicline to stop smoking, bronchodilators to remove cough and to normalize your breathing and inhaled steroids for proper breathing.
<19>	Huwag gamitin ito ng matagal kasi maaring humina ang buto at magkaroon ka ng high blood pressure, katarata at diabetes.	do not use this for a long time as it may weaken your bones and cause high blood pressure, cataract and diabetes.
<20>	Kapag meron kang bacterial infection tulad ng bronchitis o ­pneumonia, makakatulong din ang ­antibiotics.	if you have bacterial infection like bronchitis or pneumonia, antibiotics can help.
<21>	Pulmonary rehabilitation in the form of breathing exercises ay maganda sa taong may emphysema.	pulmonary rehabilitation in the form of breathing exercises is good for people who have emphysema.
<22>	Tuturuan ka rin ng tamang pagkain para pumayat kung sakaling may kinalaman ito sa problema mo sa paghinga.	it will also teach you eat correctly to lose weight just in case it is related to your difficulty in breathing.
<23>	Kung malala ang problema, baka kailangan ng supplemental oxygen na pwedeng gamitin sa bahay.	if the problem is worse, you may need supplemental oxygen that you could use at home.
<24>	This is done using a narrow tube that fits into your nostrils.	this is done using a narrow tube that fits into your nostrils.
<25>	Pwede rin magpaopera.	you could also undergo an operation.
<26>	Para guminhawa ang pakiramdam, itigil ang paninigarilyo, iwasan ang mga respiratory ­irritants tulad ng usok ng sasak­yan, secondhand smoke, pabango at kandila, mag-exercise lagi, at iwasan ang malamig ng hangin.	to feel better, stop smoking, avoid respiratory irritants like smoke from vehicles, secondhand smoke, perfume and candles, always exercise, and avoid cold air.
<27>	Kapag malamig ang panahon, magsuot ng scarf at takpan ang ilong at bibig ng maskara.	if the weather is cold, wear a scarf and cover your nose and mouth with a mask.
