<1>	Pambobomba, pag-okupa ng AFP sa eskwelahan sa Sagada, kinundena ng PKP	bombing, occupation of the AFP in schools in Sagada, condemned by PKP
<2>	Information BureauCommunist Party of the PhilippinesAugust 31, 2013Kinundena ng Partido Komunista ng Pilipinas (PKP) ang Armed Forces of the Philippines (AFP) sa walang patumanggang pambobomba at istraping kahapon ng umaga sa Sagada, Mt. Province at sa pag-okupa at paggamit sa isang eskwelahang pang-elementarya bilang kampong militar.	Information Bureau Communist Party of the Philippines August 31, 2013 the Communist Party of the Philippines (PKP) condemned the Armed Forces of the Philippines (AFP) in the relentless bombing and strapping yesterday morning in Sagada, Mt. Province and in occupying and using an elementary school as a military camp.
<3>	"Gamit ang dalawang MG-520 na pang-atakeng helikopter, inilunsad ng mga pasistang sundalo ng AFP ang dalawang magkasunod na pambobomba at pagpapaulan ng mga bala kahapon ng umaga sa Sagada, na yumanig sa kalupaan at _watershed areas_, nagsapanganib sa buhay ng libu-libong residente at nagdulot ng sira sa kapaligiran laluna sa pinagkukunan ng tubig."	"utilizing a two MG-520 helicopter for an attack, launched by the fascist soldiers of the AFP were the two consecutive bombings and showering of bullets yesterday morning in Sagada, which shook the lands and watershed areas, endangered the lives of thousands of residents and caused damage to the environment especially the source of water."
<4>	Ang mga pang-atakeng helikopter ay ipinakat ng 1st Division Strike Wing ng Philippine Air Force.	the helicopters for attack are scattered by the 1st Division Strike Wing of the Philippine Air Force.
<5>	"Hindi katwiran na hinahabol ng AFP ang isang yunit ng Bagong Hukbong Bayan (BHB) sa lugar kaya inilunsad ang pambobomba na wala namang malinaw na target, nagsasailalim sa buong komunidad sa takot at sumisindak sa mga sibilyang residente," anang PKP.	"it is not a justification that the AFP is chasing after a unit of the New People's Army (NPA) in the place, therefore, a bombing was launched without a clear target, subjugating the whole community in fear and terrorizing the civilian residents," PKP said.
<6>	"Ang paggamit ng pambobomba mula sa himpapawid para sindakin at takutin ang mamamayan ay isa sa pinakaduwag na ginagawa ng AFP sa paglulunsad ng gerang mapanupil nitong Oplan Bayanihan laban sa sambayanang Pilipino at kanilang mga rebolusyonaryong pwersa," dagdag ng PKP.	"the utilization of bombing from the air to terrorize and scare the citizens is one of the most coward being done by the AFP in launching its repressive war Oplan Bayanihan against the Filipino nation and their revolutionary forces," the PKP added.
<7>	"Habang nagpapatuok mula sa himpapawid, nakaumang naman ang baril ng mga tropa ng AFP sa baba sa mamamayang itinuturing nilang kalaban," anang PKP.	"while firing from the air, the guns of the troops of the AFP are on standby below to the citizens considered as enemies," PKP said.
<8>	"Buu-buong kumonidad ang isinasailalim ng AFP sa mga operasyong panunupil."	"the whole of the community is subjugated by the AFP under repressive operation."
<9>	"Kinukundena ng PKP ang pag-okupa at pagkakampo ng armadong tropang panlaban sa mababang paaralan ng Aguid na nasa liblib na lugar ng Sagada.	"the PKP is condemning the occupation and camping of the armed defense troops in an elementary school in Aguid in the far-flung place of Sagada.
<10>	Ang pag-okupa ng militar sa eskwelahan ay tahasang paglabag sa mga karapatang ng mga bata at nagsasailalim sa mga estudyante, mga magulang, mga guro nila at ang buong komunidad sa takot at pang-aabuso.	the occupation of the military in schools is a direct violation on the rights of children and subjugating the students, parents, their teachers and the whole community in fear and abuse.
<11>	"Nananawagan ang PKP sa sambayanang Pilipino, sa mga tagapagtaguyod ng karapatang-tao, sa mga tagapagtaguyod ng mga karapatan ng mga bata at sa mga ahensyang na internasyunal na makataong batas, na kundenahin at papanagutin ang rehimeng US-Aquino sa kampanya nito ng pambobomba at sa patakaran ng pagkakampo sa mga eskwelahan at paligid na sakop ng eskwelahan.	"the PKP is calling the Filipino nation, to the advocates of human rights, to the advocates of the rights of children and to the international agencies on humanitarian law, to condemn and hold the US-Aquino regime accountable in its campaign on bombing and rules on camping in the schools and surroundings within the jurisdiction of the school.
<12>	Noong lamang Mayo 30 at 31, naghulog din ng bomba ang AFP sa mga bukirin ng mga Barangay Gacab, Duldulao, Umnap, Buanao, at Lat-ey sa Malibcong, Abra.	just last May 30 and 31, the AFP also dropped a bomb to the mountains of Barangay Gacab, Duldulao, Umnap, Buanao and Lat-ey in Malibcong, Abra.
<13>	Dalawang kabataan ang nagkaroon ng _trauma_ dahil sa bombang sumabog 40 metro lamang layo sa kanilang tirahan.	two youth acquired trauma because of the bomb explosion only 40 meters far from their residences.
<14>	Noong Abril, naglunsad rin ng pang-ereng pambobomba sa Brgy. Luayon, Makilala, North Cotabato na nagdulot ng matinding pinsala sa mga komunidad at bukid.	last April, an airstrike was also launched in Barangay Luayon, Makilala, North Cotabato that caused severe damage to the community and mountains.
<15>	Noong Marso, naglunsad ng dalawang araw na walang patumanggang paghuhulog ng bomba ang mga pwersa ng 10th ID sa mga barangay ng Malita, Davao del Sur.	last March, the forces of the 10th ID launched a two-day relentless dropping of bombs in the villages of Malita, Davao del Sur.
