<1>	Nuno ng mga Sinungaling si Lt. Col. Estrella at AFP!	Lieutenant Colonel Estrella and the AFP are full of liars!
<2>	Patnubay De GuiaNDFP Southern Tagalog ChapterMay 19, 2013Katawa-tawang payaso si Lt. Col. Neil Anthony Estrella, tagapagsalita ng Armed Forces Southern Luzon Command, sa kanyang pamamahayag na diumano “matahimik ang botohan” sa Southern Tagalog at Bicol dahil “abala ang mga gerilyang New People’s Army sa paglahok sa eleksyon.”	Guide De Guia NDFP Southern Tagalog Chapter May 19, 2013 Lieutenant Colonel Neil Anthony Estrella, spokesperson of the Armed Forces Southern Luzon Command, is a laughable clown in his statement that supposedly "election is peaceful" in Southern Tagalog and Bicol because "the New People's Army guerillas are busy participating in the election."
<3>	Sa kanyang hibang na pagtatangkang labusawin ang isip ng publiko at maghasik ng intriga sa hanay ng rebolusyonaryong mamamayan, walang ibang nasusulingan si Lt. Col Estrella kundi maglubid ng kagila-gilalas na kasinungalingan.	in his crazy attempt to cloud the mind of the public and plant intrigue in the ranks of revolutionary citizens, Lieutenant Colonel Estrella had nowhere else to run but to rope in wonderful lies.
<4>	Kung iniisip ni Lt. Col. Estrella na malilinlang niya ang publiko, niloloko nya lamang ang kanyang sarili.	if Lieutenant Colonel Estrella thinks he can fool the public, he is only deceiving himself.
<5>	Ang kaya nya lamang papaniwalain ay ang kapwa nya elemento ng AFP na wala sa katinuan ng pag-iisip at hindi ang kritikal na upinyong publiko.	the only ones he can convince are his fellow AFP elements who are not in the right state of mind and not the critical public opinion.
<6>	Sa kagustuhang palitawing matahimik at maayos ang botohan sa dalawang rehiyon, minamaliit ni Estrella ang mga aksyong pamamarusa ng hukbong bayan laban sa nag-ooperasyong tropa ng AFP sa sakop ng mga larangang gerilya ng dalawang rehiyon.	in his desire to show that the election in the two regions are peaceful and orderly, Estrella underestimated the disciplinary actions of the people's army against the operating troops of the AFP in the territory of guerilla domains in the two regions.
<7>	Ang ayaw banggitin at aminin ni Lt. Col Estrella ay ang katotohanan na sa mga larangang gerilya ng Calabarzon at Mimaropa, sa kabila ng pagbabawal ng AFP at PNP, kusang naghahanap ng ugnay sa kinatawan ng rebolusyonaryong kilusan ang mga lokal na kandidatong kabig ni Aquino at UNA upang bigyan ng pahintulot ng kinauukulang rebolusyonaryong otoridad na makapangampanya sa mga lugar na sakop ng demokratikong gubyernong bayan.	what Lieutenant Colonel Estrella does not want to say and admit is the truth that in guerilla domains of Calabarzon and Mimaropa, despite the warning of the AFP and PNP, the local candidates leaning to Aquino and UNA voluntarily look for a connection with representatives of the revolutionary movement to be given permission by the concerned revolutionary authorities to campaign in areas under the democratic local government.
<8>	Sa Occidental Mindoro, tatlong ulit na binigwasan ng mga pwersang gerilya ang mga nag-ooperasyong tropa ng 76th IBPA sa mga bayan ng San Jose, Calintaan at Rizal noong Abril 24 at 25 dahil sa ginagawa nilang pananakot at pandarahas sa mga mamamayan.	in Occidental Mindoro, the guerilla forces hit the operating troops of the 76th IBPA in the towns of San Jose, Calintaan and Rizal three times on April 24 and 25 because of the threat and violence they enact on the people.
<9>	Sa Quezon, kinumpiskahan ng sandata ng mga pwersang gerilya ang armadong tauhan ng isang lokal na pulitiko na namimili ng boto at nananakot sa mamamayan sa kanilang pangangampanya.	in Quezon, the guerilla forces confiscated weapons from the armed staff of one local politician buying votes and threatening the people in his campaign.
<10>	Kung nagbigay man ng impresyonna “matahimik ang halalan” sa saklaw ng Southern Tagalog ay dahil sa katotohanan na karamihan sa mga lokal na kandidato ay sumusunod sa mga panuntunang itinatakda ng rebolusyonaryong gubyerno sa magiging kondukta ng kanilang kampanya sa saklaw ng teritoryo ng rebolusyonaryong kilusan.	if there ever was an impression that "election is peaceful" in the territory of Southern Tagalog it is because of the fact that many of the local candidates obey the regulations set by the revolutionary government about their conduct in their campaign on the territory of the revolutionary movement.
<11>	Nahihibang ang AFP at rehimeng Aquino na mabibitag nito ang rebolusyonaryong kilusan sa gayuma ng reaksyunaryong eleksyon para abandunahin ang armadong pakikibaka.	the AFP and Aquino regime are deluded that they will trap the revolutionary movement with the appeal of reactionary elections to abandon the armed struggle.
<12>	Malalim ang pag-unawa ng rebolusyonaryong kilusan sa ugat ng armadong tunggalian sa bansa—na mangyayari lamang ang tunay at pangmatagalang kapayapaan sa Pilipinas kung malulutas ang mga saligang ugat ng kasalukuyang gera sibil sa balangkas ng pambansa at demokratikong adhikain ng malawak na mamamayan.	the revolutionary movement has deep understanding of the armed conflict of the country - that true and lasting peace in the Philippines will only happen if the fundamental roots of the current civil war in a national framework and democratic ambitions of the masses will be solved.
<13>	Hindi ang reaksyunaryong eleksyon ang pinakademokratikong pagpapahayag ng popular na kagustuhan kundi ang pagtatatag ng isang rebolusyonaryong kapangyarihan kung saan ang mayorya ng mamamayan ang maghahari laban sa kakarampot na mapagsamantalang uring malalaking asendero’t kumprador.	the democratic statement of popular opinion is not reactionary election but the establishment of a revolutionary power where majority of the people will rule over the few abusive classes of landlords and compradors.
