<1>	(0.000-1.820)	<no-speech>	<no-speech>
<2>	(1.820-7.000)	ito ang pamamaalam ng A_F_P sa kanilang Commander-in-Chief nitong anim na taon .	this is the farewell of the A_F_P to their Commander-in-Chief for six years .
<3>	(7.000-14.520)	sinalubong si Pangulong Aquino nina National Defense Secretary Voltaire Gazmin at acting A_F_P Chief of Staff Lieutenant General Glorioso Miranda .	President Aquino was welcomed by National Defense Secretary Voltaire Gazmin and acting A_F_P Chief of Staff Lieutenant General Glorioso Miranda .
<4>	(14.520-24.820)	<sta> sinundan ang pagpasok ng mga tropa ng Sandatahang Lakas <sta> halip na sumakay sa sasakyan para sa tradisyunal na inspeksiyon ng mga tropa naglakad ang Pangulo para ikutan sila ng mas malapitan .	it was followed by the entrance of the troops of Armed Forces instead of riding the vehicle for traditional inspection of troops the President walked to bypass them more closely .
<5>	(24.820-43.316)	ito na ang kahuli-hulihang pagkakataong bibigyang-pugay ng Sandatahang Lakas ng Pilipinas si Pangulong Noy-Noy Aquino bilang kanilang Commander-in-Chief kaya naman sa kanilang final salute sa Pangulo labis din ang kanilang pagpapasalamat sa atensiyon at suportang binigay nito para sa modernisasyon ng A_F_P at pagbibigay din ng karagdagang sahod sa kanila .	this is the very last opportunity of the Armed Forces of Philippines to salute President Noynoy Aquino as their Commander-in-Chief that is why in their final salute to the President they are also extremely grateful for the attention and support he gave for the modernization of A_F_P and also providing additional compensation to them .
<6>	(43.316-53.230)	at dahil na rin sa pag-unawa ng ating Pangulo sa mga pandaigdigang hamon at mga banta sa labas at loob ng ating bansa .	and also because of the understanding of our President on the global challenges and threats within and outside our country .
<7>	(53.230-63.400)	at dahil sa kaniyang malasakit sa ating kalagayan napabuti ang ating kahandaan sa pagdating ng mga makabagong kagamitan .	and because of his concern on our situation our readiness has been improved when it comes to modern equipment .
<8>	(63.400-68.810)	tunay ngang kahanga-hanga ang kaniyang paglilingkod at pamumuno sa atin .	his service and leadership on us is truly admirable .
<9>	(68.810-70.259)	mabuhay ang ating Pangulo .	long live to our President .
<10>	(70.259-70.919)	palakpakan natin .	let us applaud him .
<11>	(70.919-71.810)	<no-speech>	<no-speech>
<12>	(71.810-73.481)	<no-speech>	<no-speech>
<13>	(73.481-80.810)	sa kaniyang talumpati ipinagmalaki ni P_Noy na malayo ang narating ng kaniyang administrasyon sa pag modernisa ng Sandatahang Lakas .	in his speech P_Noy bragged that his administration has come far in modernizing the Armed Forces .
<14>	(80.810-90.539)	naalala ko po noong ako'y nasa Kongreso pa dumalo ako sa hearing kung saan tinatalakay ang pagbili ng isang C_one thirty .	I recalled when I was still in Congress I attended a hearing where purchasing a C_one thirty was discussed .
<15>	(90.539-95.880)	ang malungkot na katotohanan no'n ni segundo mano ay wala tayong pambili .	the sad truth there is we do not have a budget even for second hand .
<16>	(95.880-100.784)	ngayon kita naman po n'yo mayro'n na tayong apat at may isa pang- -- paparating .	now you can see that we now have four and one more -- to come .
<17>	(100.784-105.950)	nitong nakaraang buwan dumating na rin ang B_R_P Tarlac ang pinakamalaki na nating barko .	this previous month the B_R_P Tarlac our largest ship has arrived .
<18>	(105.950-113.510)	sa kauna-unahang pagkakataon mayro'n tayong sasakyang pandagat na puwedeng magsilbing ospital at command center sa panahon ng sakuna .	for the very first time we have a marine vessel that can serve as a hospital and command center in times of calamities .
<19>	(113.510-118.930)	pinapurihan din ng Pangulo ang nagawa ng militar para ipagtanggol ang West Philippine Sea .	the President also praised what the military has done to defend the West Philippine Sea .
<20>	(118.930-127.190)	nagkaroon ng pagtatangkang harangin ang paghahatid ng mga kinakailangang supply ng ating mga marinong nakadestino sa B_R_P Sierra Madre .	there has been an attempt to block the delivery of the needed supplies of our marines who were designated in B_R_P Sierra Madre .
<21>	(127.190-132.794)	alam naman natin ang katunggali nating bansa sa West Philippine Sea lamang na lamang sa kagamitan .	we already know our rival country on West Philippine Sea has the upper hand on equipment .
<22>	(132.794-140.250)	nag-isip ngayon ang ating Hukbong Pandagat pa'no natin magagawa ang misyon ?	now our navy has thought how will they do the mission ?
<23>	(140.250-142.904)	ginamitan nila ito ng tinatawag na seamanship .	they used this thing called seamanship .
<24>	(142.904-147.450)	idaan nila ang ating fishing vessel sa mababaw na bahagi ng dagat .	they make our fishing vessel go through the shallow part of the sea .
<25>	(147.450-152.020)	kaya 'di nakadikit ang mga modernong sasakyang pandagat ng katunggali .	that is why the modern marine vessels of the enemy were not able to get close .
<26>	(152.020-154.756)	dulo nito mission accomplished .	in the end of this mission accomplished .
<27>	(154.756-161.010)	pinasalamatan din ng Pangulo ang militar at pinaalalahanan na pag-aralan ng husto ang anumang misyong haharapin .	the President also thanked the military and reminded to properly study whatever mission they will face .
<28>	(161.010-162.762)	Mariz Umali G_M_A News .	Mariz Umali G_M_A News .
