<1>	Koordinadong operasyong militar sa Rizal, binigo ng NAAC-NPA!	coordinated military operation in Rizal, foiled by the NAAC-NPA!
<2>	Pagdiriwang ng ika-43 anibersaryo ng BHB sa lalawigan, tagumpay!	celebration of the 43rd anniversary of the BHB in the province, a success!
<3>	Macario Liwanag (Ka Karyo)April 08, 2012Mula noong Enero 2, 2012 hanggang sa kasalukuyan, isinasagawa ng mga pwersang militar at pulisya ang walong bugso ng malakihang operasyon sa lalawigan ng Rizal sa balangkas ng OPLAN BAYANIHAN ng rehimeng US-Aquino.	Macario Liwanag (Ka Karyo) April 08, 2012 from January 2, 2012 up to the present, military forces and the police have carried out eight bursts of large-scale operations on the province of Rizal from the framework of Oplan Bayanihan of the US-Aquino regime.
<4>	Isang koordinadong kampanya ng paglipol laban sa Bagong Hukbong Bayan (BHB) ang inilunsad ng mga pwersa ng 16th IB-PA, 76th IB-PA, 59th IB-PA sa ilalim ng 2nd ID-PA kabilang ang Maneuver Battalion ng SAF-PNP.	a coordinated campaign for the elimination of the New People's Army (BHB) was launched by the forces of the 16th IB-PA, 76th IB-PA, 59th IB-PA under the 2nd ID-PA including the Maneuver Battalion of the SAF-PNP.
<5>	Saklaw ng operasyong ito ang mga bayan ng Montalban, San Mateo, Baras, Tanay at ang Lunsod ng Antipolo na patuloy na nagdudulot ng pinsala sa buhay at ari-arian ng mamamayan kabilang na ang mga magsasaka at setler maging ang hanay ng pambansang minoryang Dumagat at Remontado.	the towns of Montalban, San Mateo, Baras, Tanay and the City of Antipolo are covered by this operation that continues to cause damage on the lives and possessions of the residents including farmers and settlers as well as the ranks of the national minorities Dumagat and Remontado.
<6>	Aktibong paglaban at taktikal na opensiba ang tugon dito ng Narciso Antazo Aramil Command (NAAC)– NPA-Rizal.	the Narciso Antazo Aramil Command (NAAC)- NPA-Rizal responded to this with active fighting and tactical offensive.
<7>	Tugon din ito sa kahilingan ng masa sa mga erya ng NPA na parusahan ang armadong pwersa ng reaksyunaryong estado sa malawakang paglabag sa karapatang-tao.	this is also a response to the wish of the public from the NPA areas to punish the armed force of the reactionary state for its extensive human rights violations.
<8>	Higit sa lahat, pasalubong ito sa ika-43 anibersaryo ng NPA.	most of all, this is a gift to the 43rd anniversary of the NPA.
<9>	*Pebrero 15, 2012 –* nagkaroon ng mis-encounter sa Sto. Niño, Tanay, Rizal, ang mga tropa ng 16th IB-PA at 59th IB-PA na nagresulta sa pagkamatay sa isang upisyal at pagkasugat ng tatlong iba pa.	- February 15, 2012 - the troops of the 16th IB-PA and 59th IB-PA had a mis-encounter in Santo Niño, Tanay, Rizal resulting in the death of one official and injury of three others.
<10>	Upang pagtakpan ang nangyaring labanan sa pagitan nila, pinalabas ng 2nd ID sa midya at publiko na engkwentro ito sa pagitan ng NPA at mga pwersa ng AFP.	to cover up the fighting that happened between them, the 2nd ID made it appear to the media and public that it was an encounter between the NPA and forces of the AFP.
<11>	*Pebrero 19, 2012 –* binigo ng isang iskwad ng NPA ang tangkang pagsalakay ng isang platung tropa ng 16th IB-PA na pinamumunuan ni Lt. Bagbag sa Sitio Kinabuan, Sta. Ines, Tanay, Rizal.	- February 19, 2012 - one NPA squad foiled the attempted attack of a platoon troop of the 16th IB-PA led by Lieutenant Bagbag in Sitio Kinabuan, Santa Ines, Tanay, Rizal.
<12>	Naunang pinutukan ng NPA ang nakitang papasalakay na kaaway.	the NPA shot first the attacking enemy in sight.
<13>	Agad na tinamaan ang nasa unahan ng hanay ng kaaway habang ang iba niyang mga kasamahan ay nag-atrasan at walang habas na nagpaputok kahit malayo na sa pwesto ng mga kasama.	the first in the rank of the enemy was immediately hit while his other companions withdrew and recklessly fired even if at a distance from the companions' locations.
<14>	Malubhang nasugatan sa labanang ito si PFC Agcaoili habang walang kaswalti sa panig ng BHB.	PFC Agcaoili was deeply wounded in this encounter while there was no casualty on the part of the BHB.
<15>	*Marso 3, 2012 –* inisnayp at hinaras ng tropa ng NAAC-NPA ang detachment ng 59th IB-PA sa Sto. Niño, Tanay, Rizal.	- March 3, 2012 - the troop of the NAAC-NPA sniped and harassed the detachment of the 59th IB-PA in Santo Niño, Tanay, Rizal.
<16>	Sa takot ng mga sundalo at CAFGU at sa pag-aakalang papasok na sa kanilang kampo ang NPA ay bahag ang buntot na nanakbo at nilisan ang kanilang detachment.	due to the fear of the soldiers and CAGFU and in assuming the NPA will enter their camp they cowardly ran away and left their detachment.
<17>	Binalikan lang ito matapos matiyak na malayo na ang NPA.	they only returned after ensuring that the NPA are already far away.
<18>	Sa ulat ng mamamayan sa lugar ay isa ang patay at tatlo ang sugatan sa hanay ng mga sundalo.	in the report of residents in the area one is dead while three were injured in the ranks of the soldiers.
<19>	*Marso 23, 2012 – (Gabi)* Pinaputukan ng isang tim ng NAAC-NPA ang mga myembro ng 59th IB-PA sa kanilang detachment sa Calawis, Antipolo City.	- March 23, 2012 - (evening) - a team of the NAAC-NPA fired at the members of the 59th IB-PA in their detachment in Calawis, Antipolo City.
<20>	Dalawa ang sugatan sa operasyong ito.	two were injured in this operation.
<21>	*Marso 30, 2012 –* Hinarass ng isang tim ng NAAC-NPA ang pinagsanib na tropa ng 16th IB-PA at 59th IB-PA sa kanilang detachment sa Sitio Apya, Calawis, Antipolo City.	- March 30, 2012 - a team of the NAAC-NPA harassed the joint troop of the 16th IB-PA and 59th IB-PA in their detachment in Sitio Apya, Calawis, Antipolo City.
<22>	Tatlong sundalo ang nasugatan sa operasyong ito.	three soldiers were injured in this operation.
<23>	Ang mga taktikal na opensibang ito ang bumigo sa walong bugso ng koordinadong kampanyang militar.	these tactical offensives foiled the eight bursts of coordinated military campaign.
