<1>	(0.000-1.422)	<no-speech>	<no-speech>
<2>	(1.422-8.385)	patapos na ang <hes> pag-develop sa bakuna kontra sa sakit na dengue na dalawampung taon ng sinasaliksik .	it is almost over the development of vaccine against the dengue virus which had been researched for twenty years .
<3>	(8.385-15.940)	kung sakali magiging available na ang anti-dengue vaccine <sta> sa Pilipinas malaking tulong ito lalo na ngayong papalapit na naman ang tag-ulan .	in case the anti-dengue vaccine will become available in the Philippines it will become a big help especially now that rainy season is approaching again .
<4>	(15.940-18.972)	<no-speech>	<no-speech>
<5>	(18.972-27.140)	<sta> napapadalas na naman ang malakas na ulan gaya kanina <sta> sa ilang lugar tulad sa bahaging ito ng Mother Ignacia Avenue baha ang dulo niyan .	strong rain is becoming common again like earlier in some areas like this part of Mother Ignacia Avenue its end is flooded .
<6>	(27.140-32.154)	<sta> pero may isa pang- -- problemang naiiwan sa unti-unting paghupa ng baha o sa pagtila ng ulan .	but there is one more -- problem left by the gradual subsiding of flood or stopping of rain .
<7>	(32.154-38.720)	kung may naipong tubig kasi na hindi dumadaloy o 'yong stagnant puwede 'yang pamahayan ng lamok na nagdudulot ng dengue .	because if there is water collected that doesn't move or is stagnant it can house mosquitoes that cause dengue .
<8>	(38.720-44.980)	<sta> kaya mainam na maging maingat para 'di na madagdagan ang kaso ng dengue na naitala mula nitong Enero hanggang Mayo .	so it is good to be careful in order to not add to the number of dengue cases noted since this January up to May .
<9>	(44.980-46.178)	<sta> pero ito ang good news .	but this is the good news .
<10>	(46.178-54.070)	matapos ang halos dalawampung taong pag-aaral at pag-develop tapos na ang testing sa isang bakuna <sta> na nakakatigil raw sa pagkakaroon ng dengue .	after almost twenty years of study and development the testing of a vaccine that can supposedly prevent dengue is over .
<11>	(54.070-62.407)	kung magkakaroon ng bakuna <hes> 'yong protection mabibigay <hes> <sta> magiging epekto nito sa bilang ng kaso bababa .	if there will be a vaccine the protection given its effect the number of cases will go down .
<12>	(62.407-65.901)	for registration na ang bakuna sa ating Food and Drug Administration .	the vaccine is already for registration in our Food and Drug Administration .
<13>	(65.901-71.718)	ibig sabihin <sta> oras na maisumite ang mga kaukulang dokumento at papeles puwede na itong gamitin sa mga tao .	this means once the appropriate documents and papers are submitted it can be used by the people already .
<14>	(71.718-81.540)	the results or -- are promising and we hopefully <sta> <hes> matapos ang registration nila within the year nang sa gano'n mapagplanuhan na natin kung paano natin magagamit .	the results or -- are promising and we hopefully their registration will finish within the year so that way we can plan how to use it .
<15>	(81.540-88.890)	<sta> isa ang Pilipinas sa unang makakagamit nito kung sakali dahil isa rin ang Pilipinas sa mga bansa kung saan ito dinevelop at tinesting .	just in case the Philippines will be one of the first to use this because the Philippines is also one of the countries where it was developed and tested .
<16>	(88.890-96.770)	bago nito naging controversial ang testing sa hiwalay na gamot kontra dengue na sinubukan noong twenty twelve sa ilang dengue patient na karamihan ay bata .	previously the testing of a separate drug against dengue which was was tried in twenty twelve on several dengue patients most of which were children became controversial .
<17>	(96.770-106.350)	<sta> ipinatigil ito noong twenty fourteen dahil wala umanong basehan nakagagamot ng dengue <sta> at posible pang- -- magdulot ng immunity sa gamot na nakakagaling naman sa malaria .	this was stopped in twenty fourteen because there was allegedly no basis that it could cure dengue and it could even possibly -- cause immunity to the drug that cures malaria .
<18>	(106.350-109.769)	<sta> bukod pa sa may mga paglabag daw sa proseso ng clinical trials .	this is aside from having violations against the process of clinical trials .
<19>	(109.769-116.730)	higit sa gamot <sta> pinakamainam pa rin ayon sa D_O_H ang paglilinis ng kapaligiran para walang pamugaran ang dengue mosquitoes .	according to the D_O_H more than medicine cleaning our surroundings is the most effective so that dengue mosquitoes will have nowhere to nest in .
<20>	(116.730-121.070)	<sta> si Aling Nedi itinataob na ang mga balde na puwedeng pamahayan ng ganitong lamok .	Aling Nedi is already overturning pails that might be nested in by these mosquitoes .
<21>	(121.070-126.067)	kailangan ma- -- walang magkasakit <sta> kasi mahirap magkasakit po eh 'di ba ?	it should be -- no one should get sick because it's difficult to get sick sir well right ?
<22>	(126.067-131.046)	kailangan malinis ang ba- -- paligid para hindi magka-dengue ang mga bata .	it should be clean -- the surroundings so that children will not get dengue .
<23>	(131.046-132.668)	<no-speech>	<no-speech>
