<1>	Opensiba ng BHB sa Katimugang Panay	offense of the BHB in Southern Panay
<2>	Napoleon Tumagtang Command	Napoleon Tumagtang Command
<3>	NPA-Southern Panay	NPA-Southern Panay
<4>	Nobyembre 22, 2012	November 22, 2012
<5>	Original Hiligaynon Statement:	original Hiligaynon statement:
<6>	Opensiba sang BHB sa Nabagatnang Panay	offense of the BHB in Southern Panay
<7>	Dalawa ang napatay at apat ang nasugatan nang tambangan ng isang yunit ng Bagong Hukbong Bayan sa ilalim ng Napoleon Tumagtang Command (NTC-BHB) ang isang kolum ng Bravo Coy ng 82nd IB sa Sityo Tabionan, Brgy. Bucari, Leon, Iloilo noong Oktubre 27, mga alas-7:30 ng umaga.	two are killed and four are wounded when a unit of New People's Army under the Napoleon Tumagtang Command (NTC-BHB) ambushed a column of Bravo Coy of the 82nd IB in Sitio Tabionan, Brgy. Bucari, Leon, Iloilo last October 27, at around 7:30 in the morning.
<8>	Isa sa dalawang napatay ay si PFC John Philip Durana na taga-Jaena Sur, Jamindan, Capiz.	one of the two who are killed is PFC John Philip Durana who is a resident of Jaena Sur, Jamindan, Capiz.
<9>	Ang tinambangang yunit ng 82nd IB ay isa sa apat na kolum ng militar na nag-ooperasyon at nanghahalihaw sa kagubatan para maengkwentro ang BHB.	the ambushed unit of the 82nd IB is one of the four columns of the military which is operating and wandering in the forest to encounter the BHB.
<10>	Binantayan sila ng yunit ng BHB at dalawa kaagad ang nabuwal sa unang bugso ng putok.	they are guarded by the unit of the BHB and immediately two are killed in the first wave of gunfire.
<11>	Mabilis na sumaklolo ang malapit na ikalawang kolum ng kaaway.	the closer second column of the enemy quickly comes to the rescue.
<12>	Nagmaniobra naman ang yunit ng BHB at ligtas itong nakaatras.	the unit of the BHB maneuvered and it was able to retreat safely.
<13>	Bandang alas-12 ng tanghali noong araw ding iyon, dumating ang saklolo na isang ayudang MG520 at isang Huey helikopter upang kunin ang anim na kaswalti.	at around 12 noon of that same day, a rescue arrived which is an MG520 aide and a Huey helicopter to take the six casualties.
<14>	Pero, pumalya ang Huey helikopter at nag-crash landing ito malapit sa Sityo Tabionan.	but, the Huey helicopter malfunctioned and crashed in its landing near Sitio Tabionan.
<15>	Idinaan na lamang sa poblasyon ng Leon ang mga kaswalti.	the casualties were just passed through the town of Leon.
<16>	Nagdagdag ng pwersa ang militar na kinabibilangan ng mga elemento ng 61st IB mula sa sentral Panay at 31st Division Reconnaisance Company.	the military added forces which included the elements of the 61st IB from Central Panay and 31st Division Reconnaissance Company.
<17>	Pinaputukan naman ng isang yunit ng NTC-BHB ang kumikilos na kaaway sa Brgy. Danao, Leon, na katabi lamang ng Tabionan noong hapon ng araw na iyon.	the moving enemies are fired by one unit of NTC-BHB in Brgy. Danao, Leon, which is only beside Tabionan afternoon of that day.
<18>	Masunod na araw ng Oktubre 28, bandang alas-7:00 ng gabi, binulabog naman ng isang yunit ng NTC-BHB ang command post ng Alpha Coy ng 82nd IB na nakahimpil sa Brgy.	the next day of October 28, at around 7:00 in the evening, one unit of NTC-BHB disrupted the command post of the Alpha Coy of the 82nd IB which is stationed in Brgy.
<19>	Lanag, Tubungan na malapit sa hangganan ng bayan ng Leon.	Lanag, Tubungan which is near the boundary of the municipality of Leon.
<20>	Nagtakbuhan sa iba't ibang direksyon ang mga tropa na noon ay naglalaro ng basketbol sa plasa at naiwan nila ang kanilang mga armas.	the troops ran to different directions who were then playing basketball in the plaza and had left their arms.
