<1>	Kinukondena ng NDFP ang pagdukot kay Rolly Panesa at sa bintang na siya si Benjamin Mendoza	the NDFP is condemning the abduction of Rolly Panesa and the accusation that he is Benjamin Mendoza
<2>	International Information Office	International Information Office
<3>	National Democratic Front of the Philippines	National Democratic Front of the Philippines
<4>	Oktubre 13, 2012	October 13, 2012
<5>	Translation:	translation:
<6>	Iginiit ng negotiating panel sa usapang pangkapayapaan ng National Democratic Front of the Philippines ang kagyat at walang kundisyong pagpapalaya sa gwardyang sibilyan na si Rolly M.	the negotiating panel asserted in the peace talks of the National Democratic Front of the Philippines the immediate and unconditional liberation of the civilian guard who is Rolly M.
<7>	Panesa na dinukot ng Armed Forces of the Philippines noong Oktubre 5 at maling kinilalang mataas na upisyal ng Partido Komunista ng Pilipinas.	Panesa who was abducted by the Armed Forces of the Philippines last October 5 and mistakenly identified as a high-ranked official of the Communist Party of the Philippines.
<8>	Dinukot din kasama ni Panesa ang kanyang asawa at dalawa pang kasamahan, na pinalaya rin nang walang anumang habla.	also abducted with Panesa were his wife and two more colleagues, who were also freed without any charges.
<9>	Inianunsyo ng militar noong Oktubre 6 na naaresto ng magkasanib na pwersa ng 2nd Infantry Division ng AFP at ng Philippine National Police ang matataas na upisyal ng Partido Komunista ng Pilipinas.	the military announced last October 6 that the joint forces of the 2nd Infantry Division of the AFP and the Philippine National Police arrested the higher officials of the Communist Party of the Philippines.
<10>	Bulaang tinukoy ni Colonel Generoso Bolina, tagapagsalita ng Southern Luzon Command ng AFP si Panesa bilang si Benjamin Mendoza, diumano'y Kalihim ng Panrehiyong Komite ng Partido Komunista ng Pilipinas sa Southern Tagalog, at kagawad ng Komite Sentral ng PKP.	Colonel Generoso Bolina, spokesperson of the Southern Luzon Command of the AFP, falsely identified Panesa as Benjamin Mendoza, who is allegedly the Secretary of the Regional Committee of the Communist Party of the Philippines in Southern Tagalog, and chairman of the Central Committee of the PKP.
<11>	Ipinangalandakan din sa mga ulat sa midya na ang asawa ni Panesa ay kagawad ng Komiteng Tagapagpaganap ng panrehiyong komite ng PKP sa Southern Tagalog.	media reports also bragged that the wife of Panesa is a councilor of the Executive Committee of the regional committee of the PKP in Southern Tagalog.
<12>	"Muli na namang ginawa ng Armed Forces of the Philippines (AFP) ang dati na nitong taktika ng iligal na pang-aaresto ng mga sibilyan at pagpaparada sa mga ito bilang mga lider ng rebolusyonaryong kilusan," pahayag ni Luis Jalandoni, Tagapangulo ng Negotiating Panel ng NDFP.	"done again by the Armed Forces of the Philippines (AFP) its previous tactics of illegal arrests of civilians and parading them as leaders of revolutionary movement," stated by Luis Jalandoni, President of the Negotiating Panel of the NDFP.
<13>	"Mandudukot sila, mantotortyur at magkukulong ng mga tao, at ibibida silang mga lider ng rebolusyonaryong kilusan.	"they are going to abduct, torture and imprison people, and will brag them as leaders of the revolutionary movement.
<14>	Sa kasong ito, lumalabas na ang inaresto nila ay isang sibilyang gwradya."	in this case, it appears that they have arrested a civilian guard."
<15>	Isang gwardya si Rolly Panesa na nakatalaga sa ACP Compound sa Eastwood, Quezon City, at residente ng F. Castillo Street, sa Project 4, Quezon City.	Rolly Panesa is a guard assigned at the ACP Compound in Eastwood, Quezon City, and resident of F. Castillo Street, in Project 4, Quezon City.
<16>	"Kinunkundena ng NDFP ang pag-aresto kay Panesa at sa paglabag sa kanyang mga karapatan, at iginigiit naming kagyat siyang palayain mula sa piitan," ani Jalandoni.	"the NDFP is condemning the arrest of Panesa and the violation of his rights, and we are asserting to immediately free him from the prison," Jalandoni said.
<17>	"Siya, sampu ng kanyang pamilya ay dapat bigyan ng danyos dahil sa iligal na pag-aresto, tortyur sa kanila at sa patuloy na pagkakulong sa kanya.	"him, and all of his family should be given payment for damages because of illegal arrest, torture for them and continually imprisoning him.
<18>	Dapat iatras ang lahat ng gawa-gawang kaso laban sa kanya."	all made up cases against him should be retreated."
