<1>	Panibagong kaso ng extra-judicial killing ng 2nd IBPA sa Albay	a new case of extra-judicial killing by the 2nd IBPA in Albay
<2>	Florante OrobiaNPA Albay Provincial Operations Command (Santos Binamera Command)	Florante Orobia NPA Albay Provincial Operations Command (Santos Binamera command)
<3>	February 14, 2013	February 14, 2013
<4>	Mariing kinokondena ng Santos Binamera Command ang dalawang panibagong kaso ng extra-judicial killing ng mga mamamatay-taong 2nd IBPA sa lalawigan ng Albay.	the Santos Binamera command is emphatically condemning the two new cases of extra-judicial killing by the murderous 2nd IBPA in the province of Albay.
<5>	Dagdag na naman ito sa mahabang listahan ng teroristang krimen ng 2nd IBPA laban sa mga mamamayang Albayano.	this adds up to the long list of terrorism related crimes by the 2nd IBPA against the residents of Albay.
<6>	Ang unang biktima ng extra-judicial killing ay si Romero Octavo, 36 taong-gulang na magsasakang sibilyan at residente ng Brgy. Sukip, Pioduran, Albay.	The first victim of extra-judicial killing is Romero Octavo, a 36 year old civilian farmer and resident of Barangay Sukip, Pioduran, Albay.
<7>	Habang nasa gitna ng sayawan sa parehong baranggay noong Pebrero 11, bandang ala-1 mag-uumaga, dinukot si Romero Octavo ng 10-kataong elemento ng 2nd IBPA na nakasakay sa ilang motorsiklo.	while in the middle of a dance in the same barangay last February 11, around 1 nearing morning, Romero Octavo was abducted by 10 men who are elements of the 2nd IBPA aboard in motorcycles.
<8>	Pawang nakasuot ng bonnet ang mga salarin at armado ng mahahabang baril.	All the criminals wore a bonnet and armed with long guns.
<9>	Inilabas ng mga salarin si Romero Octavo sa sayawan, pinagbubogbog at saka pinagbabaril.	The criminals took Romero Oktavo out of the dance, punched and then shot him.
<10>	Nitong Pebrero 12, alas-9 ng umaga, dinukot at pinaslang ng tropa ng 2nd IBPA, kasabay ang tropa ng Force 5, Regional Public Safety Batallion si Dalmacio dela Punta Jr., sibilyang magsasaka na residente ng Brgy.	this February 12, 9 in the morning, Dalmacio dela Punta Junior, a civilian farmer residing in barangay, was abducted and killed by the troops of the 2nd IBPA, together with the troops of the force 5, regional public safety battalion.
<11>	Tubgon, Oas, Albay.	Tubgon, Oas, Albay.
<12>	Mabilis na nabuking ang kasinungalingan ni 2nd IBPA Commanding Officer Lt. Col Andrew Costelo na agad naghugas-kamay sa kanilang krimen.	The lies of the 2nd IBPA commanding officer lt. col Andrew Costelo were quickly discovered and he washed his hands clean of their crime.
<13>	Habang itinatanggi nito ang pagpaslang kay Romero Octavo, indirektang inaamin naman nito ang paggawa ng krimen sa pamamagitan ng pagbansag sa biktima na “NPA!”.	while he is denying the killing of Romero Octavo, he indirectly admitted to committing a crime through labeling the victim as "NPA!".
<14>	Sa karamihan ng kaso ng extra-judicial killings, ang mga sibilyang pinaslang ng tropang AFP ay binabansagang ‘NPA’ o ‘sumusuporta sa NPA’.	in the multitude of cases of extra-judicial killings, the civilians killed by the AFP troops were labeled NPA or supporter of the NPA.
<15>	Nakakainsulto rin sa mamamayan at nagmukhang-tanga ang pag-aastang inosente ni Lt. Col. Costelo sa pagsasabing, wala alam ang 2nd IBPA sa krimen at police blotter report na lamang ang napag-alaman nila sa pangyayari samantalang halos 3 kilometro lamang ang layo ng pinangyarihan ng krimen mula sa Halabang Puro Detachment ng 2nd IBPA sa parehong bayan at nasa halos 5 kilometro lang ang layo nito galing sa 11-baranggays na nilulunsaran ng PDT Operation sa saklaw ng Guinobatan, Albay.	it is also insulting to the people and lt. col. Costelo looked like an idiot in posing as innocent as he said, the 2nd IBPA know nothing about the crime and learned about the incident only through the police blotter report whereas the crime scene was only almost 3 kilometers away from the Halabang Puro detachment of the 2nd IBPA in the same town and it is only almost 5 kilometers away from the 11 barangays where PDT operation covered by Guinobatan, Albay was being launched.
<16>	Si Romero Octavo ay sibilyan.	Romero Octavo is a civilian.
<17>	Sa nakaraan, nakaranas na rin ng panghaharas at pananakot ang ama, kapatid at kamag-anakan ni Romero Octavo mula sa mga nag-ooperasyong tropa ng 2nd IBPA dahil pinagbibintangan nga nilang ‘NPA’ si Romero Octavo.	in the past, the father, sibling and relatives of Romero Octavo also experienced harassment and threats from the operating troops of the 2nd IBPA because they were accusing Romero Octavo of being an NPA.
<18>	Samantala, si Dalmacio dela Punta Jr. naman ay dinukot at pinaslang matapos ang bigong pagkubkob nila sa isang iskwad ng Bagong Hukbong Bayan sa Brgy. Tubgon, Oas, Albay.	meanwhile, Dalamacio dela Punta Junior was abducted and killed after a failed siege of one squad by the New People's Army in Barangay Tubgon, Oas, Albay.
<19>	Pinalabas ng berdugong tropa na kaswalti ng BHB o “killed-in-action” si Dalmacio dela Punta Jr. samantalang lampas 1 kilometro ang layo ng bahay nito mula sa pinangyarihan ng labanan at hindi ito kasapi ng BHB.	the executioner troop was making it appear that Dalmacio dela Punta Junior is a casualty of BHB or "killed-in-action" whereas his house is more than 1 kilometer away from the scene of the fight and he was not a member of the BHB.
<20>	Matagal nang teroristang gawain ng tropang AFP ang idamay ang mga inosenteng sibilyan sa labanan habang ipokritong nagpapanggap na sila kuno ay ‘kampeon ng karapatang-pantao’.	it has been a longstanding terroristic act by the AFP troops to involve innocent civilians in the fight while hypocritically pretending that they are allegedly "champions of human rights".
<21>	Sa mismong panayam kay Lt. Col. Costelo, hambog pa nitong binanggit na ang pananatili nila sa lugar ay para sa Oplan Bayanihan.	in the actual interview of Lieutenant Colonel Costelo, he even proudly mentioned that their stay in the place is for Oplan Bayanihan.
<22>	Naglalantad lamang ito ng tunay na mukha ng Oplan Bayanihan, mamamatay-tao, salot sa mamamayan at tagalabag ng karapatang-pantao.	this only exposes the true face of Oplan Bayanihan, murderers, plague to the citizens and violators of human rights.
<23>	Kinukumpirma din ng pahayag na ito ang pagiging mapanlinlang ng Oplan Bayanihan at pakitang-tao na pagkukunwaring ‘para sa kaunlaran at kapayapaan’ kuno ito.	this declaration also confirms the deceitful ways of Oplan Bayanihan and hypocrisy in pretending this is allegedly for progress and peace.
<24>	Biguin ang Oplan Bayanihan!	thwart the Oplan Bayanihan!
