<1>	74th IBPA, nilabag ang sariling deklarasyon ng SOMO sa Quezon	74th IBPA, violated its own SOMO declaration in Quezon
<2>	Armine de GuiaApolonio Mendoza Command, NPA-QuezonDecember 23, 2012*Lima katao, inaresto ng mga ito at tinortyur sa Bondoc Peninsula, Quezon!	Armine de Guia Apolonio Mendoza Command, NPA-Quezon December 23, 2012 they arrested and tortured five people in Bondoc Peninsula, Quezon!
<3>	Kaagad na palayain ang 5 inaresto!	immediately release the 5 who were arrested!
<4>	Panagutin ang mga opisyal at kawal ng 74th IBPA!	make the officials and soldiers of the 74th IBPA accountable!
<5>	*Muli na namang ipinakita ng mersenaryong Armed Forces of the Philippines ang kawalang katotohanan sa mga pahayag at unilateral na deklarasyon nito kaugnay sa diumano'y suspension of military operation (SOMO) mula Disyembre 16, 2012 hanggang Enero 6, 2013.	- the mercenary Armed Forces of the Philippines again displayed the lack of truth in their statements and unilateral declaration related to the alleged suspension of military operation (SOMO) from December 16, 2012 up to January 6, 2013.
<6>	Gabi ng ika-21 ng Disyembre, inaresto nito ang lima kataong sakay ng isang sasakyan na sina Erwin Quedor ng Vista Hermosa, Macalelon, Grego Guevara ng Bgy Camplora, San Andres, Eleceo Lopez ng DJV, San Francisco at ang dalawa pang walang pangalan na pawang taga-San Francisco, Quezon.	on the evening of the 21st of December, it arrested five people aboard a vehicle namely Erwin Quedor of Vista Hermosa, Macalelon, Grego Guevara of Barangay Camplora, San Andres, Eleceo Lopez of DJV, San Francisco and two more yet unnamed who were both from San Francisco, Quezon.
<7>	Matapos ang mga itong arestuhin, isinailalim sa imbestigasyon gamit ang kumbinasyon ng pisikal at mental na tortyur sa kanilang nahuli.	after arresting them, the captured were put under investigation using a combination of physical and mental torture.
<8>	Ngayong umaga, inilitaw ang mga ito sa PNP-Municipal Station sa bayan ng Mulanay na may mga sugat sa ulo, puno ng pasa ang katawan at mga tulala.	this morning, they were revealed with head wounds, bodies full of bruises and in a daze to the PNP-Municipal Station in the town of Mulanay.
<9>	Sa proseso ng pagigiit ng pamilya, napalaya ang dalawang walang pangalan habang ang tatlo ay nakapiit sa PNP-Municipal Station ng Mulanay.	by the process of the family's insistence, the two unnamed were released while the three are imprisoned in the PNP-Municipal Station of Mulanay.
<10>	Pinatutunayan ng mga gawang ito ang pagiging mapanlinlang, di seryoso at pagiging sinungaling ng mga deklarasyon ng AFP kaugnay sa ceasefire at SOMO.	this act proves the deceit, insincerity and the AFP declarations being liars related to the ceasefire and SOMO.
<11>	Kahit sa mga nakaraang taon, hindi kailanman ito sinusunod ng AFP.	even in the past years, it was never obeyed by the AFP.
<12>	Ginagamit lamang nila ito upang makapagpapogi sa mamamayang Pilipino na iginagalang nila ang tradisyon ng kapaskuhan at pagsalubong sa bagong taon.	they just use it to look good to the Filipino people that they respect the tradition of Christmas and welcoming of the new year.
<13>	Ginagamit rin nila ito upang linlangin ang Bagong Hukbong Bayan upang magkampante at siluin sa kanilang mga bitag upang matagumpay nilang maisagawa ang kanilang mga operasyon laban sa mga piling personahe at yunit ng Partido Komunista ng Pilipinas at Bagong Hukbong Bayan.	they also use it to deceive the New People's Army to become complacent and rope in their traps so they can successfully carry out their operations against selected personalities and units of the Communist Party of the Philippines and New People's Army.
<14>	Pinakikita rin ng mga pangyayaring ito ang malahalimaw na gawa ng 74th IBPA at ng AFP sa mga nahuhuli nila sibilyan man o tunay na NPA.	these events also show the monstrous act done by the 74th IBPA and by the AFP on the civilians or real NPA they capture.
<15>	Hindi kailanman maitago ng pagpapanggap nilang sila ay para sa kaparatang pantao ng mga tunay nilang kagagawan na ito.	their real actions like this can never hide the pretense that they are pro human rights.
<16>	Dapat na kagyat na palayain ang tatlo pang iligal na inaresto ng 74th IBPA at itigil ang pangtotortyur sa kanila.	the three who were illegally arrested by the 74th IBPA should be immediately released and should stop torturing them.
<17>	Dapat na mapapanagot ang mga opisyal at kagawad ng 74th IBPA na nagsagawa ng mga pang-aarestong ito at pangtotortyur sa kanilang mga nahuli.	the officials and members of the 74th IBPA who committed this arrest and torture on the ones they captured should be held responsible.
<18>	Panghuli lamang ito sa talaan ng libu-libong mamamayan ng South Quezon-Bondoc Peninsula na biktima ng karahasan sa anyo ng toryur, panggigipit, iligal na pang-aaresto at pagpatay na ginawa ng 74th IBPA at ng iba pang yunit ng AFP laban sa mamamayan.	this is just the latest in the list of thousands of residents of South Quezon-Bondoc Peninsula who are victims of violence in the form of torture, extortion, illegal arrest and murder done by the 74th IBA and other units of the AFP against the people.
<19>	Sa harap ng mga kaganapang ito, kinakailangang lalung pag-ibayuhin ng mamamayan ang kanilang pagkilos at paglaban upang kamtin ang katarungan sa kanilang mga sinapit.	in the face of these events, the people need to double their action and fight to earn justice for their experiences.
<20>	Hindi kailanman mapipigilan ng ganitong mga karahasan laban sa mamamayan ang pagsulong at pag-abante ng rebolusyonaryong paglaban ng mamamayan sa South-Quezo-Bondoc Peninsula.	these violence against the people can never stop the revolutionary fight of the people of South-Quezo-Bondoc Peninsula from growing and moving forward.
