<1>	Rules of Engagement: Shoot or Hold?	rules of engagement: shoot or hold?
<2>	(Leadership Experience Part 23)	(leadership experience part 23)
<3>	Pagkatapos ng halos dalawang buwan ng sunod-sunod na combat operations sa kasuluk-sulukan ng Sulu, tila ay naglahong parang bula ang mga bandidong Abu Sayyaf na sa mga video footages ay naghahamon ng barilan sa mga sundalo.	after almost two months of continuous combat operations in the farthest corners of Sulu, it looks like the Abu Sayyaf bandits mysteriously disappeared after being shown in video footage challenging soldiers to a gunfight.
<4>	Nababalitaan namin na ang ilan sa kanila ay pa-simpleng humalo sa mga kaanak nila sa 'recognized' MNLF camps at ang iba naman ay sa kanilang mga kapamilya sa mga pamayanan.	we heard from the news that a few of them secretly joined their kin in the 'recognized' MNLF camps while the others are with their families in the communities.
<5>	Ito ang kasama sa mga hamon na aming kinakaharap noong panahon na iyon dahil ang mga kaaway ay hindi namin lahat kilala ang hitsura.	this is one of the challenges we encountered during those times since we do not know how all our enemies look like.
<6>	Kung walang armas, pwede silang magkunwaring magsasaka, mangingisda o kaya ay MNLF din!	if there are no weapons, they can pretend to be farmers, fishermen or even MNLF!
<7>	Dahil sa kababayan din natin ang mga kaaway, parati kong ipinaalala ang aking pinaiiral na Rules of Engagement (ROE) na hango sa aming pinag-aaralang International Humanitarian Law (IHL).	because our enemies are also our fellow countrymen, I always remind them of the existing Rules of Engagement (ROE) which was based on what we studied on International Humanitarian Law (IHL).
<8>	Ang ilan sa mga ito ay ang mga sumusunod:	some of them are the following:
<9>	1\. Kung ang nakikita ay armadong nag-kakampo sa gubat, mas paniniwalaan naming sila ay mga demonyong Abu Sayyaf.	1. if what we see are armed groups encamped in the jungle, we mostly believe them to be rogue Abu Sayyafs.
<10>	Sa bakbakan, ang lahat ng nakikipagbarilan lamang ang barilin.	in an ensuing fight, only those with firing their guns should be fired at.
<11>	Gawan ng paraan na hindi mabaril ang mga hostages.	find a way not to shoot the hostages.
<12>	2\. Kung ang nakikita ay armadong nasa bahayan o komunidad, i-trato muna namin iyon bilang ordinaryong sibilyan.	2. if what we see in villages or communities are armed, we assume they are ordinary civilians.
<13>	Depende sa sitwasyon, pwede itong lapitan para kausapin, at disarmahan sa mapayapang pamamaraan.	depending on the situation, we approach them to talk and disarm them in a peaceful manner.
<14>	3\. Kung ang engkwentro ay nasa bahayan, iwasang mawasak ang buong bahay gamit ang sobra-sobrang pagpaputok dito.	3. if the encounter is in a residential area, avoid destroying the entire house through excessive gunfire.
<15>	Bawal ang manunog ng bahay.	it is forbidden to burn a house.
<16>	4\. Kapag nasa bahayan ang engkwentro, siguraduhing nakaumang na mabuti ang putok sa armadong nakikipagbarilan para maiwasan ang makatama ng non-combatants.	4. if the encounter is in a residential area, make sure that the gunfire is directly aimed at armed men to avoid hitting non-combatants.
<17>	5\. Ang ayaw lumaban, ipataas ang kamay at ipatapon ang armas.	5. ask those who do not wish to fight to throw down their weapons and raise their arms.
<18>	Respetuhin ang natatalong kaaway.	treat with respect the losing enemy.
<19>	Ipinaliliwanag ko sa aking mga tauhan ang malaking responsibilidad na masiguradong mga kaaway na kriminal at terorista lamang ang aming kinakalaban.	I explain to my subordinates the huge responsibility of ensuring that we are only combating with criminals and terrorists.
<20>	Hirap no?	it is difficult, right?
<21>	Oo nga, mahirap ang lumaban ng patas ngunit mabigat ang responsibilidad naming mga sundalo dahil sumusunod kami ng tinatawag na laws of armed conflict.	yes, it is difficult to fight fairly but our responsibility is heavy because we, soldiers, follow the so-called laws of armed conflict.
