<1>	Pahayag ng PKM-NDF Timog Katagalugan kaugnay sa paglabag ng AFP sa SOMO	statement of PKM-NDF Southern Tagalog in relation to the violation of the AFP in SOMO
<2>	Eduardo LabradorPKM-TKDisyembre 24Sinasaluduhan ng Pambansang Katipunan ng mga Magbubukid sa Timog Katagalugan (PKM-TK) ang magiting na pagtatanggol ng ating mga Pulang kumander at mandirigma sa rebolusyonaryong masa sa bayan ng Tagkawayan, Quezon laban sa operasyong paniktik ng AFP.	Eduardo Labrador PKM-TK December 24 the National Federation of Farmers in Southern Tagalog (NFF-ST) salutes our red commanders and warriors in honorably defending the revolutionary masses in the municipality of Tagkawayan, Quezon against the spying operation of the AFP.
<3>	Habang ipinamamalita ni Lt. Col. Dennis Perez, tagapagsalita ng 74th IBPA sa South Quezon-Bondoc Peninsula na “ampaw na propaganda” ng NDF ang pagdami ng NPA dito, aligaga naman ang may walong batalyong pwersa ng AFP/PNP/CAA dahil sa dalawang operasyong pamarusa na bumulabog ng kanilang makinaryang paniktik sa erya.	while Lieutenant Colonel Dennis Perez, spokesperson of the 74th IBPA in South Quezon-Bondoc Peninsula, is spreading the news that the increase of the number of the NPA here is just a cheap and nonsensical propaganda of the NDF, the eight battalion forces of the AFP/ PNP/ CAA are frantic because of the two operational punishment which disturbed their spying machinery in the area.
<4>	Nabawasan ang tainga at mata ng mga pasista kaya walang tamang ulat na nakakarating kay Lt. Col. Tugon sa matagal nang panawagan para sa katarungan ng mga mamamayan sa Quezon ang paggawad ng parusa sa mga aktibong yunit pangkombat ng CAFGU at ahente ng AFP na sina Adriano Lusanta, Jeffrey Mendoza at Efren Gacilla Jr.	the ears and eyes of the fascist are lessened so there are no correct reports which are arriving to Lieutenant Colonel Tugon in the long call for justice by the citizens of Quezon; the conferment of the punishment to the active combat units of the CAFGU and agents of the AFP who are Adriano Lusanta, Jeffrey Mendoza and Efren Gacilla Junior.
<5>	Sina Lusanta, Mendoza at Gacilla ay may matagal nang wanted sa rebolusyonaryong batas, bukod pa sa aktibong paggampan sa gawaing paniktik sa panahong inilunsad ang pamamarusa,.	Lusanta, Mendoza and Gacilla have long been wanted by the revolutionary law, aside from actively performing the spying act during the time when the punishment is launched.
<6>	Dumaan sa tamang proseso ng pagdinig sa rebolusyonaryong hukumang bayan ang paggawad ng parusang kamatayan sa tatlong kontra-rebolusyonaryong ahente at espiya ng AFP.	the death penalty conferred to the three anti-revolutionary agents and spies of the AFP has gone through a proper due process in the hearing of the revolutionary court of the people.
<7>	Matagal nang nadesisyunan ng hukumang bayan ang mga kaso ng mga salarin at nito lamang nagkaroon ng pagkakataong maaresto at maigawad ang kaukulang kaparusahan sa mga kaaway ng mamamayan.	the cases of the criminals have long been decided by the people's court and it is only now that is has the chance to arrest and bestow the appropriate punishment on the enemies of the citizens.
<8>	Katunayan, pinalaya ang tatlong iba pang elemento ng CAFGU na kasama sa mga naaresto matapos maberepika ang rekord sa mga kinauukulang organo at hukumang bayan na sumasaklaw sa larangan.	in fact, the other three elements of the CAFGU who are in company of those who are arrested are freed after their records are verified in their respective organization and the people's court who has jurisdiction over the field.
<9>	Tungkulin ng mga rebolusyonaryong organo ng kapangyarihang pampulitika (OKP) na magpatupad ng sariling batas alinsunod sa mga itinatadhana sa internasyunal na batas na kumikilala sa katayuan ng NDFP bilang isang pwersang nakikidigma o may beligerent status.	a duty of the revolutionary organization in political power (OPP) to implement its own law in accordance to those being destined in the international laws which are recognizing the standpoint of the NDFP as a war force or has a belligerent status.
<10>	Nirerespeto din ng NPA at mahigpit na tumatalima sa atas ng Partido Komunista ng Pilipinas na pagsuspinde sa opensibang operasyong militar na nauna na nitong idineklara bago pa maglabas ng Suspension of Offensive Military Operations (SOMO) ang AFP.	the NPA is also respecting and strictly abiding the mandate of the Communist Party of the Philippines in the suspension of the offensive military operation which it has initially declared even before the AFP has released the Suspension of Offensive Military Operations (SOMO).
<11>	Naganap ang mga pamamarusa noong Disyembre 18 at 19, bago pa maging epektibo ang SOMO ng GPH noong Disyembre 20.	the punishment happened last December 18 and 19 even before the SOMO of GPH became effective last December 20.
<12>	Gayunpaman, wasto lamang na magpatupad ng aktibong depensa ang mga yunit ng NPA sa panahon ng deklaradong tigil putukan dahil sa mahabang karanasan ng paulit-ulit at walang pakundangang paglabag ng AFP.	nevertheless, it is only proper for the units of the NPA to implement an active defense in the times of declared ceasefire because there has been a long experience of repetitive and unceasing violations from the AFP.
