<1>	(0.000-0.757)	<no-speech>	<no-speech>
<2>	(0.757-16.142)	<sta> eksklusibong ibinigay sa G_M_A News ang isang video na kuha sa loob ng <sta> kuta ng Bangsamoro Islamic Freedom Fighters o B_I_F_F dito di-umano nagkukubli ang kanilang mga leader at ang teroristang si Basit Usman .	exclusively given to G_M_A News is this video taken inside the camp of the Bangsamoro Islamic Freedom Fighters or B_I_F_F it is here where their leaders and the terrorist Basit Usman is hiding .
<3>	(16.142-21.139)	live mula sa Awang sa Maguindanao may exclusive report si Cedric Castillo .	live from Awang in Maguindanao Cedric Castillo for the exclusive report .
<4>	(21.139-22.250)	Cedric ?	Cedric ?
<5>	(22.250-23.490)	<no-speech>	<no-speech>
<6>	(23.490-34.064)	Jessica naniniwala raw ang Armed Forces of the Philippines na si ang <hes> teroristang si Abdul Basit Usman ay nananatili pa rin do'n sa tinatawag na box o yung pinagkukutaan ng <hes> B_I_F_F .	Jessica the Armed Forces of the Philippines believes that the terrorist Abdul Basit Usman remains there in what they call as a box or where the B_I_F_F camps in .
<7>	(34.064-41.730)	ito raw ay dahil wala naman daw malapit na mala-ala- -- puwedeng <hes> takbuhan pa o lipatan pa ang <hes> teroristang si Usman .	this is because there is no near -- that could be ran into or transfer the terrorist Usman .
<8>	(41.730-45.730)	<no-speech>	<no-speech>
<9>	(45.730-49.730)	pumasok na sa ika-labinlimang araw ang opensiba sa Maguindanao .	the offensive in Maguindanao enters to its fifteenth day .
<10>	(49.730-61.340)	sa routine patrol na ito ng army sa bayan ng Shariff Aguak pinasok ng fifth special forces battalion ang makitid at maalikabok na kalsada papuntang pinakapusod ng bakbakan .	in this routine patrol of the army in the town of Shariff Aguak the fifth special forces battalion enters the narrow and dusty roads towards the navel of the firefight .
<11>	(61.340-65.800)	sa tabi ng kalsada ilang evacuees ang nananatili sa mga tolda .	beside the road the evacuees remain in the tents .
<12>	(65.800-78.250)	<sta> sa ikalawang airstrike ng militar kontra Bangsamoro Islamic Freedom Fighters sa Baranggay Gawang Datu Saudi-Ampatuan noong nakaraang Linggo inabot pa ng dalawang araw bago mapasok ng army ang komunidad na ito .	in the second airstrike of the military against the Bangsamoro Islamic Freedom Fighters in Barangay Gawang Datu Saudi Ampatuan last Sunday it took two days before the army could enter this community .
<13>	(78.250-85.530)	sa videong ito makikita ang masukal na kakahuyan na nagsisilbing pinakabakod o perimeter ng lugar .	in this video the wilderness of the woods which serves as the fence or the perimeter of the place can be seen .
<14>	(85.530-99.810)	sa taas ng mga puno nagkubli raw ang mga Sniper ng B_I_F_F para protektahan ang komunidad na siya ring kuta di-umano ng pinakamatataas na opisyal ng B_I_F_F at maging ang bomb expert na si Abdul Basit Usman .	the snipers of the B_I_F_F hide above the trees to protect the community which is also the camp of the highest officials of the B_I_F_F and even the bomb expert Abdul Basit Usman .
<15>	(99.810-103.830)	sa gitna ng komunidad isang malaking mosque ang nakatayo .	in the middle of the community a huge mosque stands .
<16>	(103.830-106.243)	mayroon ding madrasa o Arabic school .	there is also a madrasa or an Arabic school .
<17>	(106.243-110.640)	ayon sa source ito raw ang sentro ng kuta ng B_I_F_F .	according to the source this is the center of the camp of the B_I_F_F .
<18>	(110.640-116.370)	sa paglilibot ng kumukuha ng video nakunan pa ang sulat-kamay na ito sa isang pader .	as the one who is taking the video wanders off this handwriting on a wall is also taken .
<19>	(116.370-122.960)	aabot na raw sa isang daang sundalo ng pamahalaan ang napatay sa pagtatangkang kubkubin ang kutang ito .	it will reach to a hundred of soldiers of the government are killed in the attempt to seize this camp .
<20>	(122.960-129.810)	sa kabila ng dumadagundong na A_F_P air strike sa Baranggay Gawang matindi raw ang resistance ng kalaban .	despite the booming A_F_P air strike in Barangay Agwang the resistance of the enemy is intense .
<21>	(129.810-138.201)	indikasyon na posibleng may high value target gaya ni Basit Usman na kasama ang B_I_F_F at kinoveran muna para makatakas .	an indication that the target is possibly of high value such as Basit Usman who is with the B_I_F_F and initially covered to escape .
<22>	(138.201-142.170)	but we are continuously running our service group .	but we are continuously running our service group .
<23>	(142.170-153.042)	<hes> at ang maganda ngayon -- ang maganda ngayon is the civilians <hes> themselves are the ones <hes> reporting the location of these <hes> lawless <hes> terrorist .	and what is good now -- what is good now are the civilians themselves are the ones reporting the location of these lawless terrorist .
<24>	(153.042-158.702)	kuha naman ng video na ito noong Martes kasunod ng pagbagsak ng kampo sa Datu Saudi-Ampatuan .	this video is also taken last Tuesday after the fall of the camp in Datu Saudi-Ampatuan .
<25>	(158.702-165.592)	pinasok ng marines ang isang barangay sa bayan ng Shariff Saydona Mustapha para suportahan ang mga napapalaban nilang tropa .	the marines enter a barangay in the town of Shariff Saydona Mustapha for support their troops who are driven to fight .
<26>	(165.592-168.340)	magdidilim na nang marating nila ang lugar .	it was getting dark when they reached the place .
<27>	(168.340-172.825)	<no-speech>	<no-speech>
<28>	(172.825-179.925)	sinubukan pa ng combat videographer ng marines na ipantapat ang kaniyang camera sa night vision goggles ng kaniyang kasama .	the combat videographer of marines tried to contend his camera with the night vision goggles of his colleague .
