<1>	(0.000-2.175)	<laugh> ano 'to ?	what is this ?
<2>	(2.175-5.452)	'yung import n'yo 'yung <hes> ano 'yung ito ba'y 'yung nando'n 'yung gilas ?	your import is this what's there the Gilas ?
<3>	(5.452-6.999)	makakalaban n'yo 'yung gilas sa semi .	you'll be playing against Gilas in the semi .
<4>	(6.999-8.500)	<overlap> medyo hindi ko na matandaan eh .	I can't really remember .
<5>	(8.500-9.052)	okay .	okay .
<6>	(9.052-10.547)	<overlap> saan ka na-trade niyan ?	where were you traded ?
<7>	(10.547-13.229)	na-trade ako sa air twenty one .	I was traded to Air Twenty-One .
<8>	(13.229-13.923)	ah okay .	ah okay .
<9>	(13.923-18.260)	<overlap> ang pinakamalupit na 'to sabi ko di bale air twenty one 'ka ko .	what's really cruel is I said never mind I'm Air Twenty-One .
<10>	(18.260-19.282)	so babawi kami .	we'll catch up .
<11>	(19.282-19.922)	oo .	yes .
<12>	(19.922-24.025)	may mga ilang games pa naman ka 'ko makaano panghabol panghabol .	there are still games I can catch up with .
<13>	(24.025-25.513)	<overlap> makakahabol eh oo .	catch up yes .
<14>	(25.513-26.880)	babawi 'ka ko .	I'll get back .
<15>	(26.880-31.960)	sabi ko lahat ng kakalabanin ka 'ko namin try namin ano talunin oo <overlap> para makapasok kami .	I said we'll try to beat all our opponents so we can qualify .
<16>	(31.960-32.779)	so sige lang .	so never mind .
<17>	(32.779-34.016)	trade ako tawag tuloy ako .	I was traded then got called .
<18>	(34.016-37.924)	oh ba oh sige kita tayo sa practice ganiyan ganiyan <overlap> oo check ngayon ako .	okay let's see each other in practice yes I'll check it now .
<19>	(37.924-41.470)	pag-uwi ko ng bahay check ngayon ako ng ano sino pang matitirang kalaban .	when I got home I checked who will be our remaining opponents .
<20>	(41.470-46.447)	oo pagtingin ko ng standing ng <hes> air twenty one zero eight laglag na kaagad .	when I checked the standing Air Twenty-One zero eight dropped already .
<21>	(46.447-48.327)	<sta> wala ng pag-asa .	there's no more hope .
<22>	(48.327-49.161)	wala na talaga .	no more .
<23>	(49.161-49.780)	zero eight .	zero eight .
<24>	(49.780-52.890)	di ba ?	right ?
<25>	(52.890-55.294)	imbis na maasar ako <sta> tawa ako ng tawa .	instead of being annoyed I kept laughing .
<26>	(55.294-63.502)	'yung <hes> sabi ko niyan sa gusto kong makabawi 'ka ko wala ka 'ko 'yung <sta> plano ko .	I said I wanted to catch up my plan was not working .
<27>	(63.502-66.903)	'yung plano kong makabawi ka 'ko na manalo man lang wala zero eight walang chance .	my plan to get back and win nothing it's a zero eight there's no chance .
<28>	(66.903-67.881)	oo oo .	yes yes .
<29>	(67.881-69.670)	<overlap> sabi ko sige next conference .	I said okay next conference .
<30>	(69.670-70.155)	oo .	yes .
<31>	(70.155-76.167)	<overlap> tapos after that 'yung air twenty one before the next conference parang naging barako .	after that the Air Twenty-One before the next conference were like hogs .
<32>	(76.167-78.478)	ah okay oo oo .	oh okay yes yes .
<33>	(78.478-79.161)	balik na naman .	just get back .
<34>	(79.161-80.059)	so parang ano .	seems like .
<35>	(80.059-83.109)	nagpalit sila ng ano barako naging shock Pinas .	they changed hogs and became shock Pinas .
<36>	(83.109-83.475)	'yon .	there .
<37>	(83.475-84.602)	ah okay .	ah okay .
<38>	(84.602-87.770)	so 'yung hindi gaanong magulong nangyari na hindi invited 'yan .	there it was not very messy and then what happened was they weren't invited .
<39>	(87.770-91.308)	pero siya pa rin 'yon napalitan ng pangalan oo .	that's still him had the name changed yes .
<40>	(91.308-91.870)	okay .	okay .
<41>	(91.870-100.680)	so after that -- after that 'nong ano na -- 'nong after that air twenty one barako 'tapos nagkaroon ka ng point na ano di ba parang <hes> nawala eh .	so after that -- after that when the uh -- after that Air Twenty-One Barako then you had a point wasn't it it got lost .
<42>	(100.680-107.039)	oo nag-global port muna -- oo GlobalPort tapos balik sa barako oo tapos 'yun nawala .	yes GlobalPort first -- yes GlobalPort then the Barako came back and after they were gone .
<43>	(107.039-108.850)	<no-speech>	<no-speech>
<44>	(108.850-112.208)	'yung magaling kong team na barako -- <sta> hmm .	my good team Barako -- hmm .
<45>	(112.208-120.885)	oo 'yung magaling kong team na barako so sinabi sa 'kin na interested raw naman sila sa akin dahil part daw ako ng core group .	yes my good team Barako they said they were interested in me because I was part of the core group .
<46>	(120.885-121.890)	oo .	yes .
<47>	(121.890-123.037)	so papipirmahin nila ko .	they'll let me sign .
<48>	(123.037-127.663)	may nag-i-interview na oh bakit di mo papirmahin si hindi interested kami diyan papirmahin namin 'yan .	there's already an interview why won't you let him sign no we're interested on him we'll let him sign .
<49>	(127.663-132.955)	ako naman as a veteran alam ko na <hes> rated na ko .	me on the other hand being a veteran I already know that I'm rated .
<50>	(132.955-136.025)	'tsaka relax naman ako sa kanila wala naman kaming problema .	also I'm relaxed around them we don't have any problems .
<51>	(136.025-137.040)	yes yes yes .	yes yes yes .
<52>	(137.040-143.820)	tapos maayos naman 'yung pag-uusap biglang <no-speech> sabi unahin natin 'yung makapirma muna 'yung mga <hes> bata .	our talk was good they said to prioritize having the kid sign first .
<53>	(143.820-145.436)	sabi ko sige kasi matanda na ko .	I said okay because I'm older .
<54>	(145.436-145.921)	oo .	yes .
<55>	(145.921-149.436)	'di kailangan kasi 'yun kasi 'yun ang ano wala 'yon .	you don't need the because it's nothing .
<56>	(149.436-153.890)	so inuna 'yung mga bata nakapirma o pagkatapos wala pa rin usap-usap .	so they had the younger signed first and after there was nothing just talking .
<57>	(153.890-157.057)	kada usap <hes> sa susunod na hintayin natin 'yung drafting .	each talk next we'll wait for the drafting .
<58>	(157.057-158.070)	oo .	yes .
<59>	(158.070-159.106)	<sta> sige .	okay .
<60>	(159.106-161.714)	bait naman ako wala naman akong problema do'n di ba .	I'm good I don't have a problem about that .
<61>	(161.714-162.165)	oo .	yes .
<62>	(162.165-169.586)	at 'tsaka kinausap kausap -- hindi ako kinausap si -- <hes> 'yung nag-ha-handle sa 'min si boss Danny na hintayin lang 'yung drafting para kung ano 'yung movement .	and negotiated -- I wasn't approached by -- the one handling us our boss Danny to just wait for the drafting to see the movement .
<63>	(169.586-170.260)	oo .	yes .
<64>	(170.260-172.013)	sabi ko 'di naman ako ma-te-trade di ba ?	I said I won't get traded right ?
<65>	(172.013-172.358)	hindi .	no .
<66>	(172.358-173.423)	hindi ka ma-te-trade .	you won't get traded .
<67>	(173.423-174.961)	so okey lang antay ako .	so it's okay I'll just wait .
<68>	(174.961-177.790)	oo practice practice para kondisyon .	yes practice to condition .
<69>	(177.790-188.065)	tapos 'yon after 'nong drafting two weeks yata nag-tu-tune up na kami so hindi ako nagagamit sa tune up sabi uunahin 'yung mga bata .	and after the drafting we were having tune-ups for two weeks I think I wasn't used in the tune-up because they said they'll prioritize the younger ones .
<70>	(188.065-189.013)	sige lang ri- -- .	go for it -- .
<71>	(189.013-189.930)	<no-speech>	<no-speech>
<72>	(189.930-193.922)	kasi kailangan para makita kung ano sino <overlap> .	it's essential to see if what who .
<73>	(193.922-196.830)	oh sige 'ka ko give way ako .	I said okay I'll give way .
<74>	(196.830-206.404)	<hes> sa <no-speech> practice namin day before 'nong last tune up namin <no-speech> nag-pa-practice kami dumating si boss Danny .	on our practice a day before our last tune-up we were practicing when boss Danny arrived .
<75>	(206.404-207.052)	oo .	yes .
<76>	(207.052-211.310)	so sabi kong ganiyan boss Danny good news bad news ?	so I said boss Danny good news or bad news ?
<77>	(211.310-212.385)	bad news .	bad news .
<78>	(212.385-213.921)	so sabi ko bakit ?	I said why ?
<79>	(213.921-226.529)	lapit ngayon ako nag-pa-practice kami ha oo sabi niyang ganiyan <hes> itong sinabi sa 'yo na <hes> <no-speech> humanap ka na raw ng team kasi wala ka ng spot spot sa ano .	I then approached him we were practicing and he said this is what they said find a team because you no longer have a spot in the .
<80>	(226.529-227.905)	ah okay .	oh okay .
<81>	(227.905-229.070)	<overlap> sabi ko bakit spot kaagad ?	I said why a spot immediately ?
<82>	(229.070-230.160)	oo .	yes .
<83>	(230.160-236.175)	eh sinabi lang na <hes> kailangan -- kailangan ako kasi interested sila tapos spot ang nawala kaagad ?	just said that needs -- it needs to be me because they are interested then the spot was quickly gone ?
<84>	(236.175-236.760)	ah huh .	ah huh .
<85>	(236.760-238.596)	eh 'yun ang sabi 'yun ang sabi .	that's what is told that's what is told .
<86>	(238.596-239.342)	ah huh .	ah huh .
<87>	(239.342-242.344)	sabi ko sige mamaya na 'ka ko tapusin muna natin 'yung practice .	I said sure but later I said let's finish the practice first .
<88>	(242.344-244.340)	so tinapos ko 'yung practice .	so I finished the practice .
<89>	(244.340-247.134)	so 'yun mga players sila Willy Wilson good news bad news ?	so they are players Willy Wilson good news bad news ?
<90>	(247.134-248.030)	sabi ko bad news .	I said bad news .
<91>	(248.030-248.380)	bakit ?	why ?
<92>	(248.380-249.803)	sabi ko wala na okey lang okey lang ako .	I said nothing left it's okay I am okay .
<93>	(249.803-250.416)	oo .	yes .
<94>	(250.416-251.466)	so tinapos ko 'yung practice .	so I finished the practice .
<95>	(251.466-252.998)	pagkatapos ng practice kinausap ko si boss Danny .	after the practice I talked to boss Danny .
<96>	(252.998-253.939)	anong sabi ?	what he has said ?
<97>	(253.939-255.690)	ganiyan ganiyan ganiyan .	that way that way that way .
<98>	(255.690-256.491)	bakit ka 'ko ngayon .	why I said now .
<99>	(256.491-257.816)	wala na tayo mapupuntahan na team .	our team will not go anywhere .
<100>	(257.816-258.690)	oo .	yes .
<101>	(258.690-259.964)	kung kailan sarado na <overlap> mag-o-opening na .	when it is closed will be opening .
<102>	(259.964-260.726)	opening na .	it's the opening .
<103>	(260.726-261.858)	<overlap> mag-o-opening na .	it will be opening already .
<104>	(261.858-263.382)	puno na 'yung mga teams .	how about the teams .
<105>	(263.382-266.310)	alam mong nakapirma na 'yung mga rookies nila .	you know their rookies have already signed .
<106>	(266.310-268.730)	nakaikot ikot na bat gano'n ?	they're already assigned why is that ?
<107>	(268.730-272.776)	so sabi ko sige kung wala ka 'ko bakit nila kausap ?	so I said if there really is nothing why are they speaking ?
<108>	(272.776-274.347)	hindi naman gano'n ka 'ko 'yung ano di ba ?	that's not the case right ?
<109>	(274.347-279.625)	then you went to ano di ba I mean after that mayroon nag- -- naging journeyman mga ibang liga .	then you went to the I mean after that there -- were journeymen of other leagues .
<110>	(279.625-285.420)	<overlap> <hes> 'yun 'yung time na 'yung mga hindi ko nagagawa 'nong <hes> nasa P_B_A ako na <overlap> ah huh .	that was the time that I wasn't able to do while I was in P_B_A .
<111>	(285.420-288.905)	pupunta ng out of town para makapaglaro 'yung mga panalay games .	going out of town to play the Panalay games .
<112>	(288.905-293.854)	kasi ang dami na sa 'king nag-i-invite na mga kaibigan ko na -- <no-speech> na mga laro kayo dito .	because lots of my friends have already invited me to -- to play here .
<113>	(293.854-296.655)	mga mayors' league mga <hes> may mga fiesta .	mayors' leagues feasts .
<114>	(296.655-297.330)	oo .	yes .
<115>	(297.330-300.753)	so 'yun yung gusto kong malaruan dati na bibihira ko malaruan .	those are the games I want to play that I seldom play before .
<116>	(300.753-301.289)	bawal eh .	it wasn't allowed .
<117>	(301.289-301.647)	bawal .	not allowed .
<118>	(301.647-302.094)	<overlap> bawal .	not allowed .
<119>	(302.094-313.574)	oo tapos makapaglaro ako paminsan-minsan kasi sa schedule ng <overlap> mayroon bang mga ano <hes> habang naglalaro ka do'n sa gano'ng mga liga mayroon ka bang naririnig na masasakit na sinasabi na oh dati P_B_A 'yan oh ngayon nandito .	yes and I'll be able to play sometimes and while playing in those leagues you'll hear hurtful words such as oh he was P_B_A before and now he's here .
<120>	(313.574-316.027)	M_V_P 'tapos ngayon dito na lang naglalaro .	M_V_P and now just playing here .
<121>	(316.027-319.070)	mayroon bang na na nag-aano sa mga ligang gano'n ?	are there in those leagues ?
<122>	(319.070-320.459)	dami ang dami ang dami .	a lot a lot a lot .
<123>	(320.459-322.300)	<overlap> hindi sa mga fans eh .	not in the fans .
<124>	(322.300-322.602)	oo .	yes .
<125>	(322.602-332.357)	sa mga -- sa mga players na naglalaro wala naman kasi <overlap> mas natutuwa pa sila na makalaro ka <overlap> so ako tuwang-tuwa naman ako kasi na kung baga nakakasalamuha ko .	to the -- to the players who are playing nothing really they are happier to be able to play with you so me I am very glad because as if I have been interacting .
<126>	(332.357-337.482)	'yung mga fans na nagsasabi na 'yung mga nanonood na oh wala na sa P_B_A laos -- laos na 'yan laos na 'yan .	those fans who are saying that those who are already watching oh not in the P_B_A anymore out-of-date -- he's already out-of-date .
<127>	(337.482-338.403)	hindi naman marunong .	but does not know how .
<128>	(338.403-339.990)	<overlap> oo anong epekto sa 'yo no'n ?	yes what was the effect on you before ?
<129>	(339.990-341.207)	wala naman akong pakialam eh .	I actually do not have any care .
<130>	(341.207-341.881)	di ba ?	right ?
<131>	(341.881-342.585)	ngiti pa rin .	still smiles .
<132>	(342.585-343.761)	<laugh> oo nga eh .	I know right .
<133>	(343.761-347.030)	gusto kong sabihin pakita n'yo sa akin 'yun idol n'yo 'tapos mag-o-one on one kami .	I want to say show to me that idol of yours then we'll have a one on one .
<134>	(347.030-349.761)	mag-basketball kami eh <overlap> di ba di ba <overlap> ah huh .	we'll play basketball right right yes .
<135>	(349.761-350.132)	oo .	yes .
<136>	(350.132-353.671)	kasi I take pride do'n sa basketball ko kasi masyado kong mahal 'yung basketball ko .	because I take pride there in my basketball because I love my basketball very much .
<137>	(353.671-354.540)	<overlap> oo 'yan tama .	yes that's correct .
<138>	(354.540-360.840)	kaya 'yung <hes> simula 'nong mag-start na 'yung career ko na <hes> 'yung playing time na nawawala ah huh .	so those when my career already started when it was already playing time vanishing ah huh .
<139>	(360.840-366.728)	ayoko ng pagdating sa practice 'yung <hes> oo 'yung lamang 'yung ano mas magaling sa akin ayaw ko ng gano'n eh .	I don't want when it comes to practice that yes that only that what better than me I don't want it like that .
<140>	(366.728-367.630)	oo .	yes .
<141>	(367.630-376.830)	although naging ewan ko kung 'yun na 'yung trend siguro sa pagdating sa edad automatic baba ka .	although it became I didn't know if that was that trend maybe in terms of age you're automatically lowered down .
<142>	(376.830-381.975)	kahit 'yung <hes> skills o 'yung tulong level mo sa sa team ay mas mataas .	even if the skills or your level of help for the team is higher .
<143>	(381.975-383.283)	oo ah huh .	yes yes .
<144>	(383.283-386.680)	di bale na kung baga hindi -- hindi ka na pang-marketing eh .	never mind you're not -- not for marketing rather .
<145>	(386.680-387.235)	oo .	yes .
<146>	(387.235-388.651)	marketing na lang kailangan natin .	we just need marketing .
<147>	(388.651-389.180)	<overlap> yes yes .	yes yes .
<148>	(389.180-391.442)	so nagbabalak nga ako magpaayos ng mukha .	I'm even planning to have my face fixed .
<149>	(391.442-392.200)	ah huh .	yes .
<150>	(392.200-392.659)	ah huh .	yes .
<151>	(392.659-393.460)	<no-speech>	<no-speech>
<152>	(393.460-394.558)	para medyo maganda 'yung dating ko .	so my arrival will look good .
<153>	(394.558-396.081)	<overlap> eh tutal nasa showbiz ka na ngayon eh .	anyway you're already in showbiz now .
<154>	(396.081-398.514)	<overlap> 'yan 'yan oo nasa showbiz ka na eh .	there there you're already in showbiz .
<155>	(398.514-399.920)	<overlap> 'yun nga inaano ko .	even that I'm .
<156>	(399.920-404.415)	dadamihan ko 'yung pelikula ko para dumami 'yung fans ko 'yung mga fans ko .	I'll multiply my movies to increase my fans .
<157>	(404.415-406.464)	fans ko .	my fans .
<158>	(406.464-416.638)	so <hes> pero right now 'yung role mo rin 'di ba like sa -- sa masasabi mong ano eh <hes> gano'n na nga lumiliit no .	so but right now your role is like is -- is what you can call yes indeed it's getting small .
<159>	(416.638-419.869)	pero there are certain games na kayo eh .	but you have certain games .
<160>	(419.869-420.565)	kayo pa rin .	still you .
<161>	(420.565-422.531)	sila Danny S ikaw di ba ?	you're Danny S right ?
<162>	(422.531-432.650)	kayo pa rin ano <hes> papa'no mo ano papa'no mo <hes> malalaman sa part ng career mo at matatanggap 'yung gano'ng klaseng sitwasyon ?	still you how will you know in the part of your career and accept that kind of situation ?
<163>	(432.650-445.136)	<hes> kasi before ako <hes> siguro mga two three years two years ago ang sinabi ko sa sarili ko gus- -- 'yung last two years ko gusto ko lang makapaglaro .	because before I was perhaps two or three years ago I told myself -- that in the last two years I just want to play .
<164>	(445.136-446.580)	ah huh okay .	ah huh okay .
<165>	(446.580-448.188)	at least 'yung makapaglaro .	at least those who can play .
<166>	(448.188-453.218)	to gaze myself na <no-speech> ano ba talaga up or down stop na ko .	to gaze myself in a what is it really am I up or down or should stop .
<167>	(453.218-453.840)	okay .	okay .
<168>	(453.840-459.698)	pero alam mo 'yun habang hindi ka nakakapaglaro ng gusto mo kasi wala naman akong nararamdaman oo mayroon din naman ako oo di ba ?	but you know while you are not able to play of what you like because I am not feeling anything yes I still also have me yes right ?
<169>	(459.698-463.899)	so hangga't hindi ka nakakapaglaro parang gusto mong gusto ko kasi 'yung last push ako eh .	so until you are not able to play seems you like because I want the last push to be me .
<170>	(463.899-466.187)	ubusin n'yo na 'yung battery kung ma-injury ako eh di tapos na .	consume the battery if I am injured so then that's it .
<171>	(466.187-466.721)	oo .	yes .
<172>	(466.721-468.727)	kung pangit ang laro ko di tapos na .	if my game is bad then it's the end .
<173>	(468.727-471.327)	makikita naman natin sa sa -- sa laro eh .	we can see that in in -- because in the game .
<174>	(471.327-471.807)	oo .	yes .
<175>	(471.807-472.265)	'di ba ?	right ?
<176>	(472.265-475.100)	sa -- sa physicality -- 'yung sa kondisyon ng tao .	in -- in physicality -- in the condition of the person .
<177>	(475.100-476.590)	pagtapos na di tapos na .	if it is done then it's done .
<178>	(476.590-477.885)	oo I can accept naman eh .	yes because I can also accept .
<179>	(477.885-482.906)	'tsaka gusto ko <no-speech> pinagpakondisyunan ko pa 'yung ano eh 'yung pringle eh .	because then I want I am still conditioning the uh the Pringle .
<180>	(482.906-484.608)	<laugh> talaga ?	really ?
<181>	(484.608-487.270)	gusto kong testingin 'yun 'yung challenge eh .	because I want to try the the challenge .
<182>	(487.270-488.364)	di ba ?	right ?
<183>	(488.364-488.900)	<overlap> oo oo .	yes yes .
