<1>	PFC Edwin Nazarionda, pinarusahan ng NPA	PFC Edwin Nazarionda, punished by NPA
<2>	Maria Roha Banua	Maria Roha Banua
<3>	NDFP - Bicol	NDFP - Bicol
<4>	October 7, 2014	October 7, 2014
<5>	Pinarusahan ng Edmundo Jacob Command (EJC) ng New People's Army (NPA) si PFC Edwin Nazarionda a. k. a Marjorie ng Philippine Army, 44 taong gulang taga-brgy Igbac, Buhi, Camarines Sur noong Oktubre 03, 2014 6:45 ng gabi.	Edmundo Jacob Command (EJC) of the New People's Army (NPA) punished PFC Edwin Nazarionda a.k.a Marjorie of the Philippine Army, 44 years old of barangay Igbac, Buhi, Camarines Sur last October 3, 2015 6:45 in the evening.
<6>	Nasugatan din ang isang CAFGU nang sumaklolo sa panahon na isinasagawa ang pamamarusa na di kalayuan sa 42nd Infantry Batallion Headquarter sa brgy Mabaludbalud, Tigaon, Camarines Sur.	one CAFGU was wounded when he helped at the time that the punishment was being carried out not far from the 42nd Infantry Battalion Headquarter in Barangay Mabaludbalud, Tigaon, Camarines Sur.
<7>	Nais ilinaw ng Edmundo Jacob na marami itong krimeng pampulitika sa mamamayan at sa rebolusyonaryong kilusan kaya ginawaran ng karampatang kaparusahan.	Edmundo Jacob wishes to clarify that he has many political crimes to the people and the revolutionary movement so he was given the appropriate punishment.
<8>	1\. Pagiging ahente ng kaaway na ang misyon, pasukin ang rebolusyonaryong organisasyong masa at pasukin ang hanay ng New Peolple's Army (NPA) bilang Deep Penetrating Agent o DPA.	1. being an agent of the enemy whose mission, infiltrate the revolutionary mass organization and infiltrate the line of the New People's Army (NPA) as Deep Penetrating Agent or DPA.
<9>	2. Ipinakubkob ang kasamahan at ipinahuli ang 5 nitong kasamahan sa loob ng ilang buwan pagkukunwari sa loob ng New People's Army (NPA).	2. companions were besieged and its 5 companions were arrested in a span of several months of pretense inside the New People's Army (NPA).
<10>	Sa nasabing kubkob, naglubid ito ng dramang kasinungalingan na sya lang ang pinakalibre ng militar dahil pinaniwalaan daw syang pamangkin ng may-ari ng bahay na hinimpilan nila.	in the said siege, he made up dramatic lies that he is the only one freed by the military because he was said to be believed as the nephew of the house owner where they were stationed.
<11>	Binigyan ng pamasahe at panload para makauwi sa pamilya at makabalik sa kasama para patuloy na makapagkunwari sa loob ng hukbo.	he was given money for fare and mobile phone load so he can go home to his family and return to his companions in order to continue pretending inside the army.
<12>	3. Pinasailalim ito sa masusing imbestigasyon kaya nag-AWOL umuwi kasama ang pamilya sa 42nd IB Headquarter sa baranggay Mabaludbalod, Tigaon, Camarines Sur.	He underwent careful investigation so he went AWOL, went home together with family in 42nd IB Headquarter at barangay Mabaludbalod, Tigaon, Camarines Sur.
<13>	Lantarang ginamit ng kaaway sa black propaganda laban sa kasama, trinaydor ang mga masang tumulong sa kanya at sa kanyang pamilya.	the enemy openly used in black propaganda against the companion, betrayed the mass who helped him and his family.
<14>	Walang pakundangan nagtuturo at nagpahamak ng mga ordinaryong masa na nagresulta sa pagpatay sa kanila sa bahaging Baao, Buhi, Sangay at Iriga na naikutan nya sa loob ng ilang buwang pananatili sa hukbo.	impudently teaching and harming ordinary masses resulting in their death around Baao, Buhi, Sangay and Iriga that he inhabited in the span of several months remaining with the army.
<15>	Nagpapanggap na naging mataas ang ranggong sa NPA, kumilos daw sa loob ng mahiligit limang (5) taon para papaniwalain ang masa sa mga inilulunsad nitong aktibidad ng Civilian Military Operation (CMO) at nagpakubkob pa ng apat (4) beses sa mga Operasyong Militar sa Rinconada Area.	Pretending to have become a high ranking NPA, it acted in a span of over five (5) years to make the mass believe in the launched activities of the Civilian Military Operation (CMO) and even besieged four (4) times in the Military Operations in Rinconada Area.
<16>	Naging manggagantso o swindler sa loob ng simbahang kanyang kinaaniban habang kumukuha ng impormasyon para sa intel operation hanggang nilapatan ng disiplina ng hirarkiya ng simbahan bago naging NPA.	Became a swindler or swindler in the church that he joined while getting information for the intel operation until administered with discipline by the church's hierarchy before becoming an NPA.
<17>	4. Naging instrumento sa estratehiya ng kampanyang saywar na bersyon ng Special Operation Team (SOT) sa walong (8) baranggay sa Buhi kasama ang pinagmulang brgy ng Igbak sa ilalim ng programang Sama-sama't Sari-saring mga Serbisyo para sa Sambayanan (4S) ni Lt Col Lenart R Lelina INF (GSC) PA ng 42nd Infantry Batallion, 9ID, PA.	4. became instrumental in the strategy of the psychological war campaign of the Special Operation Team (SOT) in eight (8) barangay at Buhi together with the origin of barangay Igbak under the program Together Various Services for the Town (4S) of Lieutenant Colonel Lenart R Lelina INF (GSC) PA of the 42nd Infantry
<18>	Mapagkunwaring maghatid ng serbisyo sa populasyon sa ilang baranggay para hadlangan ang rebolusyonaryong adhikain ng mamamayan na baguhin ang sistema at gobyerno.	pretentious delivery of service to the population of several barangay to hinder the revolutionary ambition of the people to change the system and government.
<19>	Kinasabwat ang LGU sa pamamagitan ng nakaupong meyor sa lugar para palitawin ang mahusay na pagtutulungan ng gobyerno at pribadong indibidwal sa kampanya sa kontra-insurhensya.	LGU was made an accomplice through the presiding mayor of the place to make the assistance between government and private individual in the campaign against insurgency appear skillful.
<20>	Magsisilbi itong babala sa lahat ng saywar agent lalo na sa hanay ng sibilyan at burukrasya ng gobyerno na huwag magpagamit sa mga kontra-insurhensya saywar laban sa mamamayan.	this will serve as a warning to all psychological war agents especially in the lines of the civilian and bureaucratic government to not be used in the anti-insurgency psychological war against the people.
<21>	Sa natitipid ng militar nadadagdagan pa ang pondo para sa korapsyon ng mga matataas na opisyal ng Philippine Army katulad ng kanilang pinagsisilbihang "pork barrel king" na si Benigno Simeon Aquino na kumakanlong ng dayuhang interes sa bansa laban sa interes ng mamamayan.	what the military has saved, the fund is increased for the corruption of the high officials of the Philippine Army like the "pork barrel king" they serve who is Benigno Simeon Aquino that protects foreign interest in the country against the interest of the people.
<22>	Ipagtagumpay ang Rebolusyon!!	make the Revolution a success!!
<23>	Mabuhay ang Samabayang Pilipino!!!	long Live the Filipino People!!!
